<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUFF.US,D,20211018,000000,25.509,25.549,25.489,25.547,463519,0
RUFF.US,D,20211019,000000,25.579,25.688,25.579,25.612,335449,0
RUFF.US,D,20211020,000000,25.61,25.649,25.589,25.634,289059,0
RUFF.US,D,20211021,000000,25.579,25.597,25.579,25.597,109909,0
RUFF.US,D,20211022,000000,25.349,25.418,25.329,25.418,26849,0
RUFF.US,D,20211025,000000,25.775,25.929,24.45,25.929,21422,0
RUFF.US,D,20211026,000000,26.258,26.278,25.934,25.934,12661,0
RUFF.US,D,20211027,000000,25.769,25.769,25.364,25.364,15430,0
RUFF.US,D,20211028,000000,25.559,25.585,25.559,25.585,289,0
RUFF.US,D,20211029,000000,25.587,25.587,25.587,25.587,163,0
RUFF.US,D,20211101,000000,26.087,26.108,26.087,26.108,3587,0
RUFF.US,D,20211102,000000,26.118,26.118,26.058,26.079,20518,0
RUFF.US,D,20211103,000000,26.358,26.377,26.358,26.377,811,0
RUFF.US,D,20211104,000000,26.648,26.678,26.498,26.635,46611,0
RUFF.US,D,20211105,000000,26.758,26.758,26.513,26.535,11146,0
RUFF.US,D,20211108,000000,26.798,26.938,26.798,26.838,23009,0
RUFF.US,D,20211109,000000,26.898,26.978,26.308,26.396,26745,0
RUFF.US,D,20211110,000000,26.268,26.268,25.659,25.732,12720,0
RUFF.US,D,20211111,000000,26.158,26.228,26.066,26.073,22119,0
RUFF.US,D,20211112,000000,26.028,26.276,26.028,26.276,15655,0
RUFF.US,D,20211115,000000,26.398,26.398,26.168,26.168,24516,0
RUFF.US,D,20211116,000000,26.178,26.238,26.118,26.238,48277,0
RUFF.US,D,20211117,000000,26.084,26.088,26.037,26.037,922,0
RUFF.US,D,20211118,000000,26.118,26.118,25.897,25.897,2468,0
RUFF.US,D,20211119,000000,26.027,26.027,25.948,25.948,4394,0
RUFF.US,D,20211122,000000,25.929,25.929,25.428,25.428,261,0
RUFF.US,D,20211123,000000,25.319,25.469,25.137,25.433,143404,0
RUFF.US,D,20211124,000000,25.299,26.918,25.299,25.556,299479,0
RUFF.US,D,20211126,000000,25.419,25.419,24.787,24.941,57315,0
RUFF.US,D,20211129,000000,25.019,25.589,25.019,25.549,68595,0
RUFF.US,D,20211130,000000,25.649,25.66,24.971,24.971,27130,0
RUFF.US,D,20211201,000000,25.449,25.449,24.282,24.282,154049,0
RUFF.US,D,20211202,000000,24.35,24.62,24.13,24.51,30355,0
RUFF.US,D,20211203,000000,24.109,24.109,23.57,23.781,6057,0
RUFF.US,D,20211206,000000,23.68,23.91,23.61,23.882,12613,0
RUFF.US,D,20211207,000000,24.13,24.57,24.13,24.428,25860,0
RUFF.US,D,20211208,000000,24.54,24.69,24.51,24.677,28398,0
RUFF.US,D,20211209,000000,24.57,24.672,24.16,24.389,30024,0
RUFF.US,D,20211210,000000,24.19,24.33,24.02,24.147,4461,0
RUFF.US,D,20211213,000000,23.95,23.95,23.683,23.683,14506,0
