<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDCP.US,D,20231117,000000,25.355,25.355,25.355,25.355,2,0
SDCP.US,D,20231120,000000,25.325,25.325,25.325,25.325,80,0
SDCP.US,D,20231121,000000,25.36,25.36,25.35,25.35,500,0
SDCP.US,D,20231122,000000,25.4484,25.4484,25.4484,25.4484,1,0
SDCP.US,D,20231124,000000,25.3589,25.3589,25.3589,25.3589,1,0
SDCP.US,D,20231127,000000,25.39,25.39,25.39,25.39,280,0
SDCP.US,D,20231128,000000,25.365,25.41,25.365,25.41,300,0
SDCP.US,D,20231129,000000,25.5,25.5,25.47,25.47,300,0
SDCP.US,D,20231130,000000,25.485,25.485,25.485,25.485,1,0
SDCP.US,D,20231201,000000,25.51,25.54,25.51,25.54,300,0
SDCP.US,D,20231204,000000,25.515,25.515,25.515,25.515,1,0
SDCP.US,D,20231205,000000,25.54,25.54,25.54,25.54,200,0
SDCP.US,D,20231206,000000,25.545,25.545,25.545,25.545,1,0
SDCP.US,D,20231207,000000,25.575,25.575,25.575,25.575,1,0
SDCP.US,D,20231208,000000,25.5548,25.5548,25.545,25.545,100,0
SDCP.US,D,20231211,000000,25.505,25.505,25.505,25.505,1,0
SDCP.US,D,20231212,000000,25.5313,25.5313,25.5313,25.5313,1,0
SDCP.US,D,20231213,000000,25.61,25.65,25.61,25.65,400,0
SDCP.US,D,20231214,000000,25.71,25.78,25.71,25.78,600,0
SDCP.US,D,20231215,000000,25.74,25.74,25.74,25.74,1,0
SDCP.US,D,20231218,000000,25.64,25.725,25.6,25.725,601,0
SDCP.US,D,20231219,000000,25.785,25.785,25.785,25.785,1,0
SDCP.US,D,20231220,000000,25.6612,25.6612,25.6612,25.6612,1,0
SDCP.US,D,20231221,000000,25.68,25.68,25.68,25.68,100,0
SDCP.US,D,20231222,000000,25.7,25.7,25.7,25.7,100,0
SDCP.US,D,20231226,000000,25.665,25.665,25.665,25.665,1,0
SDCP.US,D,20231227,000000,25.74,25.74,25.74,25.74,302,0
SDCP.US,D,20231228,000000,25.725,25.725,25.725,25.725,1,0
SDCP.US,D,20231229,000000,25.74,25.74,25.74,25.74,100,0
SDCP.US,D,20240102,000000,25.695,25.695,25.695,25.695,4,0
SDCP.US,D,20240103,000000,25.67,25.67,25.67,25.67,1,0
SDCP.US,D,20240104,000000,25.665,25.665,25.665,25.665,1,0
SDCP.US,D,20240105,000000,25.655,25.655,25.655,25.655,1,0
SDCP.US,D,20240108,000000,25.7,25.7,25.7,25.7,300,0
SDCP.US,D,20240109,000000,25.69,25.69,25.69,25.69,4,0
SDCP.US,D,20240110,000000,25.7,25.7,25.7,25.7,4,0
SDCP.US,D,20240111,000000,25.76,25.765,25.76,25.765,300,0
SDCP.US,D,20240112,000000,25.83,25.83,25.815,25.815,300,0
SDCP.US,D,20240116,000000,25.82,25.82,25.81,25.81,300,0
SDCP.US,D,20240117,000000,25.8,25.8,25.79,25.79,500,0
SDCP.US,D,20240118,000000,25.76,25.76,25.76,25.76,4,0
SDCP.US,D,20240119,000000,25.77,25.77,25.77,25.77,4,0
SDCP.US,D,20240122,000000,25.695,25.695,25.695,25.695,2,0
SDCP.US,D,20240123,000000,25.7,25.7,25.7,25.7,4,0
SDCP.US,D,20240124,000000,25.705,25.705,25.705,25.705,2,0
SDCP.US,D,20240125,000000,25.76,25.76,25.76,25.76,100,0
SDCP.US,D,20240126,000000,25.745,25.745,25.745,25.745,1,0
SDCP.US,D,20240129,000000,25.79,25.79,25.78,25.78,300,0
SDCP.US,D,20240130,000000,25.76,25.76,25.76,25.76,4,0
SDCP.US,D,20240131,000000,25.82,25.82,25.795,25.795,303,0
SDCP.US,D,20240201,000000,25.85,25.87,25.85,25.8639,1602,0
SDCP.US,D,20240202,000000,25.72,25.86,25.72,25.856,800,0
SDCP.US,D,20240205,000000,25.76,25.76,25.76,25.76,2,0
SDCP.US,D,20240206,000000,25.77,25.78,25.77,25.775,1300,0
SDCP.US,D,20240207,000000,25.78,25.78,25.78,25.78,2,0
SDCP.US,D,20240208,000000,25.78,25.78,25.78,25.78,2,0
SDCP.US,D,20240209,000000,25.775,25.775,25.775,25.775,2,0
SDCP.US,D,20240212,000000,25.77,25.77,25.77,25.77,2,0
SDCP.US,D,20240213,000000,25.88,25.88,25.695,25.695,600,0
SDCP.US,D,20240214,000000,25.75,25.75,25.75,25.75,100,0
SDCP.US,D,20240215,000000,25.78,25.78,25.7737,25.7737,1090,0
SDCP.US,D,20240216,000000,25.65,25.65,25.65,25.65,300,0
SDCP.US,D,20240220,000000,25.66,25.91,25.66,25.8,900,0
SDCP.US,D,20240221,000000,25.72,25.74,25.7,25.7,1812,0
SDCP.US,D,20240222,000000,25.76,25.76,25.64,25.64,300,0
SDCP.US,D,20240223,000000,25.67,25.67,25.655,25.655,487,0
SDCP.US,D,20240226,000000,25.665,25.665,25.665,25.665,2,0
SDCP.US,D,20240227,000000,25.64,25.64,25.64,25.64,5,0
SDCP.US,D,20240228,000000,25.69,25.69,25.69,25.69,100,0
SDCP.US,D,20240229,000000,25.61,25.705,25.61,25.705,301,0
SDCP.US,D,20240301,000000,25.73,25.73,25.72,25.72,302,0
SDCP.US,D,20240304,000000,25.73,25.73,25.73,25.73,1,0
SDCP.US,D,20240305,000000,25.72,25.72,25.72,25.72,1,0
SDCP.US,D,20240306,000000,25.78,25.78,25.78,25.78,100,0
SDCP.US,D,20240307,000000,25.8,25.8,25.8,25.8,100,0
SDCP.US,D,20240308,000000,25.83,25.83,25.83,25.83,103,0
SDCP.US,D,20240311,000000,25.83,25.83,25.83,25.83,100,0
SDCP.US,D,20240312,000000,25.79,25.79,25.79,25.79,1,0
SDCP.US,D,20240313,000000,25.77,25.77,25.77,25.77,1,0
SDCP.US,D,20240314,000000,25.755,25.755,25.755,25.755,1,0
SDCP.US,D,20240315,000000,25.73,25.73,25.73,25.73,1,0
SDCP.US,D,20240318,000000,25.73,25.73,25.73,25.73,1,0
SDCP.US,D,20240319,000000,25.78,25.78,25.78,25.78,100,0
SDCP.US,D,20240320,000000,25.71,25.71,25.71,25.71,100,0
SDCP.US,D,20240321,000000,25.74,25.74,25.705,25.705,100,0
SDCP.US,D,20240322,000000,25.76,25.76,25.76,25.76,102,0
SDCP.US,D,20240325,000000,25.71,25.79,25.71,25.79,1194,0
SDCP.US,D,20240326,000000,25.76,25.76,25.76,25.76,102,0
