<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SSLY.US,D,20200603,000000,29.44,29.44,29.44,29.44,23,0
SSLY.US,D,20200604,000000,29.843,29.843,29.843,29.843,112,0
SSLY.US,D,20200605,000000,29.842,31.353,29.842,31.353,322,0
SSLY.US,D,20200608,000000,32.471,32.471,32.471,32.471,8,0
SSLY.US,D,20200609,000000,31.391,31.391,31.15,31.15,132,0
SSLY.US,D,20200610,000000,29.987,29.987,29.987,29.987,107,0
SSLY.US,D,20200611,000000,29.991,29.991,27.473,27.473,221,0
SSLY.US,D,20200612,000000,27.718,28.435,27.718,28.435,222,0
SSLY.US,D,20200615,000000,28.855,28.855,28.855,28.855,107,0
SSLY.US,D,20200616,000000,29.026,29.576,29.026,29.576,216,0
SSLY.US,D,20200617,000000,28.929,28.929,28.929,28.929,21,0
SSLY.US,D,20200618,000000,28.871,28.871,28.871,28.871,8,0
SSLY.US,D,20200619,000000,29.026,29.286,28.618,28.618,647,0
SSLY.US,D,20200622,000000,28.811,28.811,28.811,28.811,107,0
SSLY.US,D,20200623,000000,28.886,28.969,28.886,28.969,540,0
SSLY.US,D,20200624,000000,28.163,28.163,27.925,27.925,464,0
SSLY.US,D,20200625,000000,27.858,28.163,27.858,28.113,681,0
SSLY.US,D,20200626,000000,27.562,27.562,27.562,27.562,3,0
SSLY.US,D,20200629,000000,28.583,28.583,28.583,28.583,3,0
SSLY.US,D,20200630,000000,29.055,29.055,29.055,29.055,107,0
SSLY.US,D,20200701,000000,28.676,28.676,28.676,28.676,107,0
SSLY.US,D,20200702,000000,28.735,28.735,28.735,28.735,3,0
SSLY.US,D,20200706,000000,29.114,29.114,29.114,29.114,107,0
SSLY.US,D,20200707,000000,28.569,28.569,28.569,28.569,107,0
SSLY.US,D,20200708,000000,28.681,28.681,28.681,28.681,107,0
SSLY.US,D,20200709,000000,28.163,28.163,28.087,28.087,414,0
SSLY.US,D,20200710,000000,28.644,28.644,28.644,28.644,17,0
SSLY.US,D,20200713,000000,28.372,28.372,28.372,28.372,11,0
SSLY.US,D,20200714,000000,28.826,28.826,28.826,28.826,107,0
SSLY.US,D,20200715,000000,29.935,30.036,29.935,30.036,107,0
SSLY.US,D,20200716,000000,29.846,29.846,29.846,29.846,107,0
SSLY.US,D,20200717,000000,29.851,29.851,29.851,29.851,1,0
SSLY.US,D,20200720,000000,29.65,29.65,29.65,29.65,5,0
SSLY.US,D,20200721,000000,30.265,30.265,30.265,30.265,1,0
SSLY.US,D,20200722,000000,30.298,30.298,30.298,30.298,1,0
SSLY.US,D,20200723,000000,30.491,30.491,30.491,30.491,1,0
SSLY.US,D,20200724,000000,29.961,29.961,29.961,29.961,1,0
SSLY.US,D,20200727,000000,30.303,30.303,30.303,30.303,1,0
SSLY.US,D,20200728,000000,30.101,30.101,30.101,30.101,1,0
SSLY.US,D,20200729,000000,30.648,30.886,30.556,30.886,885,0
SSLY.US,D,20200730,000000,30.794,30.794,30.794,30.794,1,0
SSLY.US,D,20200731,000000,30.515,30.515,30.515,30.515,1,0
SSLY.US,D,20200803,000000,30.852,31.274,29.583,30.973,1321,0
SSLY.US,D,20200804,000000,31.206,31.206,31.206,31.206,32,0
SSLY.US,D,20200805,000000,31.843,31.843,31.843,31.843,5,0
SSLY.US,D,20200806,000000,31.728,31.728,31.728,31.728,1,0
SSLY.US,D,20200807,000000,31.965,32.278,31.965,32.278,107,0
SSLY.US,D,20200810,000000,32.686,32.686,32.686,32.686,27,0
SSLY.US,D,20200811,000000,32.644,32.644,32.644,32.644,1,0
SSLY.US,D,20200812,000000,32.712,32.712,32.712,32.712,1,0
SSLY.US,D,20200813,000000,32.531,32.531,32.531,32.531,1,0
SSLY.US,D,20200814,000000,32.53,32.53,32.53,32.53,1,0
SSLY.US,D,20200817,000000,32.571,32.571,32.571,32.571,1,0
SSLY.US,D,20200818,000000,32.161,32.161,32.161,32.161,1,0
SSLY.US,D,20200819,000000,32.238,32.238,32.238,32.238,1,0
SSLY.US,D,20200820,000000,32.005,32.005,32.005,32.005,1,0
SSLY.US,D,20200821,000000,31.715,31.715,31.715,31.715,1,0
SSLY.US,D,20200824,000000,32.237,32.237,32.237,32.237,1,0
SSLY.US,D,20200825,000000,32.329,32.329,32.329,32.329,1,0
SSLY.US,D,20200826,000000,32.061,32.061,32.061,32.061,1,0
SSLY.US,D,20200827,000000,32.088,32.088,32.088,32.088,1,0
SSLY.US,D,20200828,000000,32.371,32.371,32.371,32.371,1,0
SSLY.US,D,20200831,000000,31.961,31.961,31.961,31.961,1,0
SSLY.US,D,20200901,000000,32.263,32.263,32.263,32.263,1,0
SSLY.US,D,20200902,000000,32.758,32.758,32.758,32.758,5,0
SSLY.US,D,20200903,000000,31.856,31.856,31.856,31.856,1,0
SSLY.US,D,20200904,000000,31.697,31.697,31.697,31.697,1,0
SSLY.US,D,20200908,000000,31.044,31.044,31.044,31.044,1,0
SSLY.US,D,20200909,000000,31.334,31.334,31.334,31.334,11,0
SSLY.US,D,20200910,000000,31.055,31.055,31.055,31.055,17,0
SSLY.US,D,20200911,000000,30.771,30.771,30.771,30.771,107,0
SSLY.US,D,20200914,000000,31.362,31.362,31.362,31.362,1,0
SSLY.US,D,20200915,000000,31.358,31.358,31.358,31.358,1,0
SSLY.US,D,20200916,000000,31.625,31.625,31.625,31.625,1,0
SSLY.US,D,20200917,000000,31.365,31.365,31.365,31.365,3,0
SSLY.US,D,20200918,000000,31.314,31.314,31.314,31.314,6,0
SSLY.US,D,20200921,000000,30.235,30.235,30.235,30.235,1,0
SSLY.US,D,20200922,000000,30.381,30.381,30.381,30.381,64,0
SSLY.US,D,20200923,000000,29.492,29.492,29.492,29.492,1,0
SSLY.US,D,20200924,000000,29.485,29.485,29.485,29.485,1,0
SSLY.US,D,20200925,000000,29.771,29.771,29.771,29.771,1,0
SSLY.US,D,20200928,000000,30.612,30.612,30.612,30.612,1,0
SSLY.US,D,20200929,000000,30.493,30.493,30.493,30.493,1,0
SSLY.US,D,20200930,000000,30.788,30.788,30.371,30.572,647,0
SSLY.US,D,20201001,000000,31.002,31.002,31.002,31.002,1,0
SSLY.US,D,20201002,000000,31.404,31.404,31.404,31.404,1,0
SSLY.US,D,20201005,000000,31.789,32.044,30.613,32.044,2308,0
SSLY.US,D,20201006,000000,32.042,32.042,32.042,32.042,2,0
SSLY.US,D,20201007,000000,32.491,32.491,32.491,32.491,2,0
SSLY.US,D,20201008,000000,32.643,33.069,32.633,33.069,1186,0
SSLY.US,D,20201009,000000,33.283,33.283,33.283,33.283,3,0
SSLY.US,D,20201012,000000,33.431,33.431,33.431,33.431,2,0
SSLY.US,D,20201013,000000,33.166,33.166,33.166,33.166,2,0
SSLY.US,D,20201014,000000,32.967,32.967,32.967,32.967,3,0
SSLY.US,D,20201015,000000,33.291,33.291,33.291,33.291,64,0
SSLY.US,D,20201016,000000,33.1,33.1,33.1,33.1,3,0
SSLY.US,D,20201019,000000,32.708,32.708,32.708,32.708,4,0
SSLY.US,D,20201020,000000,32.896,32.896,32.896,32.896,26,0
SSLY.US,D,20201021,000000,32.709,32.709,32.709,32.709,1,0
SSLY.US,D,20201023,000000,33.354,33.354,33.354,33.354,1,0
SSLY.US,D,20201026,000000,32.543,32.543,32.543,32.543,1,0
SSLY.US,D,20201027,000000,32.207,32.207,32.207,32.207,1,0
SSLY.US,D,20201028,000000,31.224,31.224,31.224,31.224,1,0
SSLY.US,D,20201029,000000,31.72,31.72,31.72,31.72,1,0
SSLY.US,D,20201030,000000,31.082,31.082,31.082,31.082,2,0
SSLY.US,D,20201102,000000,31.382,31.779,31.382,31.779,919,0
SSLY.US,D,20201103,000000,32.713,32.713,32.713,32.713,2,0
SSLY.US,D,20201104,000000,32.365,32.365,32.365,32.365,86,0
SSLY.US,D,20201105,000000,33.281,33.281,33.281,33.281,3,0
SSLY.US,D,20201106,000000,32.926,32.926,32.926,32.926,17,0
SSLY.US,D,20201109,000000,31.864,35.109,31.864,33.943,1534,0
SSLY.US,D,20201110,000000,35.276,35.276,35.27,35.27,160,0
SSLY.US,D,20201111,000000,34.67,34.67,34.67,34.67,1,0
SSLY.US,D,20201112,000000,34.23,34.23,34.23,34.23,1,0
SSLY.US,D,20201113,000000,35.05,35.05,35.05,35.05,1,0
SSLY.US,D,20201116,000000,36.124,36.124,36.124,36.124,34,0
SSLY.US,D,20201117,000000,36.018,36.546,35.962,36.068,1473,0
SSLY.US,D,20201118,000000,36.166,36.166,36.166,36.166,238,0
SSLY.US,D,20201119,000000,36.458,36.458,36.458,36.458,1,0
SSLY.US,D,20201120,000000,36.436,36.436,36.436,36.436,1,0
