<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TINT.US,D,20250108,000000,29.6611,29.718,29.6611,29.718,203,0
TINT.US,D,20250130,000000,30.56,30.6756,30.5504,30.6756,795,0
TINT.US,D,20250212,000000,29.86,30.0084,29.86,30.0084,541,0
TINT.US,D,20250213,000000,30.35,30.35,30.35,30.35,140,0
TINT.US,D,20250310,000000,30.015,30.015,29.6167,29.6167,147,0
TINT.US,D,20250314,000000,29.88,30.0867,29.88,30.0867,261,0
TINT.US,D,20250318,000000,30.06,30.2773,30.06,30.2773,3486,0
TINT.US,D,20250320,000000,29.99,29.99,29.9436,29.9436,103,0
TINT.US,D,20250321,000000,29.49,29.6105,29.49,29.6105,100,0
TINT.US,D,20250324,000000,29.8,29.8,29.8,29.8,100,0
