<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLY.US,D,20221125,000000,17.5152,17.5152,17.5152,17.5152,8.1683370384224,0
TSLY.US,D,20221128,000000,17.5507,17.5999,17.5507,17.5999,156.36530902122,0
TSLY.US,D,20221129,000000,17.6107,17.6107,17.4653,17.4653,1814.5377278209,0
TSLY.US,D,20221130,000000,17.6881,18.4089,17.6881,18.4089,533.27571807987,0
TSLY.US,D,20221201,000000,18.4762,18.5107,18.4762,18.4781,514.60523342061,0
TSLY.US,D,20221202,000000,18.6502,18.6502,18.6502,18.6502,5.8345264560159,0
TSLY.US,D,20221205,000000,18.1421,18.1421,18.012,18.012,126.02577144995,0
TSLY.US,D,20221206,000000,17.6243,17.6243,17.6243,17.6243,7.0014317472192,0
TSLY.US,D,20221207,000000,17.0529,17.1255,17.0529,17.1255,2909.0948909696,0
TSLY.US,D,20221208,000000,16.9681,17.0323,16.9681,17.0323,116.69052912032,0
TSLY.US,D,20221209,000000,17.5373,17.5373,17.5373,17.5373,7.0014317472192,0
TSLY.US,D,20221212,000000,16.6492,16.6492,16.6492,16.6492,3.5007158736096,0
TSLY.US,D,20221213,000000,16.1109,16.1109,16.0323,16.0323,141.19554023559,0
TSLY.US,D,20221214,000000,15.6665,15.6665,15.6665,15.6665,15.169768785642,0
TSLY.US,D,20221215,000000,15.7231,15.7231,15.7231,15.7231,56.011453977753,0
TSLY.US,D,20221216,000000,15.3397,15.3397,15.0372,15.0372,888.01492660564,0
TSLY.US,D,20221219,000000,14.9709,14.9709,14.9709,14.9709,2.3338105824064,0
TSLY.US,D,20221220,000000,13.9897,13.9897,13.9897,13.9897,2.3338105824064,0
TSLY.US,D,20221221,000000,13.9317,13.9317,13.9317,13.9317,26.838821697674,0
TSLY.US,D,20221222,000000,12.798,12.798,12.798,12.798,152.86459314762,0
TSLY.US,D,20221223,000000,12.5921,12.5921,12.5921,12.5921,91.01861271385,0
TSLY.US,D,20221227,000000,11.4113,11.4113,11.4113,11.4113,9.3352423296256,0
TSLY.US,D,20221228,000000,11.7107,11.7107,11.7107,11.7107,165.70055135085,0
TSLY.US,D,20221229,000000,12.419,12.419,12.419,12.419,24.505011115267,0
TSLY.US,D,20221230,000000,12.5338,12.5338,12.5338,12.5338,24.505011115267,0
TSLY.US,D,20230103,000000,11.4786,11.4786,11.4786,11.4786,47.843116939331,0
TSLY.US,D,20230104,000000,11.9573,11.9805,11.899,11.9777,1431.7927923063,0
TSLY.US,D,20230105,000000,11.4576,11.8004,11.4576,11.7447,1807.5362960738,0
TSLY.US,D,20230106,000000,11.4652,12.0318,11.4652,12.0164,2438.8320586147,0
TSLY.US,D,20230109,000000,12.6403,12.8201,12.5614,12.5614,3045.6228100403,0
TSLY.US,D,20230110,000000,12.755,12.755,12.2309,12.4672,3895.0953755083,0
TSLY.US,D,20230111,000000,12.8655,12.8796,12.7737,12.8796,1067.8346339333,0
TSLY.US,D,20230112,000000,12.6265,12.9973,12.6265,12.9973,1645.2482700011,0
TSLY.US,D,20230113,000000,12.5251,12.8813,12.4149,12.8813,2733.7436555076,0
TSLY.US,D,20230117,000000,13.123,13.3253,13.123,13.2931,4057.1191641602,0
TSLY.US,D,20230118,000000,13.3897,13.4081,13.2656,13.2656,5692.5807623637,0
TSLY.US,D,20230119,000000,13.3161,13.3435,13.2068,13.2667,5509.8962221387,0
TSLY.US,D,20230120,000000,13.4358,13.4632,13.4279,13.4493,3788.5293937106,0
TSLY.US,D,20230123,000000,13.932,14.3278,13.932,14.2622,3802.6656974185,0
TSLY.US,D,20230124,000000,14.3,14.3092,14.2449,14.2709,4047.3324923624,0
TSLY.US,D,20230125,000000,14.2257,14.3828,14.2257,14.3357,1621.3252944956,0
TSLY.US,D,20230126,000000,14.9437,14.9804,14.9437,14.9525,5174.9745650599,0
TSLY.US,D,20230127,000000,14.9993,15.045,14.9993,15.0257,5388.1065286555,0
TSLY.US,D,20230130,000000,15.0264,15.0264,14.0707,14.0707,7055.1029582072,0
TSLY.US,D,20230131,000000,13.9413,14.4012,13.7713,14.3748,10468.47659967,0
TSLY.US,D,20230201,000000,14.5022,15.3024,14.4384,15.188,6542.9338007911,0
TSLY.US,D,20230202,000000,15.4128,15.4675,15.3668,15.3824,2660.8873210132,0
TSLY.US,D,20230203,000000,15.2935,15.6517,15.2935,15.5097,13045.633506413,0
TSLY.US,D,20230206,000000,15.7245,15.753,15.6922,15.6922,14015.601422369,0
