<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TWIO.US,D,20210406,000000,9.49025,9.56561,9.49025,9.53234,26462.53485627,0
TWIO.US,D,20210407,000000,9.56561,9.60282,9.52744,9.54604,25110.852156187,0
TWIO.US,D,20210408,000000,9.55583,9.57442,9.52744,9.55094,15118.821312038,0
TWIO.US,D,20210409,000000,9.55583,9.57442,9.54115,9.54115,6276.1805189786,0
TWIO.US,D,20210412,000000,9.59302,9.59302,9.56073,9.56073,2161.8749760962,0
TWIO.US,D,20210413,000000,9.53625,9.53723,9.49123,9.51766,19207.584853785,0
TWIO.US,D,20210414,000000,9.59302,9.62141,9.57051,9.57051,3165.1647806928,0
TWIO.US,D,20210415,000000,9.57051,9.61162,9.57051,9.57932,2584.8505148976,0
TWIO.US,D,20210416,000000,9.64099,9.64099,9.58421,9.62728,535.36034379697,0
TWIO.US,D,20210419,000000,9.56561,9.6312,9.56561,9.59792,937.90228169012,0
TWIO.US,D,20210420,000000,9.57442,9.57442,9.53723,9.57442,4792.7010930374,0
TWIO.US,D,20210421,000000,9.58421,9.62141,9.58421,9.62141,1303.6637379484,0
TWIO.US,D,20210422,000000,9.62141,9.66056,9.5754,9.61749,2953.6770112921,0
TWIO.US,D,20210423,000000,9.61162,9.68894,9.61162,9.66056,6109.6466715761,0
TWIO.US,D,20210426,000000,9.6312,9.66056,9.6312,9.65664,1207.6258136794,0
TWIO.US,D,20210427,000000,9.67426,9.67426,9.67426,9.67426,107.27640476848,0
TWIO.US,D,20210428,000000,9.69775,9.69775,9.68894,9.69188,3163.121420602,0
TWIO.US,D,20210429,000000,9.71635,9.71635,9.68405,9.70069,259853.08107056,0
TWIO.US,D,20210430,000000,9.69775,9.69775,9.66937,9.66937,2545.0049931264,0
TWIO.US,D,20210503,000000,9.70265,9.78388,9.67916,9.74473,6825.8443834114,0
TWIO.US,D,20210504,000000,9.71635,9.72516,9.70754,9.72516,60137.109153117,0
TWIO.US,D,20210505,000000,9.75452,9.75452,9.73494,9.73494,2258.9345804105,0
TWIO.US,D,20210506,000000,9.78388,9.78388,9.75354,9.75354,6246.5517976616,0
TWIO.US,D,20210507,000000,9.75942,9.78388,9.75942,9.78388,478.14626125378,0
TWIO.US,D,20210510,000000,9.8201,9.83968,9.7555,9.7555,490.40642179875,0
TWIO.US,D,20210511,000000,9.67818,9.67916,9.66252,9.66252,866.38467851113,0
TWIO.US,D,20210512,000000,9.65077,9.65077,9.61455,9.61455,186.96744831077,0
TWIO.US,D,20210513,000000,9.68894,9.68894,9.63218,9.65566,1892.1514441069,0
TWIO.US,D,20210514,000000,9.68992,9.74473,9.67916,9.73494,3962.0752161158,0
TWIO.US,D,20210517,000000,9.88861,9.88861,9.75942,9.75942,1296.5119776305,0
TWIO.US,D,20210518,000000,9.77409,9.78388,9.73103,9.73103,2111.8126538709,0
TWIO.US,D,20210519,000000,9.71635,9.73592,9.69677,9.69677,2635.9345171683,0
TWIO.US,D,20210520,000000,9.72613,9.73592,9.70265,9.70265,1866.6094429715,0
TWIO.US,D,20210521,000000,9.73005,9.73005,9.73005,9.73005,3.0650401362422,0
TWIO.US,D,20210524,000000,9.77409,9.80151,9.75159,9.76138,7083.3077548557,0
TWIO.US,D,20210525,000000,9.74963,9.74963,9.74963,9.74963,4.0867201816563,0
TWIO.US,D,20210526,000000,9.76626,9.78388,9.75452,9.75844,198251.90441237,0
TWIO.US,D,20210527,000000,9.74473,9.77899,9.74473,9.77899,118.51488526803,0
TWIO.US,D,20210528,000000,9.77899,9.82108,9.77899,9.78682,2930.1783702476,0
TWIO.US,D,20210601,000000,9.77507,9.80249,9.77409,9.80249,2596.0889953972,0
TWIO.US,D,20210602,000000,9.82108,9.82108,9.7927,9.81716,7011.7901516768,0
TWIO.US,D,20210603,000000,9.80151,9.82108,9.77409,9.79661,48422.525752399,0
TWIO.US,D,20210604,000000,9.80639,9.82891,9.80639,9.82891,1579.5173502102,0
TWIO.US,D,20210607,000000,9.82989,9.82989,9.82989,9.82989,690.65571069991,0
TWIO.US,D,20210608,000000,9.83283,9.87883,9.83283,9.87883,2286.5199416367,0
TWIO.US,D,20210609,000000,9.86904,9.86904,9.83968,9.83968,1270.9699764951,0
TWIO.US,D,20210610,000000,9.83968,9.85044,9.82108,9.84457,2692.1269196661,0
TWIO.US,D,20210611,000000,9.87883,9.87883,9.85925,9.86904,2641.0429173954,0
TWIO.US,D,20210614,000000,9.84946,9.86904,9.83968,9.84946,5871.5952209947,0
TWIO.US,D,20210615,000000,9.84946,9.84946,9.83968,9.84946,506.75330252538,0
TWIO.US,D,20210616,000000,9.83968,9.85925,9.80933,9.80933,5037.9043039368,0
TWIO.US,D,20210617,000000,9.7927,9.7927,9.71635,9.77116,8146.8766821318,0
TWIO.US,D,20210618,000000,9.72613,9.74278,9.72613,9.72613,2284.4765815459,0
TWIO.US,D,20210621,000000,9.78291,9.78291,9.78291,9.78291,1.0216800454141,0
TWIO.US,D,20210622,000000,9.78388,9.81129,9.75452,9.78193,4801.8962134461,0
TWIO.US,D,20210623,000000,9.77899,9.77899,9.77409,9.77409,504.70994243455,0
TWIO.US,D,20210624,000000,9.79074,9.82989,9.7878,9.79172,3732.1972058976,0
TWIO.US,D,20210625,000000,9.80151,9.87883,9.7927,9.8524,21270.356865476,0
TWIO.US,D,20210628,000000,9.82499,9.82499,9.78388,9.82499,4544.4328420018,0
TWIO.US,D,20210629,000000,9.71439,9.82304,9.71439,9.82304,6666.4622963268,0
TWIO.US,D,20210630,000000,9.81912,9.82793,9.79465,9.80542,1265.861576268,0
TWIO.US,D,20210701,000000,9.86219,9.86219,9.86219,9.86219,7.1517603178985,0
TWIO.US,D,20210702,000000,9.87687,9.88666,9.87687,9.88666,5612.0884894595,0
TWIO.US,D,20210706,000000,9.85729,9.89155,9.85729,9.89155,981.83452364292,0
TWIO.US,D,20210707,000000,9.87687,9.92385,9.87687,9.919,45341.138735431,0
TWIO.US,D,20210708,000000,9.91405,9.91405,9.87198,9.87198,797.93211546839,0
TWIO.US,D,20210709,000000,9.86708,9.86708,9.80933,9.86708,2668.6282786215,0
TWIO.US,D,20210712,000000,9.88079,9.90524,9.87198,9.87198,617.0947474301,0
TWIO.US,D,20210713,000000,9.83772,9.87198,9.83772,9.87198,399.4768977569,0
TWIO.US,D,20210714,000000,9.84262,9.84262,9.84262,9.84262,175.72896781122,0
TWIO.US,D,20210715,000000,9.79955,9.82401,9.79955,9.82401,1233.1678148148,0
TWIO.US,D,20210716,000000,9.81912,9.84848,9.80933,9.84848,6191.3810752093,0
TWIO.US,D,20210719,000000,9.77214,9.81129,9.77214,9.81129,1880.9129636073,0
TWIO.US,D,20210720,000000,9.77214,9.82793,9.77214,9.81912,23995.177546595,0
TWIO.US,D,20210721,000000,9.82304,9.82793,9.82304,9.82793,120.55824535886,0
TWIO.US,D,20210722,000000,9.8475,9.8475,9.82304,9.82304,4780.4409324924,0
