<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WPS.US,D,20070807,000000,30.8456,31.2633,30.8456,31.2563,5358.1531002707,0
WPS.US,D,20070808,000000,31.9016,32.2909,31.9016,32.2909,19481.689888556,0
WPS.US,D,20070809,000000,31.6065,31.6672,31.6065,31.6368,3731.5344868463,0
WPS.US,D,20070810,000000,30.9593,33.2077,30.9593,31.4163,23697.640576892,0
WPS.US,D,20070813,000000,31.3172,31.8144,31.0426,31.0955,5194.9813271373,0
WPS.US,D,20070814,000000,30.9033,32.0399,30.4003,30.4003,11360.834704419,0
WPS.US,D,20070815,000000,29.9974,30.0464,29.9974,30.0464,812.79939492116,0
WPS.US,D,20070816,000000,28.9904,28.9904,28.2441,28.957,3574.4816552054,0
WPS.US,D,20070817,000000,29.7463,29.7463,29.0982,29.2041,16557.85567872,0
WPS.US,D,20070820,000000,29.4355,29.5737,29.1806,29.5502,10549.05513308,0
WPS.US,D,20070821,000000,29.6296,32.0928,29.6296,29.6757,13309.717569782,0
WPS.US,D,20070822,000000,30.5719,30.8544,30.5298,30.8544,69625.395596057,0
WPS.US,D,20070823,000000,31.2563,31.2995,30.8122,30.977,28887.522786119,0
WPS.US,D,20070824,000000,31.0524,31.5947,30.9662,31.5947,13309.717569782,0
WPS.US,D,20070827,000000,31.5781,31.6574,31.4083,31.5476,53235.810808381,0
WPS.US,D,20070828,000000,31.2995,31.2995,30.6347,30.6474,42690.83496963,0
WPS.US,D,20070829,000000,31.1083,31.3897,30.977,31.3897,44471.446943949,0
WPS.US,D,20070830,000000,30.9289,31.3044,30.9289,31.0642,12174.653922922,0
WPS.US,D,20070831,000000,31.4221,31.8074,31.4221,31.7045,6653.3290495178,0
WPS.US,D,20070904,000000,31.6878,32.2183,31.6878,32.2183,25314.060954495,0
WPS.US,D,20070905,000000,31.6065,31.7045,31.2563,31.4299,26128.899996581,0
WPS.US,D,20070906,000000,31.2789,31.6604,31.2563,31.3957,27431.214710903,0
WPS.US,D,20070907,000000,30.9554,31.0044,30.5847,30.6886,47229.049909905,0
WPS.US,D,20070910,000000,30.6955,30.6955,30.1709,30.468,30509.042281633,0
WPS.US,D,20070911,000000,30.8318,31.175,30.8318,31.1642,19801.91449333,0
WPS.US,D,20070912,000000,31.3613,31.5525,31.3613,31.5133,12494.878527696,0
WPS.US,D,20070913,000000,31.7427,31.828,31.6604,31.7487,42360.412129034,0
WPS.US,D,20070914,000000,31.526,31.7163,31.526,31.7163,64437.553033995,0
WPS.US,D,20070917,000000,31.171,31.171,30.7984,30.9347,67028.92475607,0
WPS.US,D,20070918,000000,30.8122,31.6506,30.7083,31.6506,23860.812350026,0
WPS.US,D,20070919,000000,32.2537,32.8665,32.0575,32.3203,65251.372252498,0
WPS.US,D,20070920,000000,32.333,32.3919,32.2359,32.2359,40089.265011733,0
WPS.US,D,20070921,000000,32.3262,32.4301,32.2537,32.3076,49178.95259885,0
WPS.US,D,20070924,000000,32.3576,32.3576,32.1732,32.2457,69951.739142324,0
WPS.US,D,20070925,000000,32.2683,32.5056,32.2683,32.4037,15418.712737532,0
WPS.US,D,20070926,000000,32.6419,32.7949,32.6419,32.789,13959.34519157,0
WPS.US,D,20070927,000000,33.3528,33.4842,33.3009,33.4842,25643.463971508,0
WPS.US,D,20070928,000000,33.4734,33.5489,33.3597,33.3891,12015.561444116,0
WPS.US,D,20071001,000000,33.4666,33.8009,33.4666,33.796,39441.677037109,0
WPS.US,D,20071002,000000,33.8166,33.9716,33.6774,33.9716,55831.261824785,0
WPS.US,D,20071003,000000,34.0716,34.1089,33.6774,33.7156,54862.429421805,0
WPS.US,D,20071004,000000,33.5038,33.5921,33.4137,33.5656,22402.464627645,0
WPS.US,D,20071005,000000,33.85,34.152,33.8166,34.0068,59564.835958796,0
WPS.US,D,20071008,000000,33.5813,33.6137,33.5254,33.5656,31649.205046403,0
WPS.US,D,20071009,000000,33.9059,34.2383,33.8931,34.2383,9086.6281163708,0
WPS.US,D,20071010,000000,34.0657,34.1824,34.004,34.0441,12015.561444116,0
WPS.US,D,20071011,000000,34.4167,34.503,33.9804,34.0833,26294.111416879,0
WPS.US,D,20071012,000000,33.9804,34.1206,33.9804,34.0951,49830.619867801,0
WPS.US,D,20071015,000000,34.0068,34.0068,33.5489,33.6774,48527.285329898,0
WPS.US,D,20071016,000000,33.2077,33.2077,33.0312,33.0969,25643.463971508,0
WPS.US,D,20071017,000000,33.4558,33.4666,32.9763,33.1165,14282.629267091,0
WPS.US,D,20071018,000000,33.1165,33.1989,33.0116,33.1989,31000.597248198,0
WPS.US,D,20071019,000000,32.9763,32.991,32.2537,32.2968,32296.793021026,0
WPS.US,D,20071022,000000,32.0154,32.2752,32.0154,32.2359,26618.415315982,0
WPS.US,D,20071023,000000,32.9263,32.9263,32.6616,32.9263,26946.798509413,0
WPS.US,D,20071024,000000,32.8547,32.9449,32.4703,32.8979,21427.513283173,0
WPS.US,D,20071025,000000,33.3274,33.4499,33.1871,33.348,20611.654417505,0
WPS.US,D,20071026,000000,33.6087,34.1461,33.6087,34.1461,17366.575779313,0
WPS.US,D,20071029,000000,34.3785,34.4824,34.2324,34.3746,25314.060954495,0
WPS.US,D,20071030,000000,34.2697,34.453,34.2697,34.305,22402.464627645,0
WPS.US,D,20071031,000000,34.553,35.0022,34.503,34.9227,13796.173418436,0
WPS.US,D,20071101,000000,34.2324,34.357,34.0441,34.0441,52099.727337939,0
WPS.US,D,20071102,000000,33.7695,33.8686,33.4263,33.5489,63296.370445642,0
WPS.US,D,20071105,000000,32.9263,33.0489,32.8224,33.042,22879.74206406,0
WPS.US,D,20071106,000000,33.3274,33.4627,33.2028,33.4499,24830.664576588,0
WPS.US,D,20071107,000000,33.445,33.5587,32.8979,32.8979,71900.622007687,0
WPS.US,D,20071108,000000,32.9684,33.0058,32.2183,32.7096,76121.671813933,0
WPS.US,D,20071109,000000,32.0399,32.4586,31.9692,32.1124,51938.595211969,0
WPS.US,D,20071112,000000,31.6574,31.8849,31.3456,31.3456,95433.051164282,0
WPS.US,D,20071113,000000,31.9585,32.5547,31.9585,32.5547,14447.840687388,0
WPS.US,D,20071114,000000,32.7292,32.7645,32.285,32.3576,33596.048264602,0
WPS.US,D,20071115,000000,31.7427,31.8849,31.5074,31.6878,39441.677037109,0
WPS.US,D,20071116,000000,31.6261,34.305,31.171,31.3957,181130.86641399,0
WPS.US,D,20071119,000000,31.0338,31.0338,30.3238,30.4926,35387.878298324,0
WPS.US,D,20071120,000000,31.0044,31.2789,30.6759,31.0201,34406.808012359,0
WPS.US,D,20071121,000000,30.2395,30.4111,29.9424,30.1189,106797.96516303,0
WPS.US,D,20071123,000000,30.8799,31.1985,30.8544,31.1985,6006.7608984763,0
WPS.US,D,20071126,000000,31.2054,31.3858,30.5298,30.5504,21753.85682944,0
