<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XDJA.US,D,20220104,000000,24.91,24.91,24.8379,24.8379,319,0
XDJA.US,D,20220105,000000,24.82,24.82,24.4123,24.4123,1020,0
XDJA.US,D,20220106,000000,24.42,24.468,24.3517,24.3517,4891,0
XDJA.US,D,20220107,000000,24.39,24.39,24.3122,24.3122,3912,0
XDJA.US,D,20220110,000000,24.14,24.26,23.93,24.26,8084,0
XDJA.US,D,20220111,000000,24.46,24.46,24.4559,24.4559,430,0
XDJA.US,D,20220112,000000,24.53,24.57,24.53,24.57,854,0
XDJA.US,D,20220113,000000,24.5846,24.5846,24.1921,24.1921,1500,0
XDJA.US,D,20220114,000000,24.2,24.2427,24.17,24.2427,2196,0
XDJA.US,D,20220118,000000,24.04,24.04,23.7808,23.7808,854,0
XDJA.US,D,20220119,000000,23.9,23.9,23.595,23.595,1312,0
XDJA.US,D,20220120,000000,23.55,23.55,23.3002,23.3002,605,0
XDJA.US,D,20220121,000000,23.31,23.31,22.88,22.88,1952,0
XDJA.US,D,20220124,000000,22.28,22.883,22.2086,22.883,533,0
XDJA.US,D,20220125,000000,22.65,22.845,22.385,22.635,759,0
XDJA.US,D,20220126,000000,23.03,23.03,22.54,22.562,7646,0
XDJA.US,D,20220127,000000,22.4513,22.4513,22.4513,22.4513,23,0
XDJA.US,D,20220128,000000,22.9889,22.9889,22.9889,22.9889,23,0
XDJA.US,D,20220131,000000,23.4761,23.4761,23.4761,23.4761,25,0
XDJA.US,D,20220201,000000,23.53,23.6642,23.53,23.6642,890,0
XDJA.US,D,20220202,000000,23.8927,23.8927,23.8927,23.8927,23,0
XDJA.US,D,20220203,000000,23.2885,23.2885,23.2885,23.2885,23,0
XDJA.US,D,20220204,000000,23.4298,23.4298,23.4298,23.4298,23,0
XDJA.US,D,20220207,000000,23.2681,23.2681,23.2681,23.2681,23,0
XDJA.US,D,20220208,000000,23.5345,23.5345,23.5345,23.5345,23,0
XDJA.US,D,20220209,000000,23.8812,23.8812,23.8502,23.8502,697,0
XDJA.US,D,20220210,000000,23.77,23.77,23.42,23.47,27603,0
XDJA.US,D,20220211,000000,23.4737,23.4737,22.9461,23.01,2880,0
XDJA.US,D,20220214,000000,22.96,22.98,22.75,22.8691,117516,0
XDJA.US,D,20220215,000000,23.21,23.24,23.16,23.2316,2294,0
XDJA.US,D,20220216,000000,23.14,23.2834,23.06,23.2834,2080,0
XDJA.US,D,20220217,000000,22.8801,22.89,22.7,22.75,4753,0
XDJA.US,D,20220218,000000,22.7048,22.7048,22.5605,22.5605,941,0
XDJA.US,D,20220222,000000,22.2794,22.2794,22.2794,22.2794,65,0
XDJA.US,D,20220223,000000,21.8381,21.8381,21.8381,21.8381,23,0
XDJA.US,D,20220224,000000,21.4117,22.191,21.4117,22.191,237,0
XDJA.US,D,20220225,000000,22.67,22.7402,22.67,22.7402,994,0
XDJA.US,D,20220228,000000,22.4834,22.6643,22.4834,22.6643,945,0
XDJA.US,D,20220301,000000,22.2902,22.2902,22.2902,22.2902,3,0
XDJA.US,D,20220302,000000,22.74,22.7979,22.74,22.7979,289,0
XDJA.US,D,20220303,000000,22.6478,22.6478,22.6478,22.6478,148,0
XDJA.US,D,20220304,000000,22.56,22.56,22.42,22.4854,449,0
XDJA.US,D,20220307,000000,21.85,21.85,21.73,21.73,208,0
