<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XLU.US,D,20050225,000000,19.105,19.4636,19.0389,19.4045,5348233.958181,0
XLU.US,D,20050228,000000,19.4518,19.4903,19.1975,19.2714,2969034.2011849,0
XLU.US,D,20050301,000000,19.305,19.4567,19.238,19.3267,2231025.4469112,0
XLU.US,D,20050302,000000,19.4045,19.4262,19.2123,19.305,3874493.6969085,0
XLU.US,D,20050303,000000,19.4045,19.4518,19.238,19.4045,3485449.7467173,0
XLU.US,D,20050304,000000,19.5326,19.7366,19.441,19.708,2577873.3446589,0
XLU.US,D,20050307,000000,19.7366,19.8894,19.7366,19.8489,1702856.3015857,0
XLU.US,D,20050308,000000,19.8824,19.8824,19.6647,19.7159,2655801.0711413,0
XLU.US,D,20050309,000000,19.8173,19.8173,19.3444,19.3651,6447390.3835304,0
XLU.US,D,20050310,000000,19.4045,19.5503,19.2596,19.4903,3616587.3245169,0
XLU.US,D,20050311,000000,19.5059,19.5956,19.3581,19.4045,2647513.0682479,0
XLU.US,D,20050314,000000,19.4192,19.7159,19.3769,19.7031,834016.44396745,0
XLU.US,D,20050315,000000,19.708,19.8489,19.6193,19.6193,3845403.9940876,0
XLU.US,D,20050316,000000,19.6046,19.6695,19.3395,19.441,6102512.2437863,0
XLU.US,D,20050317,000000,19.4695,19.6124,19.4518,19.5503,1256526.9987157,0
XLU.US,D,20050318,000000,19.5385,19.5385,19.2203,19.3444,2037786.1993358,0
XLU.US,D,20050321,000000,19.441,19.441,19.2852,19.3395,1397163.2549874,0
XLU.US,D,20050322,000000,19.3581,19.4192,18.9276,18.9482,5595438.0802343,0
XLU.US,D,20050323,000000,18.96,18.96,18.6625,18.8527,9908272.4478618,0
XLU.US,D,20050324,000000,18.9404,19.1326,18.9069,19.0557,3585539.0266692,0
XLU.US,D,20050328,000000,19.1749,19.2203,19.0695,19.0882,1233016.7546811,0
XLU.US,D,20050329,000000,19.1749,19.1749,18.8222,18.8478,1968147.4905629,0
XLU.US,D,20050330,000000,18.96,19.1542,18.8527,19.1542,1770081.7777296,0
XLU.US,D,20050331,000000,19.2271,19.3651,19.0389,19.3395,1159604.9597373,0
XLU.US,D,20050401,000000,19.5059,19.57,19.2538,19.4045,2569733.5049127,0
XLU.US,D,20050404,000000,19.5632,19.5632,19.2794,19.4567,2524054.6036961,0
XLU.US,D,20050405,000000,19.441,19.5818,19.4192,19.57,1844244.5365697,0
XLU.US,D,20050406,000000,19.6242,19.6972,19.5059,19.5149,1146490.4915861,0
XLU.US,D,20050407,000000,19.57,19.7159,19.5326,19.6903,1523176.0116028,0
XLU.US,D,20050408,000000,19.7721,19.7721,19.4981,19.5385,1597490.9928543,0
XLU.US,D,20050411,000000,19.6577,19.7829,19.5198,19.7316,2213543.2103686,0
XLU.US,D,20050412,000000,19.8361,19.9681,19.5503,19.914,1160057.5677072,0
XLU.US,D,20050413,000000,19.9681,19.9681,19.7425,19.777,1022286.1372183,0
XLU.US,D,20050414,000000,19.708,19.8361,19.57,19.5898,1181763.4687586,0
XLU.US,D,20050415,000000,19.5326,19.6577,19.2123,19.2458,1763751.3550471,0
XLU.US,D,20050418,000000,19.2311,19.4124,19.105,19.3197,1491523.8981898,0
XLU.US,D,20050419,000000,19.37,19.6046,19.238,19.5898,1213118.2410613,0
XLU.US,D,20050420,000000,19.6381,19.6381,19.4124,19.4192,1174827.2008785,0
XLU.US,D,20050421,000000,19.3119,19.6577,19.3119,19.5898,5800586.1944625,0
XLU.US,D,20050422,000000,19.6695,19.7366,19.5572,19.7159,3254368.0076648,0
XLU.US,D,20050425,000000,19.8361,19.8824,19.7366,19.8489,975709.12377436,0
XLU.US,D,20050426,000000,19.8894,19.8894,19.5956,19.5956,1881027.5600634,0
XLU.US,D,20050427,000000,19.7031,19.8361,19.4518,19.7425,867783.43408301,0
XLU.US,D,20050428,000000,19.8321,19.8361,19.5898,19.6577,3365916.5907477,0
XLU.US,D,20050429,000000,19.6046,19.9435,19.6046,19.9356,1417661.5249082,0
XLU.US,D,20050502,000000,20.048,20.1012,19.9307,19.9889,1651604.0304792,0
XLU.US,D,20050503,000000,20.1012,20.1012,19.8321,19.8894,3459824.6259802,0
XLU.US,D,20050504,000000,20.0194,20.0194,19.7652,19.906,2254545.8391066,0
XLU.US,D,20050505,000000,20.0342,20.0342,19.6439,19.8321,1579855.5190841,0
XLU.US,D,20050506,000000,19.7721,19.8952,19.7652,19.7829,2260425.6834514,0
XLU.US,D,20050509,000000,19.7829,19.9583,19.6577,19.9504,4730219.0863755,0
XLU.US,D,20050510,000000,19.9681,19.9681,19.7829,19.8017,1263461.2369636,0
XLU.US,D,20050511,000000,19.9022,19.9307,19.708,19.8952,1032987.3727406,0
XLU.US,D,20050512,000000,19.9583,19.9583,19.6647,19.6695,1177995.4566681,0
XLU.US,D,20050513,000000,19.6124,19.8696,19.0389,19.3513,3092336.384061,0
XLU.US,D,20050516,000000,19.3581,19.4735,19.2538,19.4735,4515570.264043,0
XLU.US,D,20050517,000000,19.57,19.7316,19.4124,19.7031,1156440.7632121,0
XLU.US,D,20050518,000000,19.8321,19.8765,19.6903,19.708,1910419.678075,0
XLU.US,D,20050519,000000,19.7829,19.8489,19.7031,19.8243,737394.79054758,0
