<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZSC.US,D,20250103,000000,22.5,22.5,22.5,22.5,177,0
ZSC.US,D,20250121,000000,23.13,23.13,23.06,23.06,422,0
ZSC.US,D,20250122,000000,23.08,23.09,22.9588,22.9588,418,0
ZSC.US,D,20250123,000000,23,23,22.7951,22.7951,333,0
ZSC.US,D,20250124,000000,23.07,23.5,22.72,22.9,4162,0
ZSC.US,D,20250128,000000,24,25,22.5,22.6751,1857,0
ZSC.US,D,20250129,000000,22.6,22.7664,22.42,22.7664,2488,0
ZSC.US,D,20250207,000000,23,23.17,23,23.17,1500,0
ZSC.US,D,20250214,000000,23.35,23.359,23.02,23.165,3706,0
ZSC.US,D,20250218,000000,22.96,23.0201,22.95,23.0201,3648,0
ZSC.US,D,20250219,000000,22.3,22.96,22.3,22.95,442,0
