<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPW.US,D,20250220,000000,50.32,50.5036,50.17,50.5036,2952,0
AAPW.US,D,20250221,000000,50.51,51.04,50.43,50.43,2990,0
AAPW.US,D,20250224,000000,50.9,51.08,50.8255,50.8255,2632,0
AAPW.US,D,20250225,000000,51.285,51.86,50.59,51.0169,6968,0
AAPW.US,D,20250226,000000,50.08,51.14,48.95,49.0875,4024,0
AAPW.US,D,20250227,000000,49.31,49.4092,48.4011,48.4011,2108,0
AAPW.US,D,20250228,000000,47.92,49.3735,47.92,49.3735,6356,0
AAPW.US,D,20250303,000000,49.0191,49.72,48.275,48.275,5493,0
AAPW.US,D,20250304,000000,48.29,48.58,47.56,47.7595,3799,0
AAPW.US,D,20250305,000000,47.295,47.84,46.22,47.6855,2790,0
AAPW.US,D,20250306,000000,47.5178,47.5987,47.5178,47.5987,1184,0
AAPW.US,D,20250307,000000,47.6096,48.78,47.6096,48.5616,4780,0
AAPW.US,D,20250311,000000,44.84,44.9199,43.311,43.9504,7971,0
AAPW.US,D,20250312,000000,43.95,44.015,42.62,42.9447,5255,0
AAPW.US,D,20250313,000000,43.06,43.069,41.0756,41.0756,5139,0
AAPW.US,D,20250314,000000,41.7545,42.0727,41.61,42.0727,3666,0
AAPW.US,D,20250317,000000,41.979,42.09,41.635,41.942,3366,0
AAPW.US,D,20250318,000000,41.96,42.08,41.371,41.6248,1601,0
AAPW.US,D,20250319,000000,42.8,42.8,42.1852,42.1852,757,0
AAPW.US,D,20250320,000000,42.655,42.655,42.0015,42.0015,1289,0
AAPW.US,D,20250321,000000,41.5,42.75,41.5,42.75,17072,0
AAPW.US,D,20250324,000000,43.24,43.24,43.1026,43.19,2657,0
