<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIS.US,D,20241205,000000,25.79,25.79,25.6026,25.63,7550,0
AIS.US,D,20241206,000000,25.39,25.56,25.39,25.54,4780,0
AIS.US,D,20241209,000000,25.55,25.56,25.19,25.1919,14904,0
AIS.US,D,20241210,000000,25.1107,25.24,24.73,24.7352,7091,0
AIS.US,D,20241211,000000,24.9,24.9676,24.84,24.9676,10567,0
AIS.US,D,20241212,000000,24.98,25.03,24.8774,24.8774,2287,0
AIS.US,D,20241213,000000,24.94,25.0306,24.94,25.0306,335,0
AIS.US,D,20241216,000000,24.915,25.2217,24.915,25.2217,4124,0
AIS.US,D,20241217,000000,24.87,24.92,24.8275,24.8275,1493,0
AIS.US,D,20241218,000000,24.89,24.89,24.0396,24.0396,253,0
AIS.US,D,20241219,000000,24.05,24.27,23.8726,23.8726,788,0
AIS.US,D,20241220,000000,24.22,24.39,24.1825,24.1825,512,0
AIS.US,D,20241223,000000,24.4,24.55,24.3299,24.55,6824,0
AIS.US,D,20241226,000000,24.85,24.9162,24.85,24.9162,203,0
AIS.US,D,20241227,000000,24.35,24.56,24.35,24.5056,1808,0
AIS.US,D,20241230,000000,23.98,24.26,23.9514,24.1701,6890,0
AIS.US,D,20241231,000000,24.1,24.1,23.8527,23.8527,1291,0
AIS.US,D,20250102,000000,23.9607,23.9607,23.73,23.9158,3316,0
AIS.US,D,20250103,000000,24.3,24.63,24.3,24.6045,3537,0
AIS.US,D,20250106,000000,25.38,25.54,25.26,25.3166,6232,0
AIS.US,D,20250107,000000,25.46,25.46,25.0238,25.0238,2834,0
AIS.US,D,20250108,000000,24.91,24.95,24.59,24.7403,5434,0
AIS.US,D,20250110,000000,24.16,24.52,24.1599,24.3864,24856,0
AIS.US,D,20250113,000000,23.79,23.9358,23.7301,23.9358,4476,0
AIS.US,D,20250114,000000,24.33,24.36,24.11,24.2278,2656,0
AIS.US,D,20250115,000000,24.74,24.96,24.74,24.9198,11783,0
AIS.US,D,20250116,000000,25.0137,25.0699,24.9769,24.9769,1945,0
AIS.US,D,20250117,000000,25.34,25.4552,25.29,25.4156,932,0
AIS.US,D,20250121,000000,25.878,26.0846,25.76,26.0452,2822,0
AIS.US,D,20250122,000000,26.525,26.78,26.5,26.6309,49735,0
AIS.US,D,20250123,000000,26.35,26.47,26.35,26.4299,2749,0
AIS.US,D,20250124,000000,26.4389,26.59,26.1868,26.1868,5432,0
AIS.US,D,20250127,000000,24.24,24.58,23.53,23.7316,72179,0
AIS.US,D,20250128,000000,23.68,24.07,23.34,23.9925,19673,0
AIS.US,D,20250129,000000,24.04,24.13,23.98,24.0183,882,0
AIS.US,D,20250130,000000,24.41,24.54,24.35,24.4959,2811,0
AIS.US,D,20250131,000000,24.79,24.841,24.4487,24.4487,2492,0
AIS.US,D,20250203,000000,24.1097,24.2,24,24.0021,7654,0
AIS.US,D,20250204,000000,24.0626,24.3992,24.0626,24.3721,8386,0
AIS.US,D,20250205,000000,24.4614,24.96,24.4614,24.9461,41371,0
AIS.US,D,20250206,000000,25.11,25.11,24.8,24.8929,8078,0
AIS.US,D,20250207,000000,24.85,24.85,24.7458,24.7458,639,0
AIS.US,D,20250210,000000,25.11,25.265,25.11,25.2458,7138,0
AIS.US,D,20250211,000000,25.25,25.27,25.0546,25.0546,7774,0
AIS.US,D,20250212,000000,24.7,24.95,24.7,24.9058,1766,0
AIS.US,D,20250213,000000,25.19,25.3972,25.04,25.3972,11400,0
AIS.US,D,20250214,000000,25.5,25.75,25.5,25.7428,8960,0
AIS.US,D,20250218,000000,26.235,26.3999,26.1,26.3896,5713,0
AIS.US,D,20250219,000000,26.23,26.53,26.23,26.3693,15181,0
AIS.US,D,20250220,000000,26.1595,26.2344,26.01,26.2344,2143,0
AIS.US,D,20250221,000000,26.455,26.49,25.66,25.7496,9192,0
