<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATIP.US,D,20201005,000000,501,501,494.5,494.5,58.12,0
ATIP.US,D,20201006,000000,500,503,494.5,502,110.92,0
ATIP.US,D,20201007,000000,495.5,496,495,495,121.82,0
ATIP.US,D,20201008,000000,494,495,494,495,25.04,0
ATIP.US,D,20201009,000000,494,495,493,493,62.74,0
ATIP.US,D,20201012,000000,494.5,495,492.5,495,406.72,0
ATIP.US,D,20201013,000000,497.5,497.5,491,492.5,6861.58,0
ATIP.US,D,20201014,000000,493,494,489.5,493.5,1899.12,0
ATIP.US,D,20201015,000000,491.75,493.5,491,493.5,250.14,0
ATIP.US,D,20201016,000000,492,492.5,489.5,492.5,1084.76,0
ATIP.US,D,20201019,000000,494.5,495,491,495,177.28,0
ATIP.US,D,20201020,000000,495,495,491.5,495,130.56,0
ATIP.US,D,20201021,000000,494.5,494.5,490.5,492.5,16.36,0
ATIP.US,D,20201022,000000,491,492.5,491,492.5,166.02,0
ATIP.US,D,20201023,000000,490,490,486,489.5,99.7,0
ATIP.US,D,20201026,000000,484.5,490,482.5,485,74.26,0
ATIP.US,D,20201027,000000,489.5,489.5,485,486.5,12275.2,0
ATIP.US,D,20201028,000000,485.5,486.5,484,485,143.54,0
ATIP.US,D,20201029,000000,483,486.985,483,484.5,1432.96,0
ATIP.US,D,20201030,000000,486.5,486.5,483.5,485,76.46,0
ATIP.US,D,20201102,000000,485.5,488.5,485,485,191.16,0
ATIP.US,D,20201103,000000,486.5,486.5,486.5,486.5,2789.04,0
ATIP.US,D,20201104,000000,487,490.5,486.5,486.505,16.04,0
ATIP.US,D,20201105,000000,486.5,486.5,486.5,486.5,4,0
ATIP.US,D,20201106,000000,486.5,486.5,486.5,486.5,5.84,0
ATIP.US,D,20201109,000000,497,497,488.5,494.5,616.84,0
ATIP.US,D,20201110,000000,491.785,496.5,491.785,496.5,63.2,0
ATIP.US,D,20201111,000000,492.5,495,490.5,495,311.24,0
ATIP.US,D,20201112,000000,495.5,496,494,495.5,435.06,0
ATIP.US,D,20201113,000000,497,497,489,490,2494.88,0
ATIP.US,D,20201116,000000,497,497,493,495,145,0
ATIP.US,D,20201117,000000,495.5,495.5,492.15,492.5,843.78,0
ATIP.US,D,20201118,000000,497,497,493,497,379.7,0
ATIP.US,D,20201119,000000,494,499,494,497.5,3922.22,0
ATIP.US,D,20201120,000000,501,501,493.5,498,7433.32,0
ATIP.US,D,20201123,000000,501,504.21,495.5,502,5117.44,0
ATIP.US,D,20201124,000000,502,505.25,500,503,6424.5,0
ATIP.US,D,20201125,000000,507.5,509,502,507.5,2168.6,0
ATIP.US,D,20201127,000000,512.5,515.5,507.75,515,477.38,0
ATIP.US,D,20201130,000000,515,517.5,510,512.5,2518.8,0
ATIP.US,D,20201201,000000,511,512.5,509.75,511.5,2861.48,0
ATIP.US,D,20201202,000000,510,513.5,510,510.5,1845.46,0
ATIP.US,D,20201203,000000,512.5,512.75,509.5,512,2709.76,0
ATIP.US,D,20201204,000000,515,515,510.65,513.5,7107.44,0
ATIP.US,D,20201207,000000,515,515,510.5,511,2786.94,0
ATIP.US,D,20201208,000000,512.5,513.25,510,511.5,5766.84,0
ATIP.US,D,20201209,000000,515,515,512.25,513.5,1784.84,0
ATIP.US,D,20201210,000000,510.5,515,510.5,515,3464.9,0
