<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAI.US,D,20241023,000000,25.05,25.05,24.49,24.58,168954,0
BAI.US,D,20241024,000000,24.79,24.88,24.7,24.845,107246,0
BAI.US,D,20241025,000000,25.04,25.32,25.04,25.09,64385,0
BAI.US,D,20241028,000000,25.37,25.37,24.97,24.97,74558,0
BAI.US,D,20241029,000000,25.07,25.4614,24.9574,25.4003,69822,0
BAI.US,D,20241030,000000,25.5,25.65,25.38,25.4593,52926,0
BAI.US,D,20241031,000000,25.17,25.17,24.45,24.58,82396,0
BAI.US,D,20241101,000000,24.68,24.8785,24.6,24.66,23751,0
BAI.US,D,20241104,000000,24.6,24.695,24.3849,24.49,10488,0
BAI.US,D,20241105,000000,24.79,25.2499,24.79,25.2474,32619,0
BAI.US,D,20241106,000000,25.7,26.0077,25.559,26.0021,42983,0
BAI.US,D,20241107,000000,26.25,26.66,26.25,26.6,29444,0
BAI.US,D,20241108,000000,26.61,26.61,26.3207,26.58,63239,0
BAI.US,D,20241111,000000,26.695,26.7,26.0901,26.255,50308,0
BAI.US,D,20241112,000000,26.24,26.2483,25.9224,26.1067,16818,0
BAI.US,D,20241113,000000,26.22,26.33,26.0586,26.0586,22068,0
BAI.US,D,20241114,000000,26.25,26.29,25.8266,25.84,31413,0
BAI.US,D,20241115,000000,25.3859,25.53,24.945,25.1025,41547,0
BAI.US,D,20241118,000000,25.1666,25.4099,25.0101,25.2703,20913,0
BAI.US,D,20241119,000000,25.1837,26.0399,25.1837,25.95,14267,0
BAI.US,D,20241120,000000,25.9982,26.02,25.5329,25.9298,42111,0
BAI.US,D,20241121,000000,26.5852,26.79,26.1723,26.62,60739,0
BAI.US,D,20241122,000000,26.69,26.74,26.4967,26.65,43393,0
BAI.US,D,20241125,000000,26.9,26.98,26.44,26.54,38083,0
BAI.US,D,20241126,000000,26.6306,26.74,26.43,26.5552,19450,0
BAI.US,D,20241127,000000,26.3331,26.51,25.81,26.1331,22822,0
BAI.US,D,20241129,000000,26.36,26.53,26.29,26.48,14555,0
BAI.US,D,20241202,000000,26.745,26.92,26.6813,26.85,45060,0
BAI.US,D,20241203,000000,27.0685,27.289,26.86,27.2861,69942,0
BAI.US,D,20241204,000000,27.7194,28.15,27.7194,28.1344,75198,0
BAI.US,D,20241205,000000,28.14,28.2432,27.9506,27.9506,46898,0
BAI.US,D,20241206,000000,28.07,28.4,28.045,28.4,34956,0
BAI.US,D,20241209,000000,28.4789,28.53,27.78,28.0707,157480,0
BAI.US,D,20241210,000000,27.9255,28.1,27.17,27.31,58870,0
BAI.US,D,20241211,000000,27.65,28.11,27.6315,28.05,52001,0
BAI.US,D,20241212,000000,27.88,28.0094,27.79,27.85,37058,0
BAI.US,D,20241213,000000,28.3199,28.39,27.8956,28.25,52879,0
BAI.US,D,20241216,000000,28.345,28.73,28.3216,28.67,179537,0
BAI.US,D,20241217,000000,28.55,28.64,28.0747,28.36,90299,0
BAI.US,D,20241218,000000,28.28,28.49,27.04,27.13,77360,0
BAI.US,D,20241219,000000,27.5336,27.62,27.0501,27.15,85863,0
BAI.US,D,20241220,000000,26.815,27.8354,26.75,27.58,57102,0
BAI.US,D,20241223,000000,27.75,27.92,27.4266,27.9,44851,0
BAI.US,D,20241224,000000,27.87,28.28,27.87,28.28,38658,0
BAI.US,D,20241226,000000,28.2,28.39,28,28.33,50668,0
BAI.US,D,20241227,000000,28.05,28.05,27.45,27.79,34034,0
BAI.US,D,20241230,000000,27.3,27.65,27.11,27.41,62260,0
BAI.US,D,20241231,000000,27.41,27.54,27.01,27.08,66494,0
BAI.US,D,20250102,000000,27.288,27.5998,27.02,27.41,61160,0
BAI.US,D,20250103,000000,27.6272,28.2,27.6272,28.194,90078,0
BAI.US,D,20250106,000000,28.785,28.89,28.57,28.75,185701,0
BAI.US,D,20250107,000000,28.87,28.93,27.82,27.93,76344,0
BAI.US,D,20250108,000000,27.811,27.9,27.41,27.8,37489,0
BAI.US,D,20250110,000000,27.56,27.8,26.89,27.36,59561,0
BAI.US,D,20250113,000000,26.75,26.9452,26.56,26.9452,44378,0
BAI.US,D,20250114,000000,27.3699,27.41,26.925,27.04,78538,0
BAI.US,D,20250115,000000,27.63,27.88,27.5098,27.81,37254,0
BAI.US,D,20250116,000000,27.97,28.1,27.75,27.75,43979,0
BAI.US,D,20250117,000000,28.0985,28.3592,28.03,28.14,100901,0
BAI.US,D,20250121,000000,28.3523,28.7699,28.16,28.71,51607,0
BAI.US,D,20250122,000000,29.28,29.51,29.1866,29.35,253722,0
BAI.US,D,20250123,000000,29.085,29.42,28.97,29.42,187845,0
BAI.US,D,20250124,000000,29.59,29.6,29.0135,29.17,88633,0
BAI.US,D,20250127,000000,27.06,27.5981,26.5,26.91,258393,0
BAI.US,D,20250128,000000,27.23,27.945,26.789,27.92,172973,0
BAI.US,D,20250129,000000,27.92,28.02,27.5,27.74,53194,0
BAI.US,D,20250130,000000,27.93,28.1367,27.68,28,42891,0
BAI.US,D,20250131,000000,28.3914,28.7943,28.065,28.19,82880,0
BAI.US,D,20250203,000000,27.2232,28.08,27.19,27.87,234615,0
BAI.US,D,20250204,000000,28.06,28.31,27.9409,28.31,33480,0
BAI.US,D,20250205,000000,28.4201,28.77,28.3198,28.7,33078,0
BAI.US,D,20250206,000000,29,29.02,28.64,28.92,57791,0
BAI.US,D,20250207,000000,29.15,29.28,28.68,28.79,44714,0
BAI.US,D,20250210,000000,28.966,29.246,28.966,29.19,62552,0
BAI.US,D,20250211,000000,28.8623,29.01,28.58,28.75,48701,0
BAI.US,D,20250212,000000,28.07,28.55,28.06,28.43,77156,0
