<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BALY-T.US,D,20241125,000000,18.5,18.55,18.255,18.255,1181,0
BALY-T.US,D,20241126,000000,17.75,17.9145,17.75,17.9145,902,0
BALY-T.US,D,20241203,000000,17.7,17.7,17.7,17.7,323,0
BALY-T.US,D,20241204,000000,17.7,17.7,17.7,17.7,1000,0
BALY-T.US,D,20241205,000000,17.6,17.61,17.6,17.61,682,0
BALY-T.US,D,20241216,000000,17.51,17.5741,17.5,17.5,1670,0
BALY-T.US,D,20241217,000000,17.37,17.43,16.25,16.25,14484,0
BALY-T.US,D,20241219,000000,16.21,16.23,16.18,16.2,683,0
BALY-T.US,D,20241223,000000,16.61,16.61,16.41,16.61,960,0
BALY-T.US,D,20241224,000000,16.04,16.98,16.04,16.675,2020,0
BALY-T.US,D,20241226,000000,16.9571,17.45,16.1439,17.45,1710,0
BALY-T.US,D,20241227,000000,18,18,17.85,17.85,5707,0
BALY-T.US,D,20241230,000000,18.04,18.04,17.5,17.98,1428,0
BALY-T.US,D,20241231,000000,18.1,18.48,18.1,18.47,3766,0
BALY-T.US,D,20250102,000000,19.3,19.45,18.75,19.45,3969,0
BALY-T.US,D,20250103,000000,19.64,20,17.65,18.49,5994,0
BALY-T.US,D,20250106,000000,18.2,19.84,18.2,19.7,7965,0
BALY-T.US,D,20250107,000000,20.89,22,19,20,12117,0
BALY-T.US,D,20250108,000000,19.75,20.95,17.95,19.2,15146,0
BALY-T.US,D,20250110,000000,19.61,20.02,17.95,18.5,1728,0
BALY-T.US,D,20250113,000000,18.85,18.98,18.85,18.98,229,0
BALY-T.US,D,20250114,000000,19.9,22,17.64,19.81,16499,0
BALY-T.US,D,20250115,000000,17.91,18.55,17.89,18.55,6554,0
BALY-T.US,D,20250116,000000,18.5,18.5,18.5,18.5,792,0
BALY-T.US,D,20250117,000000,18.5,19,18,18.98,2802,0
BALY-T.US,D,20250122,000000,19.3,22.41,18.38,18.38,18386,0
BALY-T.US,D,20250123,000000,18.05,18.24,17.85,17.87,3383,0
BALY-T.US,D,20250124,000000,17.75,18.87,17.75,17.75,4538,0
BALY-T.US,D,20250127,000000,18.56,18.955,17.75,18.295,13611,0
BALY-T.US,D,20250128,000000,18.13,18.13,17.5,17.5,4666,0
BALY-T.US,D,20250129,000000,18,18,17.17,18,247,0
BALY-T.US,D,20250130,000000,17.69,17.69,17.5001,17.5001,806,0
BALY-T.US,D,20250131,000000,17,18.18,15.81,17.7,19126,0
BALY-T.US,D,20250203,000000,16.725,16.95,16.2,16.2,1059,0
BALY-T.US,D,20250204,000000,15.93,16.85,15,15,8069,0
BALY-T.US,D,20250205,000000,14.76,14.76,14.76,14.76,773,0
BALY-T.US,D,20250206,000000,14.25,14.54,14.25,14.54,3419,0
BALY-T.US,D,20250207,000000,14.285,16,14.26,16,3618,0
