<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFACF.US,D,20220208,000000,9.8499,9.8499,9.8499,9.8499,515,0
BFACF.US,D,20220209,000000,9.93,9.93,9.7538,9.86,3122,0
BFACF.US,D,20220210,000000,9.8599,9.89,9.7998,9.8,115572,0
BFACF.US,D,20220211,000000,9.81,9.87,9.81,9.8247,18318,0
BFACF.US,D,20220214,000000,9.87,9.87,9.8,9.84,1560,0
BFACF.US,D,20220215,000000,9.84,9.84,9.84,9.84,625,0
BFACF.US,D,20220216,000000,9.84,9.84,9.82,9.83,68138,0
BFACF.US,D,20220217,000000,9.8301,9.89,9.82,9.88,30101,0
BFACF.US,D,20220218,000000,9.89,9.89,9.8,9.86,10764,0
BFACF.US,D,20220222,000000,9.86,9.86,9.86,9.86,114,0
BFACF.US,D,20220223,000000,9.85,9.85,9.81,9.815,1699,0
BFACF.US,D,20220224,000000,9.76,9.83,9.76,9.83,12474,0
BFACF.US,D,20220225,000000,9.85,9.85,9.81,9.81,5818,0
BFACF.US,D,20220228,000000,9.84,9.84,9.84,9.84,275,0
BFACF.US,D,20220301,000000,9.86,9.86,9.85,9.85,2839,0
BFACF.US,D,20220302,000000,9.84,9.86,9.84,9.85,107047,0
BFACF.US,D,20220303,000000,9.85,9.88,9.85,9.87,93207,0
BFACF.US,D,20220304,000000,9.89,9.89,9.89,9.89,230,0
BFACF.US,D,20220307,000000,9.89,9.89,9.88,9.88,2899,0
BFACF.US,D,20220308,000000,9.89,9.89,9.85,9.88,4202,0
BFACF.US,D,20220309,000000,9.89,9.89,9.8899,9.8899,5619,0
BFACF.US,D,20220310,000000,9.89,9.89,9.88,9.89,5268,0
BFACF.US,D,20220311,000000,9.89,9.89,9.87,9.89,175524,0
BFACF.US,D,20220314,000000,9.93,9.93,9.88,9.91,300365,0
BFACF.US,D,20220315,000000,9.865,9.91,9.865,9.9,2738,0
BFACF.US,D,20220316,000000,9.9,9.9,9.845,9.89,35007,0
BFACF.US,D,20220317,000000,9.92,9.92,9.895,9.895,1266,0
BFACF.US,D,20220318,000000,9.9,9.9,9.9,9.9,1089,0
BFACF.US,D,20220321,000000,9.92,9.92,9.89,9.91,9992,0
BFACF.US,D,20220322,000000,9.8,9.91,9.8,9.9,5616,0
BFACF.US,D,20220323,000000,10,10,9.9,9.9,10220,0
BFACF.US,D,20220324,000000,9.96,10.01,9.91,9.915,713993,0
BFACF.US,D,20220325,000000,9.87,9.92,9.87,9.915,25247,0
BFACF.US,D,20220328,000000,10.01,10.01,9.9,9.92,25957,0
BFACF.US,D,20220329,000000,10.01,10.01,9.89,9.89,25903,0
BFACF.US,D,20220330,000000,9.91,9.91,9.88,9.91,118143,0
BFACF.US,D,20220331,000000,9.93,9.93,9.88,9.905,22773,0
BFACF.US,D,20220401,000000,9.91,9.91,9.91,9.91,155,0
