<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGDV.US,D,20241217,000000,25.07,25.07,24.9485,25.0152,3761,0
BGDV.US,D,20241218,000000,24.6068,24.6068,24.3556,24.3556,133,0
BGDV.US,D,20241220,000000,24.6,24.6,24.3605,24.3605,4317,0
BGDV.US,D,20241223,000000,24.465,24.613,24.46,24.613,30449,0
BGDV.US,D,20241224,000000,24.755,24.814,24.75,24.814,3901,0
BGDV.US,D,20241226,000000,24.897,24.897,24.85,24.884,1107,0
BGDV.US,D,20241227,000000,24.75,24.75,24.635,24.7065,4164,0
BGDV.US,D,20241230,000000,24.33,24.53,24.2836,24.4658,41686,0
BGDV.US,D,20241231,000000,24.52,24.52,24.3879,24.3879,1300,0
BGDV.US,D,20250102,000000,24.63,24.63,24.385,24.395,2881,0
BGDV.US,D,20250103,000000,24.49,24.66,24.455,24.5991,26862,0
BGDV.US,D,20250106,000000,24.67,24.71,24.47,24.507,14743,0
BGDV.US,D,20250107,000000,24.59,24.59,24.4181,24.4181,12092,0
BGDV.US,D,20250108,000000,24.4,24.5611,24.4,24.5611,3755,0
BGDV.US,D,20250110,000000,24.4,24.48,24.21,24.213,80291,0
BGDV.US,D,20250113,000000,24.24,24.36,24.23,24.36,6542,0
BGDV.US,D,20250114,000000,24.36,24.4175,24.3599,24.4175,2339,0
BGDV.US,D,20250115,000000,24.74,24.74,24.661,24.661,66327,0
BGDV.US,D,20250116,000000,24.85,24.9859,24.85,24.9692,9309,0
BGDV.US,D,20250117,000000,25.12,25.12,25.035,25.035,5659,0
BGDV.US,D,20250121,000000,25.26,25.3367,25.23,25.3367,6840,0
BGDV.US,D,20250122,000000,25.37,25.39,25.2493,25.2493,5940,0
BGDV.US,D,20250123,000000,25.23,25.3607,25.23,25.3607,342,0
BGDV.US,D,20250124,000000,25.448,25.5,25.44,25.4637,6311,0
BGDV.US,D,20250127,000000,25.16,25.21,25.0157,25.1886,2577,0
BGDV.US,D,20250128,000000,25.12,25.12,25.0483,25.0483,4282,0
BGDV.US,D,20250129,000000,25.14,25.14,24.98,24.9831,5424,0
BGDV.US,D,20250130,000000,25.33,25.4,25.21,25.3601,9956,0
BGDV.US,D,20250131,000000,25.35,25.53,25.2757,25.2757,1414,0
BGDV.US,D,20250203,000000,25.26,25.29,25,25.24,13942,0
BGDV.US,D,20250204,000000,25.2,25.24,25.17,25.1965,5811,0
BGDV.US,D,20250205,000000,25.37,25.44,25.3099,25.414,6776,0
BGDV.US,D,20250206,000000,25.45,25.45,25.29,25.42,2721,0
BGDV.US,D,20250207,000000,25.4,25.4,25.205,25.205,1924,0
BGDV.US,D,20250210,000000,25.35,25.43,25.28,25.43,8269,0
BGDV.US,D,20250211,000000,25.2483,25.376,25.24,25.376,6845,0
BGDV.US,D,20250212,000000,25.31,25.31,25.27,25.2785,1723,0
BGDV.US,D,20250213,000000,25.29,25.3736,25.29,25.3736,706,0
BGDV.US,D,20250214,000000,25.36,25.36,25.18,25.1809,4761,0
BGDV.US,D,20250218,000000,25.14,25.1856,25.14,25.1856,1389,0
BGDV.US,D,20250219,000000,25.2,25.3192,25.2,25.3192,1919,0
BGDV.US,D,20250220,000000,25.19,25.2,25.0899,25.1901,125212,0
BGDV.US,D,20250221,000000,25.085,25.085,24.94,24.94,4086,0
