<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIDD.US,D,20241120,000000,24.89,25.17,24.86,24.98,336766,0
BIDD.US,D,20241121,000000,24.966,25.0245,24.81,24.95,477565,0
BIDD.US,D,20241122,000000,25.09,25.2,25.04,25.1659,255854,0
BIDD.US,D,20241125,000000,25.37,25.4438,25.18,25.37,338990,0
BIDD.US,D,20241126,000000,25.4,25.4,25.0801,25.17,370510,0
BIDD.US,D,20241127,000000,25.26,25.354,25.22,25.27,410439,0
BIDD.US,D,20241129,000000,25.3588,25.4884,25.32,25.46,30156,0
BIDD.US,D,20241202,000000,25.5331,25.64,25.41,25.5826,80409,0
BIDD.US,D,20241203,000000,25.72,25.79,25.6,25.75,285572,0
BIDD.US,D,20241204,000000,25.79,25.8885,25.62,25.76,177555,0
BIDD.US,D,20241205,000000,25.97,25.99,25.88,25.91,102995,0
BIDD.US,D,20241206,000000,26.03,26.09,25.92,25.96,131973,0
BIDD.US,D,20241209,000000,26.09,26.2086,25.95,26.05,101319,0
BIDD.US,D,20241210,000000,25.932,25.932,25.73,25.74,166713,0
BIDD.US,D,20241211,000000,25.9,25.97,25.8052,25.89,114229,0
BIDD.US,D,20241212,000000,25.84,25.925,25.72,25.72,89137,0
BIDD.US,D,20241213,000000,25.8037,25.87,25.634,25.68,198299,0
BIDD.US,D,20241216,000000,25.6435,25.7799,25.62,25.62,107308,0
BIDD.US,D,20241217,000000,25.595,25.68,25.55,25.55,98594,0
BIDD.US,D,20241218,000000,25.57,25.65,24.96,24.9995,132735,0
BIDD.US,D,20241219,000000,25.02,25.12,24.87,24.87,94638,0
BIDD.US,D,20241220,000000,24.48,24.9199,24.46,24.7,83078,0
BIDD.US,D,20241223,000000,24.7656,24.97,24.69,24.97,129500,0
BIDD.US,D,20241224,000000,24.77,24.97,24.77,24.9415,110018,0
BIDD.US,D,20241226,000000,24.855,25.105,24.81,25.0697,246939,0
BIDD.US,D,20241227,000000,24.92,25.01,24.84,24.94,202536,0
BIDD.US,D,20241230,000000,24.785,24.84,24.63,24.71,153765,0
BIDD.US,D,20241231,000000,24.8,24.86,24.64,24.67,181558,0
BIDD.US,D,20250102,000000,24.75,24.87,24.5875,24.72,108187,0
BIDD.US,D,20250103,000000,24.688,24.77,24.5988,24.77,100471,0
BIDD.US,D,20250106,000000,24.97,25.185,24.97,25.03,128772,0
BIDD.US,D,20250107,000000,25.18,25.21,24.9023,24.99,132940,0
BIDD.US,D,20250108,000000,24.78,24.9294,24.7278,24.874,226198,0
BIDD.US,D,20250110,000000,24.83,24.85,24.57,24.635,192437,0
BIDD.US,D,20250113,000000,24.31,24.52,24.29,24.52,177060,0
BIDD.US,D,20250114,000000,24.545,24.58,24.43,24.56,101585,0
BIDD.US,D,20250115,000000,24.88,24.95,24.78,24.87,182650,0
BIDD.US,D,20250116,000000,24.99,25.18,24.9534,25.07,81774,0
BIDD.US,D,20250117,000000,25.19,25.33,25.13,25.19,94837,0
BIDD.US,D,20250121,000000,25.4955,25.67,25.43,25.6439,147995,0
BIDD.US,D,20250122,000000,25.74,25.77,25.68,25.76,288318,0
BIDD.US,D,20250123,000000,25.72,25.9567,25.63,25.94,212540,0
BIDD.US,D,20250124,000000,26.045,26.07,25.9,25.99,134595,0
BIDD.US,D,20250127,000000,25.7956,25.96,25.7829,25.96,158961,0
BIDD.US,D,20250128,000000,25.81,25.87,25.675,25.86,164328,0
BIDD.US,D,20250129,000000,25.83,25.9211,25.74,25.8297,125437,0
BIDD.US,D,20250130,000000,26.042,26.2265,25.97,26.09,95207,0
BIDD.US,D,20250131,000000,26.0254,26.225,25.87,25.94,145105,0
BIDD.US,D,20250203,000000,25.34,25.65,25.32,25.56,136140,0
BIDD.US,D,20250204,000000,25.621,25.805,25.61,25.74,189937,0
BIDD.US,D,20250205,000000,25.845,25.9688,25.7968,25.93,120050,0
BIDD.US,D,20250206,000000,26.0225,26.18,26,26.08,186792,0
BIDD.US,D,20250207,000000,26.11,26.14,25.8,25.8,109384,0
BIDD.US,D,20250210,000000,25.88,25.94,25.86,25.89,78688,0
BIDD.US,D,20250211,000000,25.915,26.1135,25.87,26.07,91412,0
BIDD.US,D,20250212,000000,25.89,26.19,25.85,26.12,106242,0
BIDD.US,D,20250213,000000,26.1501,26.3399,26.14,26.29,77320,0
BIDD.US,D,20250214,000000,26.4,26.432,26.26,26.26,54432,0
BIDD.US,D,20250218,000000,26.569,26.59,26.42,26.59,99163,0
BIDD.US,D,20250219,000000,26.32,26.46,26.2501,26.37,71453,0
BIDD.US,D,20250220,000000,26.4,26.533,26.34,26.5,149406,0
BIDD.US,D,20250221,000000,26.6345,26.6345,26.38,26.39,103658,0
