<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOXA.US,D,20241220,000000,100.22,100.22,100.14,100.14,231,0
BOXA.US,D,20241226,000000,99.87,99.87,99.8414,99.8414,1865,0
BOXA.US,D,20241230,000000,99.84,100.0851,99.8,100.0851,5300,0
BOXA.US,D,20241231,000000,100.15,100.15,100.0497,100.0497,202,0
BOXA.US,D,20250102,000000,100.28,100.28,100.052,100.052,179,0
BOXA.US,D,20250106,000000,99.9,99.9076,99.7721,99.9076,451,0
BOXA.US,D,20250107,000000,99.64,99.675,99.4636,99.4636,3366,0
BOXA.US,D,20250108,000000,99.6,99.6451,99.6,99.6451,101,0
BOXA.US,D,20250110,000000,99.41,99.49,99.2101,99.2101,683,0
BOXA.US,D,20250113,000000,99.07,99.1,98.9734,98.9734,200,0
BOXA.US,D,20250121,000000,100.2299,100.2309,100.21,100.2309,4080,0
BOXA.US,D,20250122,000000,99.94,100.14,99.94,100.0407,1039,0
BOXA.US,D,20250128,000000,100.56,100.56,100.5066,100.5066,101,0
BOXA.US,D,20250129,000000,100.51,100.52,100.4,100.4904,668,0
BOXA.US,D,20250130,000000,100.5925,100.61,100.54,100.603,2520,0
BOXA.US,D,20250131,000000,100.71,100.71,100.3148,100.3148,596,0
BOXA.US,D,20250203,000000,100.48,100.48,100.32,100.4472,1172,0
BOXA.US,D,20250204,000000,100.28,100.6536,100.28,100.6186,1384,0
BOXA.US,D,20250205,000000,101,101.1,101,101.083,2555,0
BOXA.US,D,20250207,000000,100.82,100.82,100.73,100.73,4144,0
BOXA.US,D,20250210,000000,100.83,100.83,100.7181,100.7181,427,0
BOXA.US,D,20250211,000000,100.64,100.65,100.5952,100.5952,271,0
BOXA.US,D,20250214,000000,101.067,101.1,101.0135,101.0135,1695,0
BOXA.US,D,20250218,000000,100.71,100.71,100.582,100.582,231,0
BOXA.US,D,20250219,000000,100.58,100.61,100.58,100.58,5284,0
BOXA.US,D,20250221,000000,101.19,101.2,101.19,101.2,791,0
