<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BPH.US,D,20250108,000000,50.99,50.99,50.55,50.762,207,0
BPH.US,D,20250110,000000,51.58,52.21,51.58,51.8448,200,0
BPH.US,D,20250113,000000,52.34,52.34,51.6921,51.6921,108,0
BPH.US,D,20250114,000000,50.98,51.6119,50.98,51.6119,115,0
BPH.US,D,20250121,000000,51.63,51.64,51.3668,51.3668,404,0
BPH.US,D,20250124,000000,50.72,50.9373,50.72,50.9373,107,0
BPH.US,D,20250127,000000,50.5,50.7391,50.5,50.7391,114,0
BPH.US,D,20250204,000000,51.06,51.0756,51,51.0756,202,0
BPH.US,D,20250205,000000,51.01,51.1392,51.01,51.1392,209,0
BPH.US,D,20250207,000000,52.4,52.557,52.3,52.557,211,0
BPH.US,D,20250210,000000,56.12,56.12,55.9959,55.9959,115,0
BPH.US,D,20250212,000000,55.84,56.56,55.84,56.0298,9815,0
BPH.US,D,20250213,000000,56.11,56.11,55.338,55.338,128,0
BPH.US,D,20250214,000000,56.33,56.33,56.072,56.072,102,0
BPH.US,D,20250218,000000,55.53,56.1725,55.53,56.1725,1403,0
BPH.US,D,20250219,000000,55.89,55.89,55.1901,55.1901,883,0
BPH.US,D,20250220,000000,55.34,55.34,55.0792,55.0792,911,0
BPH.US,D,20250221,000000,54.88,54.88,54.88,54.88,213,0
