<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRIF.US,D,20241230,000000,25.3,25.3,25.2467,25.2467,593418,0
BRIF.US,D,20241231,000000,25.19,25.19,25.1483,25.1483,29082,0
BRIF.US,D,20250102,000000,25.42,25.42,25.1396,25.1396,28557,0
BRIF.US,D,20250103,000000,25.34,25.34,25.3213,25.3213,3591,0
BRIF.US,D,20250106,000000,25.53,25.53,25.3371,25.3371,38346,0
BRIF.US,D,20250107,000000,25.11,25.11,25.1027,25.1027,1925,0
BRIF.US,D,20250108,000000,25,25.1376,25,25.1376,21763,0
BRIF.US,D,20250110,000000,24.946,24.946,24.83,24.8804,3766,0
BRIF.US,D,20250113,000000,24.85,24.9741,24.81,24.9741,499639,0
BRIF.US,D,20250114,000000,25.1,25.1,24.9499,25.0223,655790,0
BRIF.US,D,20250115,000000,25.31,25.34,25.31,25.3225,333112,0
BRIF.US,D,20250116,000000,25.44,25.55,25.44,25.4627,29437,0
BRIF.US,D,20250117,000000,25.77,25.8,25.6944,25.6944,575,0
BRIF.US,D,20250121,000000,26.015,26.0534,26.015,26.0534,298,0
BRIF.US,D,20250122,000000,26.26,26.28,26.2087,26.2087,5055,0
BRIF.US,D,20250123,000000,26.27,26.3262,26.2,26.3262,6119,0
BRIF.US,D,20250124,000000,26.241,26.2676,26.24,26.2676,1388,0
BRIF.US,D,20250127,000000,25.7,25.7,25.4699,25.5526,9569,0
BRIF.US,D,20250128,000000,25.7,25.7322,25.7,25.7322,1313,0
BRIF.US,D,20250129,000000,25.685,25.685,25.5311,25.643,1858,0
BRIF.US,D,20250130,000000,25.83,25.9,25.8,25.8763,33647,0
BRIF.US,D,20250131,000000,26.1,26.14,25.8681,25.8681,35405,0
BRIF.US,D,20250203,000000,25.5315,25.878,25.5315,25.8023,1817,0
BRIF.US,D,20250204,000000,25.94,26.05,25.94,26.05,960,0
BRIF.US,D,20250205,000000,26.3,26.315,26.3,26.315,806,0
BRIF.US,D,20250206,000000,26.26,26.2843,26.26,26.2843,601,0
BRIF.US,D,20250207,000000,26.42,26.42,26.24,26.244,823,0
BRIF.US,D,20250210,000000,26.51,26.59,26.51,26.59,1321,0
BRIF.US,D,20250211,000000,26.54,26.54,26.4798,26.4798,6788,0
BRIF.US,D,20250212,000000,26.33,26.37,26.25,26.3616,19833,0
BRIF.US,D,20250213,000000,26.53,26.7055,26.5299,26.7055,887,0
BRIF.US,D,20250214,000000,26.56,26.56,26.48,26.5005,9790,0
BRIF.US,D,20250218,000000,26.65,26.6973,26.65,26.6973,374,0
BRIF.US,D,20250220,000000,26.5705,26.6423,26.5705,26.6423,6215,0
BRIF.US,D,20250221,000000,26.19,26.19,26.17,26.19,3480,0
