<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBTJ.US,D,20250205,000000,25.03,25.22,24.92,25.015,265610,0
CBTJ.US,D,20250206,000000,25.1,25.17,24.7801,24.92,156288,0
CBTJ.US,D,20250207,000000,25.09,25.3316,24.81,24.81,176554,0
CBTJ.US,D,20250210,000000,24.96,25.0891,24.94,25.0405,104797,0
CBTJ.US,D,20250211,000000,24.8867,24.97,24.6801,24.7006,156245,0
CBTJ.US,D,20250212,000000,24.68,24.929,24.52,24.89,32471,0
CBTJ.US,D,20250213,000000,24.73,24.9,24.67,24.8951,176720,0
CBTJ.US,D,20250214,000000,25.04,25.18,24.9097,24.94,57262,0
CBTJ.US,D,20250218,000000,24.9336,24.9336,24.5199,24.56,59015,0
CBTJ.US,D,20250219,000000,24.78,24.91,24.775,24.8686,96578,0
CBTJ.US,D,20250220,000000,25.08,25.18,24.8732,25.14,50850,0
CBTJ.US,D,20250221,000000,25.27,25.29,24.7201,24.79,61348,0
CBTJ.US,D,20250224,000000,24.84,24.84,24.568,24.64,25141,0
CBTJ.US,D,20250225,000000,24.12,24.13,23.62,23.93,43154,0
CBTJ.US,D,20250226,000000,23.6306,23.95,23.2,23.43,23385,0
CBTJ.US,D,20250227,000000,23.6675,23.67,23.202,23.29,32529,0
CBTJ.US,D,20250228,000000,23.14,23.48,23.09,23.41,24215,0
CBTJ.US,D,20250303,000000,24.56,24.56,23.64,23.7,49988,0
CBTJ.US,D,20250304,000000,23.3492,24.019,23.19,23.88,52339,0
CBTJ.US,D,20250305,000000,24.0722,24.24,23.9101,24.24,46049,0
CBTJ.US,D,20250306,000000,24.0525,24.31,24,24.1,31113,0
CBTJ.US,D,20250307,000000,24.07,24.3,23.775,23.775,26583,0
CBTJ.US,D,20250310,000000,23.27,23.28,22.77,22.9464,98777,0
CBTJ.US,D,20250311,000000,23.21,23.37,22.89,23.35,32354,0
CBTJ.US,D,20250312,000000,23.4,23.41,23.08,23.39,55108,0
CBTJ.US,D,20250313,000000,23.28,23.35,22.99,23.02,31050,0
CBTJ.US,D,20250314,000000,23.27,23.56,23.27,23.5,25912,0
CBTJ.US,D,20250317,000000,23.36,23.5053,23.28,23.49,19211,0
CBTJ.US,D,20250318,000000,23.2,23.24,23.09,23.2023,15475,0
CBTJ.US,D,20250319,000000,23.35,23.66,23.35,23.53,23501,0
CBTJ.US,D,20250320,000000,23.54,23.55,23.35,23.42,14265,0
CBTJ.US,D,20250321,000000,23.3,23.36,23.27,23.34,15543,0
CBTJ.US,D,20250324,000000,23.73,23.91,23.73,23.864,17521,0
