<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBXJ.US,D,20250205,000000,25.06,25.13,25.02,25.04,170269,0
CBXJ.US,D,20250206,000000,25.1,25.14,24.93,25.01,169331,0
CBXJ.US,D,20250207,000000,25.1778,25.18,24.9099,24.9099,55330,0
CBXJ.US,D,20250210,000000,24.9979,25.0799,24.9501,25.0505,120854,0
CBXJ.US,D,20250211,000000,25,25.02,24.805,24.86,34535,0
CBXJ.US,D,20250212,000000,24.8659,24.9825,24.83,24.9,87304,0
CBXJ.US,D,20250213,000000,24.85,25,24.8199,24.975,60141,0
CBXJ.US,D,20250214,000000,24.99,25.1071,24.98,24.99,24471,0
CBXJ.US,D,20250218,000000,24.98,24.99,24.7406,24.7406,23415,0
CBXJ.US,D,20250219,000000,24.945,24.99,24.9202,24.95,21488,0
CBXJ.US,D,20250220,000000,25.12,25.1351,24.97,25.08,46596,0
CBXJ.US,D,20250221,000000,25.19,25.19,24.8701,24.91,23523,0
