<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CGMM.US,D,20250121,000000,26.2898,26.57,26.24,26.57,161419,0
CGMM.US,D,20250122,000000,26.42,26.52,26.34,26.37,195885,0
CGMM.US,D,20250123,000000,26.3152,26.4854,26.23,26.46,64265,0
CGMM.US,D,20250124,000000,26.46,26.545,26.42,26.4839,61311,0
CGMM.US,D,20250127,000000,26.27,26.41,26.15,26.3021,114155,0
CGMM.US,D,20250128,000000,26.33,26.38,26.2,26.33,43642,0
CGMM.US,D,20250129,000000,26.36,26.38,26.11,26.19,155548,0
CGMM.US,D,20250130,000000,26.4982,26.605,26.33,26.47,858745,0
CGMM.US,D,20250131,000000,26.51,26.66,26.21,26.2479,111048,0
CGMM.US,D,20250203,000000,25.7,26.07,25.59,25.9775,134399,0
CGMM.US,D,20250204,000000,26,26.13,26,26.08,45641,0
CGMM.US,D,20250205,000000,26.16,26.46,26.06,26.3033,78970,0
CGMM.US,D,20250206,000000,26.49,26.49,26.19,26.37,81065,0
CGMM.US,D,20250207,000000,26.37,26.42,26.15,26.1792,129465,0
CGMM.US,D,20250210,000000,26.26,26.32,26.045,26.17,55583,0
CGMM.US,D,20250211,000000,26,26.03,25.92,25.9878,42685,0
CGMM.US,D,20250212,000000,25.719,25.88,25.71,25.8454,64892,0
CGMM.US,D,20250213,000000,25.9521,26,25.8061,26,92204,0
CGMM.US,D,20250214,000000,26.13,26.18,26.075,26.15,50715,0
CGMM.US,D,20250218,000000,26.19,26.313,26.17,26.2994,101850,0
CGMM.US,D,20250219,000000,26.2399,26.34,26.17,26.31,118999,0
CGMM.US,D,20250220,000000,26.23,26.23,25.82,25.9891,86317,0
CGMM.US,D,20250221,000000,25.92,25.92,25.35,25.45,83071,0
