<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHEB-U.US,D,20240610,000000,10.03,10.035,10.02,10.02,1263574,0
CHEB-U.US,D,20240611,000000,10.03,10.04,10.02,10.02,354035,0
CHEB-U.US,D,20240612,000000,10.04,10.04,10.02,10.02,29936,0
CHEB-U.US,D,20240613,000000,10.02,10.02,10.02,10.02,2144,0
CHEB-U.US,D,20240614,000000,10.01,10.02,10.01,10.02,10278,0
CHEB-U.US,D,20240618,000000,10.005,10.01,10,10.01,32923,0
CHEB-U.US,D,20240620,000000,10.01,10.01,10.01,10.01,735,0
CHEB-U.US,D,20240621,000000,10,10,10,10,94781,0
CHEB-U.US,D,20240624,000000,10,10,10,10,14351,0
CHEB-U.US,D,20240625,000000,10,10,10,10,606,0
CHEB-U.US,D,20240626,000000,10.05,10.05,10,10.0078,51658,0
CHEB-U.US,D,20240627,000000,10,10,10,10,676,0
CHEB-U.US,D,20240628,000000,10.05,10.05,10.002,10.01,2297,0
CHEB-U.US,D,20240701,000000,10.05,10.05,9.99,10,2455,0
CHEB-U.US,D,20240708,000000,10,10,9.99,10,34415,0
CHEB-U.US,D,20240709,000000,10,10.0016,9.995,10,38003,0
CHEB-U.US,D,20240710,000000,10,10,10,10,5000,0
CHEB-U.US,D,20240711,000000,10,10,10,10,50038,0
CHEB-U.US,D,20240712,000000,9.95,10,9.95,10,2341,0
CHEB-U.US,D,20240717,000000,10.01,10.04,10.01,10.04,41899,0
CHEB-U.US,D,20240718,000000,10.02,10.03,10.02,10.03,79183,0
CHEB-U.US,D,20240719,000000,10.03,10.03,10.03,10.03,474007,0
CHEB-U.US,D,20240723,000000,10,10.01,10,10.01,2687,0
CHEB-U.US,D,20240724,000000,10.01,10.01,10.01,10.01,50000,0
CHEB-U.US,D,20240726,000000,10.04,10.04,10.04,10.04,232,0
CHEB-U.US,D,20240729,000000,10.02,10.02,10.02,10.02,2100,0
CHEB-U.US,D,20240731,000000,10.02,10.02,10.02,10.02,430,0
CHEB-U.US,D,20240801,000000,10.02,10.04,10.02,10.02,301436,0
CHEB-U.US,D,20240802,000000,10.0199,10.02,10.0199,10.02,6098,0
CHEB-U.US,D,20240807,000000,10,10,10,10,344,0
CHEB-U.US,D,20240808,000000,10.04,10.04,10.04,10.04,332,0
CHEB-U.US,D,20240813,000000,10.04,10.04,10.02,10.02,50252,0
CHEB-U.US,D,20240815,000000,10,10.0001,10,10.0001,1634,0
CHEB-U.US,D,20240816,000000,10.04,10.6867,10,10,13588,0
CHEB-U.US,D,20240820,000000,10.03,10.03,10,10.02,10830,0
CHEB-U.US,D,20240821,000000,10.0102,10.0102,10.01,10.01,546,0
CHEB-U.US,D,20240827,000000,10.01,10.0101,10.01,10.0101,1682,0
CHEB-U.US,D,20240828,000000,10.01,10.0103,10.01,10.0103,1497,0
CHEB-U.US,D,20240903,000000,10.0101,10.0101,10.005,10.005,3202,0
CHEB-U.US,D,20240913,000000,10,10,10,10,566,0
CHEB-U.US,D,20240917,000000,10.0307,10.0307,10.0307,10.0307,545,0
CHEB-U.US,D,20240923,000000,10.03,10.03,10.03,10.03,200,0
CHEB-U.US,D,20241008,000000,10.04,10.04,10.04,10.04,2669,0
CHEB-U.US,D,20241016,000000,10.04,10.04,10.02,10.03,1339,0
CHEB-U.US,D,20241017,000000,10.03,10.03,10.03,10.03,100,0
CHEB-U.US,D,20241030,000000,10.04,11.15,10.04,10.4,13817,0
CHEB-U.US,D,20241031,000000,10.41,10.44,10.41,10.44,1528,0
CHEB-U.US,D,20241101,000000,10.27,10.48,10.04,10.04,8740,0
CHEB-U.US,D,20241106,000000,10.05,10.05,10.045,10.05,1000,0
CHEB-U.US,D,20241114,000000,10.05,10.05,10.04,10.04,6766,0
CHEB-U.US,D,20241129,000000,10.07,10.07,10.07,10.07,2000,0
CHEB-U.US,D,20241209,000000,10.09,10.09,10.08,10.09,1500,0
CHEB-U.US,D,20241212,000000,10.12,10.12,10.12,10.12,200,0
CHEB-U.US,D,20241218,000000,10.15,10.15,10.11,10.11,423,0
CHEB-U.US,D,20250127,000000,10.19,10.19,10.14,10.14,690,0
CHEB-U.US,D,20250207,000000,10.3,10.4,10.09,10.09,735,0
