<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPRY.US,D,20250106,000000,24.93,25.03,24.88,24.92,29578,0
CPRY.US,D,20250107,000000,24.951,24.97,24.8201,24.8603,27127,0
CPRY.US,D,20250108,000000,24.86,24.89,24.805,24.8449,309999,0
CPRY.US,D,20250110,000000,24.76,24.8,24.6844,24.7502,42070,0
CPRY.US,D,20250113,000000,24.72,24.78,24.65,24.7748,631539,0
CPRY.US,D,20250114,000000,24.84,24.92,24.7772,24.8153,49890,0
CPRY.US,D,20250115,000000,24.95,24.97,24.8801,24.9203,20226,0
CPRY.US,D,20250116,000000,24.95,24.9699,24.8601,24.945,28138,0
CPRY.US,D,20250117,000000,24.9508,24.99,24.95,24.9553,23195,0
CPRY.US,D,20250121,000000,25.02,25.08,25.02,25.08,23161,0
CPRY.US,D,20250122,000000,25.025,25.06,25.0001,25.03,17885,0
CPRY.US,D,20250123,000000,25.0125,25.07,25.0125,25.0454,16080,0
CPRY.US,D,20250124,000000,25.07,25.08,25.01,25.0352,6574,0
CPRY.US,D,20250127,000000,25.05,25.05,24.96,24.96,4083,0
CPRY.US,D,20250128,000000,24.96,25.05,24.96,25.035,6316,0
CPRY.US,D,20250129,000000,25.07,25.07,24.9926,25.025,6765,0
CPRY.US,D,20250130,000000,25.05,25.09,25.0201,25.0581,7606,0
CPRY.US,D,20250131,000000,25.0386,25.08,25,25.0042,985,0
CPRY.US,D,20250203,000000,24.92,25.01,24.92,24.95,18612,0
CPRY.US,D,20250204,000000,25.02,25.07,24.9562,25.05,11935,0
CPRY.US,D,20250205,000000,25.07,25.11,25.045,25.11,15682,0
CPRY.US,D,20250206,000000,25.12,25.13,25.03,25.11,5448,0
CPRY.US,D,20250207,000000,25.07,25.07,24.9801,25.02,6906,0
CPRY.US,D,20250210,000000,25.02,25.15,24.99,24.99,4342,0
CPRY.US,D,20250211,000000,24.98,25.09,24.98,25.03,14310,0
CPRY.US,D,20250212,000000,24.92,24.9999,24.9001,24.965,6926,0
CPRY.US,D,20250213,000000,24.985,24.99,24.9706,24.98,3884,0
CPRY.US,D,20250214,000000,25.07,25.09,25.04,25.04,4347,0
CPRY.US,D,20250218,000000,25.03,25.08,24.9801,25.08,13149,0
CPRY.US,D,20250219,000000,25.0386,25.0799,24.9986,25.01,20084,0
CPRY.US,D,20250220,000000,25.04,25.04,24.95,24.97,17315,0
CPRY.US,D,20250221,000000,24.94,24.98,24.841,24.875,5037,0
