<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPSF.US,D,20250205,000000,24.1377,24.1579,24.1101,24.155,53249,0
CPSF.US,D,20250206,000000,24.18,24.19,24.1541,24.18,18709,0
CPSF.US,D,20250207,000000,24.2,24.2,24.1365,24.14,11859,0
CPSF.US,D,20250210,000000,24.16,24.17,24.15,24.165,21649,0
CPSF.US,D,20250211,000000,24.1301,24.163,24.1301,24.163,9175,0
CPSF.US,D,20250212,000000,24.12,24.1799,24.0901,24.145,23758,0
CPSF.US,D,20250213,000000,24.1644,24.21,24.1366,24.185,22628,0
CPSF.US,D,20250214,000000,24.2072,24.29,24.19,24.195,12856,0
CPSF.US,D,20250218,000000,26.6,26.6,24.1928,24.1928,16548,0
CPSF.US,D,20250219,000000,24.23,24.26,24.2142,24.245,14402,0
CPSF.US,D,20250220,000000,24.24,24.25,24.1803,24.225,20519,0
CPSF.US,D,20250221,000000,24.19,24.21,24.175,24.18,17524,0
