<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPSY.US,D,20250106,000000,23.56,23.61,23.5394,23.5437,15495,0
CPSY.US,D,20250107,000000,23.6,23.62,23.51,23.515,19436,0
CPSY.US,D,20250108,000000,23.55,23.57,23.4867,23.5468,25670,0
CPSY.US,D,20250110,000000,23.48,23.5,23.45,23.4646,87163,0
CPSY.US,D,20250113,000000,23.44,23.46,23.4384,23.4571,18419,0
CPSY.US,D,20250114,000000,23.471,23.51,23.4575,23.4849,14261,0
CPSY.US,D,20250115,000000,23.57,23.59,23.55,23.565,9570,0
CPSY.US,D,20250116,000000,23.6,23.6,23.5325,23.575,19262,0
CPSY.US,D,20250117,000000,23.629,23.65,23.6057,23.64,13404,0
CPSY.US,D,20250121,000000,23.61,24.58,23.61,23.7,31427,0
CPSY.US,D,20250122,000000,23.67,23.71,23.62,23.64,36128,0
CPSY.US,D,20250123,000000,23.72,23.74,23.64,23.67,20787,0
CPSY.US,D,20250124,000000,23.74,23.74,23.67,23.67,26204,0
CPSY.US,D,20250127,000000,23.65,23.68,23.65,23.6614,2365,0
CPSY.US,D,20250128,000000,23.69,23.7,23.6751,23.6751,7383,0
CPSY.US,D,20250129,000000,23.68,23.68,23.6561,23.6561,1147,0
CPSY.US,D,20250130,000000,23.68,23.68,23.65,23.6654,4138,0
CPSY.US,D,20250131,000000,23.6801,23.73,23.64,23.64,5388,0
CPSY.US,D,20250203,000000,23.63,23.63,23.56,23.61,7624,0
CPSY.US,D,20250204,000000,23.62,23.65,23.62,23.65,215,0
CPSY.US,D,20250205,000000,23.675,23.675,23.675,23.675,471,0
CPSY.US,D,20250206,000000,23.67,23.71,23.6501,23.7,6159,0
CPSY.US,D,20250207,000000,23.66,23.66,23.655,23.655,362,0
CPSY.US,D,20250210,000000,23.66,23.6877,23.66,23.6877,2156,0
CPSY.US,D,20250211,000000,23.7294,23.7294,23.66,23.695,1801,0
CPSY.US,D,20250213,000000,23.695,23.7699,23.68,23.73,12558,0
CPSY.US,D,20250218,000000,23.79,24.09,23.735,23.735,6758,0
CPSY.US,D,20250219,000000,23.7643,23.79,23.755,23.755,2873,0
CPSY.US,D,20250220,000000,23.74,23.75,23.74,23.75,2902,0
CPSY.US,D,20250221,000000,23.73,23.74,23.73,23.73,2038,0
