<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPXR.US,D,20250127,000000,19.1306,19.1635,19.1306,19.1635,250,0
CPXR.US,D,20250129,000000,19.66,19.66,19.5601,19.5601,101,0
CPXR.US,D,20250130,000000,19.85,19.85,19.8457,19.8457,500,0
CPXR.US,D,20250203,000000,19.75,19.8658,19.7499,19.8658,604,0
CPXR.US,D,20250210,000000,23.27,23.57,23.27,23.505,2642,0
CPXR.US,D,20250212,000000,22.76,23.4198,22.76,23.4198,1266,0
CPXR.US,D,20250213,000000,23.6448,24.3217,23.6448,24.3217,2620,0
CPXR.US,D,20250214,000000,23.23,23.23,22.86,22.895,502,0
CPXR.US,D,20250219,000000,22.36,22.36,22.2421,22.2421,102,0
CPXR.US,D,20250220,000000,22.8,22.8,22.5893,22.5893,1220,0
CPXR.US,D,20250221,000000,22.19,22.19,22.18,22.18,2001,0
