<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSRE.US,D,20250207,000000,25.4753,25.4753,25.4114,25.4114,2792,0
CSRE.US,D,20250210,000000,25.37,25.49,25.37,25.427,53694,0
CSRE.US,D,20250211,000000,25.46,25.5405,25.46,25.5405,399,0
CSRE.US,D,20250212,000000,25.36,25.45,25.36,25.4072,50846,0
CSRE.US,D,20250213,000000,25.65,25.6586,25.46,25.6586,776,0
CSRE.US,D,20250214,000000,25.75,25.78,25.5251,25.5251,500,0
CSRE.US,D,20250218,000000,25.5831,25.62,25.56,25.6004,109505,0
CSRE.US,D,20250219,000000,25.51,25.5246,25.4835,25.5246,2885,0
CSRE.US,D,20250220,000000,25.54,25.6996,25.5299,25.6996,100861,0
CSRE.US,D,20250221,000000,25.66,25.71,25.6,25.6,5144,0
