<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVIIW.US,D,20240207,000000,0.28,0.3899,0.28,0.290101,27084,0
CVIIW.US,D,20240208,000000,0.32,0.350001,0.3,0.3,3291,0
CVIIW.US,D,20240209,000000,0.33,0.33,0.2912,0.32,14909,0
CVIIW.US,D,20240212,000000,0.33,0.36,0.32,0.35,222412,0
CVIIW.US,D,20240213,000000,0.3497,0.389899,0.32,0.33,3986,0
CVIIW.US,D,20240214,000000,0.34,0.37,0.32,0.325,71949,0
CVIIW.US,D,20240215,000000,0.39,0.39,0.34,0.35,14900,0
CVIIW.US,D,20240216,000000,0.32,0.369999,0.32,0.3301,26694,0
CVIIW.US,D,20240220,000000,0.33,0.3401,0.33,0.34,4966,0
CVIIW.US,D,20240221,000000,0.36,0.39,0.3398,0.3398,42600,0
CVIIW.US,D,20240222,000000,0.35,0.39,0.35,0.39,14919,0
CVIIW.US,D,20240223,000000,0.39,0.400016,0.39,0.3901,61591,0
CVIIW.US,D,20240226,000000,0.39,0.41,0.2746,0.36,114365,0
CVIIW.US,D,20240227,000000,0.3794,0.39,0.3794,0.39,300,0
CVIIW.US,D,20240228,000000,0.4,0.4,0.3604,0.37,9253,0
CVIIW.US,D,20240229,000000,0.33,0.4,0.32,0.34,2478,0
CVIIW.US,D,20240301,000000,0.3,0.38,0.3,0.36,5692,0
CVIIW.US,D,20240304,000000,0.3,0.4,0.3,0.35,15305,0
CVIIW.US,D,20240305,000000,0.33,0.4,0.3263,0.33,22326,0
CVIIW.US,D,20240306,000000,0.3315,0.3315,0.3191,0.3191,9083,0
CVIIW.US,D,20240307,000000,0.3274,0.3786,0.3082,0.31,26105,0
CVIIW.US,D,20240308,000000,0.3399,0.34,0.33,0.34,2056,0
CVIIW.US,D,20240311,000000,0.31,0.3251,0.31,0.32,7619,0
CVIIW.US,D,20240312,000000,0.3301,0.35,0.31,0.32,70689,0
CVIIW.US,D,20240313,000000,0.3328,0.335,0.32,0.32,18670,0
CVIIW.US,D,20240314,000000,0.35,0.35,0.3149,0.3201,16075,0
CVIIW.US,D,20240315,000000,0.32,0.3988,0.32,0.3262,57488,0
CVIIW.US,D,20240318,000000,0.4,0.4099,0.3354,0.34,17161,0
CVIIW.US,D,20240319,000000,0.33,0.34,0.2982,0.2982,319378,0
CVIIW.US,D,20240320,000000,0.3269,0.3782,0.2942,0.2943,13622,0
CVIIW.US,D,20240321,000000,0.3,0.3601,0.2942,0.2942,182997,0
CVIIW.US,D,20240322,000000,0.2922,0.35,0.2853,0.3,34663,0
CVIIW.US,D,20240325,000000,0.3,0.31,0.3,0.3,5823,0
CVIIW.US,D,20240326,000000,0.315,0.321,0.3,0.3,4927,0
CVIIW.US,D,20240327,000000,0.3165,0.3199,0.2922,0.2924,6602,0
CVIIW.US,D,20240328,000000,0.2912,0.32,0.2912,0.32,144916,0
CVIIW.US,D,20240401,000000,0.30035,0.30035,0.2655,0.2667,14065,0
CVIIW.US,D,20240402,000000,0.28,0.29,0.275,0.2752,15421,0
CVIIW.US,D,20240403,000000,0.2672,0.2999,0.2672,0.27,25403,0
CVIIW.US,D,20240404,000000,0.2899,0.2899,0.27,0.27,15617,0
CVIIW.US,D,20240405,000000,0.28,0.2999,0.27,0.27,1990,0
CVIIW.US,D,20240408,000000,0.276,0.276,0.27,0.27,43304,0
CVIIW.US,D,20240409,000000,0.2998,0.2999,0.27,0.27,17222,0
CVIIW.US,D,20240410,000000,0.2616,0.2616,0.2562,0.2562,15481,0
CVIIW.US,D,20240411,000000,0.2513,0.268,0.215,0.268,193281,0
CVIIW.US,D,20240412,000000,0.27,0.27,0.25,0.25,26198,0
CVIIW.US,D,20240415,000000,0.25,0.25,0.25,0.25,61398,0
CVIIW.US,D,20240416,000000,0.275,0.275,0.275,0.275,474,0
CVIIW.US,D,20240418,000000,0.25,0.28,0.25,0.28,6297,0
CVIIW.US,D,20240419,000000,0.28,0.28,0.25,0.28,19715,0
CVIIW.US,D,20240425,000000,0.27,0.28,0.26,0.28,3799,0
CVIIW.US,D,20240426,000000,0.28,0.28,0.2799,0.2799,254,0
CVIIW.US,D,20240429,000000,0.29,0.3,0.250101,0.3,25817,0
CVIIW.US,D,20240430,000000,0.3,0.315,0.28,0.31,4263,0
CVIIW.US,D,20240501,000000,0.262,0.31,0.262,0.28,939,0
CVIIW.US,D,20240502,000000,0.2601,0.262,0.2313,0.25,31741,0
CVIIW.US,D,20240503,000000,0.3,0.3,0.3,0.3,237,0
CVIIW.US,D,20240506,000000,0.25,0.25,0.25,0.25,14700,0
CVIIW.US,D,20240507,000000,0.2313,0.26565,0.2313,0.2592,7206,0
CVIIW.US,D,20240509,000000,0.274,0.274,0.2494,0.2494,1041,0
CVIIW.US,D,20240510,000000,0.24,0.2713,0.2313,0.2703,2555,0
CVIIW.US,D,20240513,000000,0.281,0.281,0.28,0.28,3500,0
CVIIW.US,D,20240514,000000,0.2313,0.315,0.2313,0.315,23744,0
CVIIW.US,D,20240515,000000,0.28,0.3,0.2253,0.2499,9691,0
CVIIW.US,D,20240516,000000,0.315,0.315,0.315,0.315,200,0
CVIIW.US,D,20240517,000000,0.315,0.35,0.28,0.3,42070,0
CVIIW.US,D,20240520,000000,0.24,0.28812,0.24,0.28,5384,0
CVIIW.US,D,20240521,000000,0.25,0.28,0.25,0.27,1187,0
CVIIW.US,D,20240522,000000,0.28,0.28,0.24,0.27,1723,0
CVIIW.US,D,20240523,000000,0.27,0.28,0.24,0.25,26340,0
CVIIW.US,D,20240524,000000,0.279999,0.279999,0.2526,0.2526,1764,0
CVIIW.US,D,20240528,000000,0.26,0.3454,0.25,0.28,35559,0
CVIIW.US,D,20240529,000000,0.23,0.26,0.2253,0.2499,6087,0
CVIIW.US,D,20240530,000000,0.2629,0.2629,0.26,0.26,294,0
CVIIW.US,D,20240604,000000,0.235001,0.27,0.2102,0.22,33528,0
CVIIW.US,D,20240605,000000,0.21,0.237107,0.21,0.2195,505,0
