<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVNY.US,D,20250205,000000,51.835,52.05,51.41,51.7656,1986,0
CVNY.US,D,20250206,000000,51.85,52.9128,51.85,52.9128,2943,0
CVNY.US,D,20250207,000000,53.29,53.5074,52.45,53.5074,2738,0
CVNY.US,D,20250210,000000,52.44,54.26,52.44,54.1412,2321,0
CVNY.US,D,20250211,000000,54,54.6004,54,54.6004,493,0
CVNY.US,D,20250212,000000,53.43,54.222,53.4,53.9762,1871,0
CVNY.US,D,20250213,000000,54.03,54.8775,53.87,54.8775,2563,0
CVNY.US,D,20250214,000000,55.12,56.8954,55.12,56.8954,3877,0
CVNY.US,D,20250218,000000,57.65,58.1699,56.7801,56.9526,3001,0
CVNY.US,D,20250219,000000,57.63,58.0758,56.6,56.6,8864,0
CVNY.US,D,20250220,000000,53.8,56.15,48.5101,51.2751,61451,0
CVNY.US,D,20250221,000000,48.64,48.64,46.56,46.56,2962,0
