<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DNMR.US,D,20200601,000000,385.2,386.4,385.2,386.4,50.075,0
DNMR.US,D,20200602,000000,386,386.4,386,386.4,15005.025,0
DNMR.US,D,20200603,000000,388.8,388.8,385.2,385.2,26.775,0
DNMR.US,D,20200604,000000,390,391.6,389.6,389.6,153.9,0
DNMR.US,D,20200605,000000,390,390,390,390,8.5,0
DNMR.US,D,20200608,000000,391.2,391.6,388.7,388.7,13.4,0
DNMR.US,D,20200609,000000,388.8,388.8,388.8,388.8,8,0
DNMR.US,D,20200610,000000,391.2,391.2,387.108,387.6,158,0
DNMR.US,D,20200611,000000,390.8,390.8,387.6,387.6,37.9,0
DNMR.US,D,20200612,000000,388,389.2,385.2,385.2,78.375,0
DNMR.US,D,20200615,000000,384.4,388.8,384.4,386,295,0
DNMR.US,D,20200616,000000,388,388,386,386,315.2,0
DNMR.US,D,20200617,000000,388,398,385.2,386,918,0
DNMR.US,D,20200618,000000,388.8,388.8,386.428,387.2,79.55,0
DNMR.US,D,20200622,000000,390,390,387.6,387.6,76.65,0
DNMR.US,D,20200623,000000,387.6,392.4,387.6,390,8810.25,0
DNMR.US,D,20200624,000000,393.6,393.6,392,392,38.725,0
DNMR.US,D,20200625,000000,396,396,390.8,392,126.95,0
DNMR.US,D,20200626,000000,396,396,390,392.4,169.7,0
DNMR.US,D,20200629,000000,392.8,395.2,390.8,390.8,3149.5,0
DNMR.US,D,20200630,000000,394.4,394.4,390,392,6181.625,0
DNMR.US,D,20200701,000000,390.4,390.8,390,390,235.525,0
DNMR.US,D,20200702,000000,392.4,394,391.6,392.8,138.05,0
DNMR.US,D,20200706,000000,394,394,390.8,390.8,1146.7,0
DNMR.US,D,20200707,000000,390.8,393.6,390.8,393.6,272.6,0
DNMR.US,D,20200709,000000,393.6,393.6,393.6,393.6,30.675,0
DNMR.US,D,20200710,000000,394,394,392,392.8,949.925,0
DNMR.US,D,20200713,000000,394.4,397.44,394.4,397.2,204.25,0
DNMR.US,D,20200714,000000,395.6,396.8,394,395,668.175,0
DNMR.US,D,20200715,000000,394.8,399.6,394.4,398.4,487.925,0
DNMR.US,D,20200716,000000,396.4,403.2,395.6,400,2576.725,0
DNMR.US,D,20200717,000000,404.4,404.8,404.4,404.8,9.15,0
DNMR.US,D,20200720,000000,406.8,406.8,402.8,402.8,35.6,0
DNMR.US,D,20200721,000000,402.8,404,402.8,403.2,182.45,0
DNMR.US,D,20200722,000000,406,406,402.4,402.4,108.7,0
DNMR.US,D,20200723,000000,402,402,397.512,400,263.775,0
DNMR.US,D,20200724,000000,398,400,398,398.4,1944.55,0
DNMR.US,D,20200727,000000,408.452,408.84,398.4,408.84,71.275,0
DNMR.US,D,20200728,000000,396.4,400.384,396,400.384,90.7,0
DNMR.US,D,20200729,000000,405.2,405.2,400.8,401.2,3897.125,0
DNMR.US,D,20200730,000000,401.2,402,401.2,401.2,93.1,0
DNMR.US,D,20200731,000000,404,404,400,400,1662.35,0
DNMR.US,D,20200803,000000,403.6,404,400,400,2138.225,0
DNMR.US,D,20200804,000000,400,403.2,400,400.8,147.85,0
DNMR.US,D,20200805,000000,402,402,400.008,400.8,87.05,0
DNMR.US,D,20200806,000000,400,401.012,399.2,399.2,940.65,0
DNMR.US,D,20200807,000000,400.8,401.2,400.8,401.2,7.5,0
DNMR.US,D,20200810,000000,399.2,399.2,398.96,399.064,890.225,0
DNMR.US,D,20200811,000000,402,402,398,398,15807.5,0
DNMR.US,D,20200812,000000,401.2,401.2,398,398,1638.975,0
DNMR.US,D,20200814,000000,398,400,398,400,224.525,0
DNMR.US,D,20200817,000000,400,400,394.8,394.8,154.75,0
DNMR.US,D,20200818,000000,397,398,396,396,1411.25,0
DNMR.US,D,20200819,000000,396,398,396,396.8,375.525,0
DNMR.US,D,20200820,000000,396,396.4,394,394,1570,0
DNMR.US,D,20200821,000000,394,394.4,394,394.056,133.275,0
DNMR.US,D,20200824,000000,394.4,395.2,393.8,394.8,540,0
DNMR.US,D,20200825,000000,394.8,394.8,394,394,85.6,0
DNMR.US,D,20200826,000000,393.2,393.2,392,392.4,15517.875,0
DNMR.US,D,20200827,000000,392,392,390,390,5011.5,0
DNMR.US,D,20200828,000000,392,392,392,392,50,0
DNMR.US,D,20200831,000000,393.2,393.2,393.2,393.2,36.25,0
DNMR.US,D,20200902,000000,394,394,392.796,394,1547.95,0
DNMR.US,D,20200903,000000,392.8,394,392,394,449.4,0
DNMR.US,D,20200904,000000,395.2,401.6,393.6,398,3084.625,0
DNMR.US,D,20200908,000000,398,398,396,398,3340.925,0
DNMR.US,D,20200909,000000,397.6,400.4,397.6,400.4,1044.25,0
DNMR.US,D,20200910,000000,400,400,398.4,399.6,1425.275,0
DNMR.US,D,20200911,000000,400,402.4,399.6,402,3492.5,0
DNMR.US,D,20200914,000000,398,402.3,398,402,975.4,0
DNMR.US,D,20200915,000000,402,403.2,399.832,403.2,1911.675,0
DNMR.US,D,20200916,000000,403.2,404.8,401.6,404.8,2891.05,0
DNMR.US,D,20200917,000000,405.6,407.6,405.6,406,1999.65,0
DNMR.US,D,20200918,000000,406,408.028,406,408.028,1793.175,0
DNMR.US,D,20200921,000000,406,407.6,390,390,4606.9,0
DNMR.US,D,20200922,000000,402.4,408,400,404.4,1973.95,0
DNMR.US,D,20200923,000000,403.2,405.2,400,404.6,1617.25,0
DNMR.US,D,20200924,000000,401.8,403.2,401.4,401.4,2260.875,0
DNMR.US,D,20200925,000000,402.4,404,401.8,404,837.375,0
DNMR.US,D,20200928,000000,411.2,411.2,406,407.8,1895.975,0
DNMR.US,D,20200929,000000,406,408.4,406,406.4,245.025,0
DNMR.US,D,20200930,000000,402.4,404.8,402.4,403.2,1332.45,0
DNMR.US,D,20201001,000000,401.2,408.4,401.2,408.4,1280.7,0
DNMR.US,D,20201002,000000,408,410,408,410,4830.75,0
DNMR.US,D,20201005,000000,424,424,403.2,410,55710.5,0
DNMR.US,D,20201006,000000,414,415.6,408,410,18294.325,0
DNMR.US,D,20201007,000000,412,412,407.4,408.6,12974.8,0
DNMR.US,D,20201008,000000,412,412,404.4,405.6,7161.325,0
DNMR.US,D,20201009,000000,412,412,402,410,7860.175,0
DNMR.US,D,20201012,000000,414,420.8,412.4,416.8,31534.225,0
DNMR.US,D,20201013,000000,418,423.2,416,422,16688.675,0
DNMR.US,D,20201014,000000,424,434,418,434,32223.325,0
DNMR.US,D,20201015,000000,434,442,430,436,25019.85,0
DNMR.US,D,20201016,000000,444,477.6,440,466,25335.35,0
DNMR.US,D,20201019,000000,470,470,456.8,460,14007.25,0
DNMR.US,D,20201020,000000,468,468,456.8,460,8750.275,0
DNMR.US,D,20201021,000000,457.2,466,441.6,459.2,10168.325,0
DNMR.US,D,20201022,000000,458,465.6,448,458,10309.525,0
DNMR.US,D,20201023,000000,460,463.2,456,456,18448.925,0
DNMR.US,D,20201026,000000,460,460.8,423.6,438,9583.95,0
DNMR.US,D,20201027,000000,445.6,445.6,434,434.4,4104.2,0
DNMR.US,D,20201028,000000,430,444.4,420,430,5538.85,0
DNMR.US,D,20201029,000000,432.4,439.996,422.8,431.2,3359.65,0
DNMR.US,D,20201030,000000,439.2,439.6,420,439.6,6164.55,0
DNMR.US,D,20201102,000000,446,446,431.6,442,8483.5,0
DNMR.US,D,20201103,000000,448,460,442,456,9205.45,0
DNMR.US,D,20201104,000000,458.4,458.4,448.8,455.6,2288.1,0
DNMR.US,D,20201105,000000,452.8,460.8,449.6,457.6,7868.45,0
DNMR.US,D,20201106,000000,459.2,460,452,456.8,2109.2,0
DNMR.US,D,20201109,000000,470,470,440.4,442,3099.8,0
DNMR.US,D,20201110,000000,446,447.2,434.4,434.8,3763.175,0
DNMR.US,D,20201111,000000,440.4,446.8,432,432.004,5269.375,0
DNMR.US,D,20201112,000000,432,441.8,429,430.8,3339.175,0
DNMR.US,D,20201113,000000,442.8,443.2,434,435.2,1900.125,0
DNMR.US,D,20201116,000000,446.8,447.2,438.4,440.4,4518.2,0
DNMR.US,D,20201117,000000,440,440,431.2,438.8,1912.325,0
DNMR.US,D,20201118,000000,444.8,463.6,440,448.4,8051.575,0
DNMR.US,D,20201119,000000,443.6,460,443.6,456,7462.5,0
DNMR.US,D,20201120,000000,460,467.4,451.6,462,11050,0
DNMR.US,D,20201123,000000,468,480,459.6,462.8,5298.325,0
DNMR.US,D,20201124,000000,466,475.552,455.2,462,7114.85,0
DNMR.US,D,20201125,000000,464,465.632,456,459.6,4479.275,0
DNMR.US,D,20201127,000000,473.6,480,462,470.4,6418.8,0
DNMR.US,D,20201130,000000,492.8,508.8,480,500,26920.775,0
DNMR.US,D,20201201,000000,536,540,494.8,510.4,25359.85,0
DNMR.US,D,20201202,000000,506,540,506,532,22370.125,0
DNMR.US,D,20201203,000000,542,584,542,550.8,24419.7,0
DNMR.US,D,20201204,000000,564.8,579.2,550.8,568,17787.275,0
DNMR.US,D,20201207,000000,588,650,570.4,614.4,27925.525,0
DNMR.US,D,20201208,000000,642,650.4,612,612.4,15529.975,0
DNMR.US,D,20201209,000000,676,676.2,558,572.4,19751.2,0
DNMR.US,D,20201210,000000,580,659.2,560.8,640,24649.55,0
DNMR.US,D,20201211,000000,630,649.2,592,606,19261.625,0
DNMR.US,D,20201214,000000,600,635.2,600,630.4,10516.825,0
DNMR.US,D,20201215,000000,620.4,712.4,620.4,681.2,18300.15,0
DNMR.US,D,20201216,000000,662,706,657.204,670.4,12060.975,0
DNMR.US,D,20201217,000000,672.8,700,658,695.6,14837.85,0
DNMR.US,D,20201218,000000,665.2,720,660,720,13449.025,0
DNMR.US,D,20201221,000000,780,780,682,736.8,18035.025,0
DNMR.US,D,20201222,000000,769.2,854.8,763.2,807.6,33334.95,0
DNMR.US,D,20201223,000000,849.6,916.8,800,908.4,27518.75,0
DNMR.US,D,20201224,000000,908,908,836,886,15879.075,0
DNMR.US,D,20201228,000000,974.8,1124.8,850.4,986,75789.75,0
DNMR.US,D,20201229,000000,1040,1060,881.2,968,34108.075,0
DNMR.US,D,20201230,000000,1220,1240,944,952,152450,0
DNMR.US,D,20201231,000000,1013.2,1017.2,939.6,940.4,38150,0
DNMR.US,D,20210104,000000,992,992,808.8,896.4,54512.5,0
DNMR.US,D,20210105,000000,860.4,910.4,837.8,910.4,39232.5,0
DNMR.US,D,20210106,000000,979.6,1076.8,943.256,998.8,80642.5,0
DNMR.US,D,20210107,000000,1048,1069.2,1020.4,1039.6,56865,0
DNMR.US,D,20210108,000000,1080,1109.53,1010.77,1030.4,61702.5,0
DNMR.US,D,20210111,000000,1032.8,1040,990,1001.6,21857.5,0
DNMR.US,D,20210112,000000,1026.8,1050,986,1005.2,37020,0
DNMR.US,D,20210113,000000,1010.4,1045.8,994.8,1020.4,44125,0
DNMR.US,D,20210114,000000,1040,1194,1038.4,1110,76237.5,0
DNMR.US,D,20210115,000000,1096,1168,1090.8,1123.6,35872.5,0
DNMR.US,D,20210119,000000,1196.4,1266.8,1166.4,1191.6,52205,0
DNMR.US,D,20210120,000000,1257.2,1454.8,1228,1374,86182.725,0
DNMR.US,D,20210121,000000,1490,1594.8,1444.8,1518.4,108540.575,0
DNMR.US,D,20210122,000000,1540,1656.4,1520.4,1575.6,118443,0
DNMR.US,D,20210125,000000,1752,1823.6,1600,1702.4,87551.95,0
DNMR.US,D,20210126,000000,1717.6,1973.6,1642.8,1920,79647.725,0
DNMR.US,D,20210127,000000,1881.6,2005.6,1820,2000,80832.55,0
DNMR.US,D,20210128,000000,2000,2020,1804,1940.4,70954.125,0
DNMR.US,D,20210129,000000,1847.6,1938,1656.4,1700,83296.325,0
DNMR.US,D,20210201,000000,1850.4,1859.2,1680.4,1720,40697.175,0
DNMR.US,D,20210202,000000,1745.6,1784,1692.8,1757.2,27745.975,0
DNMR.US,D,20210203,000000,1784,1878.8,1745.6,1832.8,25255.875,0
DNMR.US,D,20210204,000000,1868,2022.4,1820,1950.4,41532.775,0
DNMR.US,D,20210205,000000,2000,2310.4,1920.4,2263.6,65405.45,0
DNMR.US,D,20210208,000000,2328,2501.6,2186.02,2231.6,59349.55,0
DNMR.US,D,20210209,000000,2279.6,2470,2189.6,2456,43568.025,0
DNMR.US,D,20210210,000000,2560,2652,2320.4,2571.6,55815.525,0
DNMR.US,D,20210211,000000,2560,2582.4,2224,2382.4,59035.325,0
DNMR.US,D,20210212,000000,2320,2426.12,2251.2,2312.4,25554.075,0
DNMR.US,D,20210216,000000,2320,2328,2080.8,2119.2,46034.425,0
DNMR.US,D,20210217,000000,1907.6,1949.2,1746.4,1841.2,156990.7,0
DNMR.US,D,20210218,000000,1760,1813.6,1724,1754.8,64127.575,0
DNMR.US,D,20210219,000000,1820,1991.6,1782.54,1974.4,77987.025,0
DNMR.US,D,20210222,000000,1888,1966.8,1825.6,1850.4,38556.15,0
DNMR.US,D,20210223,000000,1714,1810.4,1520,1671.6,99304.175,0
DNMR.US,D,20210224,000000,1720,1756.8,1617.6,1660,45095.35,0
DNMR.US,D,20210225,000000,1672.4,1737.54,1509.68,1556.4,57099.15,0
DNMR.US,D,20210226,000000,1554.8,1600,1448,1525.2,61299.35,0
DNMR.US,D,20210301,000000,1619.6,1719.6,1566.4,1607.6,40658.475,0
DNMR.US,D,20210302,000000,1642.4,1663.2,1522.8,1526,37246.4,0
DNMR.US,D,20210303,000000,1550,1580,1294.4,1369.6,76406.925,0
DNMR.US,D,20210304,000000,1324.4,1407.2,1138.8,1327.2,88336.85,0
DNMR.US,D,20210305,000000,1362.4,1388,1182.4,1312,68149.975,0
DNMR.US,D,20210308,000000,1327.2,1436.8,1268,1356.8,50187.425,0
DNMR.US,D,20210309,000000,1420,1518.8,1371.2,1383.2,70730.45,0
DNMR.US,D,20210310,000000,1434.8,1519.6,1422.14,1483.6,47430.125,0
DNMR.US,D,20210311,000000,1560,1676.4,1520,1564.8,57531.175,0
DNMR.US,D,20210312,000000,1520.4,1688.68,1502,1673.6,39440.75,0
DNMR.US,D,20210315,000000,1748.8,1874,1743.6,1816.4,55808.975,0
DNMR.US,D,20210316,000000,1900.4,1932.4,1809.07,1865.2,73045.3,0
DNMR.US,D,20210317,000000,1770.8,1924.8,1749.2,1858,63135.325,0
DNMR.US,D,20210318,000000,1899.6,2000.2,1872.4,1913.6,85541.275,0
DNMR.US,D,20210319,000000,1960,2054.8,1908,1999.2,169174.125,0
DNMR.US,D,20210322,000000,1999.2,2032.59,1704,1742,110105.625,0
DNMR.US,D,20210323,000000,1640,1786.79,1602,1770.4,82988.225,0
DNMR.US,D,20210324,000000,1740.8,1805.6,1586,1607.6,48649.475,0
DNMR.US,D,20210325,000000,1487.6,1590,1458,1516.8,72974.425,0
DNMR.US,D,20210326,000000,1528.8,1594.4,1462.4,1546.8,37194.775,0
DNMR.US,D,20210329,000000,1550,1574.8,1464,1473.6,57008.3,0
DNMR.US,D,20210330,000000,1288,1366,1214.4,1366,154759.375,0
DNMR.US,D,20210331,000000,1403.6,1608.4,1374.4,1510,88944.725,0
DNMR.US,D,20210401,000000,1564,1576.4,1484,1500.8,33690.625,0
DNMR.US,D,20210405,000000,1550.4,1606.4,1511.2,1525.2,42514.375,0
DNMR.US,D,20210406,000000,1508.8,1588.4,1508.8,1533.2,37267.625,0
DNMR.US,D,20210407,000000,1533.6,1537,1450,1480,37095.375,0
DNMR.US,D,20210408,000000,1502,1523.6,1468,1482.8,21869.35,0
DNMR.US,D,20210409,000000,1470,1478,1349.6,1374.4,51104.65,0
DNMR.US,D,20210412,000000,1394,1394,1326,1326.8,26865.5,0
DNMR.US,D,20210413,000000,1338.8,1348.2,1260.4,1284.8,41718.875,0
DNMR.US,D,20210414,000000,1270.8,1335.6,1244,1312.4,40062.425,0
DNMR.US,D,20210415,000000,1332,1346.8,1264.6,1287.2,42938.525,0
DNMR.US,D,20210416,000000,1256,1280.8,1220.4,1260.4,51659.75,0
DNMR.US,D,20210419,000000,1264,1264.4,1024.4,1039.6,131045.85,0
DNMR.US,D,20210420,000000,1043.2,1046.8,933.8,970.4,135316.1,0
DNMR.US,D,20210421,000000,983.2,1040,950.04,1000,100051.475,0
DNMR.US,D,20210422,000000,1008,1038,834,919.6,324733.225,0
DNMR.US,D,20210423,000000,914.4,997.2,890,954,78313.15,0
DNMR.US,D,20210426,000000,971.6,1127.2,961.2,1090.4,94259.325,0
DNMR.US,D,20210427,000000,1124,1124,1050,1083.6,50208.8,0
DNMR.US,D,20210428,000000,1070.4,1083.2,1008,1058.4,37209.275,0
DNMR.US,D,20210429,000000,1050.4,1068,989.2,1034.8,37327.175,0
DNMR.US,D,20210430,000000,1031.2,1069.6,1007.6,1022,34140.7,0
DNMR.US,D,20210503,000000,1022.8,1056.8,936,945.2,57696.45,0
DNMR.US,D,20210504,000000,922,933.6,810.8,885.6,156106.925,0
DNMR.US,D,20210505,000000,885.6,885.6,814,834,41583.45,0
DNMR.US,D,20210506,000000,802.4,809.2,700,706.4,172048.975,0
DNMR.US,D,20210507,000000,711.2,746,682.8,698,116595.35,0
DNMR.US,D,20210510,000000,718,742.4,652,664.4,83623.35,0
DNMR.US,D,20210511,000000,625.6,687.6,615.2,676,95292.525,0
DNMR.US,D,20210512,000000,668.4,673.6,625.6,635.6,66904.875,0
DNMR.US,D,20210513,000000,640,706.4,636,648,74761.725,0
