<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOMA.US,D,20210125,000000,257.25,257.25,250,255.5,8531.44,0
DOMA.US,D,20210126,000000,253.75,256,253,254,6387.56,0
DOMA.US,D,20210127,000000,250.5,253.75,249,251,5268.64,0
DOMA.US,D,20210128,000000,255.5,255.5,250.25,252.25,1763.8,0
DOMA.US,D,20210129,000000,252.75,253.1,251,251,1414.36,0
DOMA.US,D,20210201,000000,251.75,256.25,251.25,253,2959.32,0
DOMA.US,D,20210202,000000,256.25,256.25,253.25,256,3165,0
DOMA.US,D,20210203,000000,258.75,258.75,255,255.25,673.16,0
DOMA.US,D,20210204,000000,255.26,257.25,255.25,255.75,1220.88,0
DOMA.US,D,20210205,000000,255,258.5,255,255.5,2821.28,0
DOMA.US,D,20210208,000000,257.5,261.75,255,255,8320.12,0
DOMA.US,D,20210209,000000,257.25,257.5,255.75,256.5,11250.56,0
DOMA.US,D,20210210,000000,256.75,262.25,253,257.5,11729.28,0
DOMA.US,D,20210211,000000,258.75,262.25,257.5,259.5,21390.68,0
DOMA.US,D,20210212,000000,258.5,262.5,258.5,262.5,5839.96,0
DOMA.US,D,20210216,000000,260.25,262.5,258,259.25,1404,0
DOMA.US,D,20210217,000000,259,261.25,254.25,260,1689.32,0
DOMA.US,D,20210218,000000,259,262.748,259,261.5,26867.88,0
DOMA.US,D,20210219,000000,262.5,265.25,260.5,265.25,10256.76,0
DOMA.US,D,20210222,000000,264.25,264.25,260.25,262.5,8110.56,0
DOMA.US,D,20210223,000000,258.5,260.5,254,260,4463.6,0
DOMA.US,D,20210224,000000,258.25,262,257.75,260,2694.84,0
DOMA.US,D,20210225,000000,260,261,255.25,256,6528.36,0
DOMA.US,D,20210226,000000,255,256,255,255.25,2741.44,0
DOMA.US,D,20210301,000000,256,257.75,253.75,254.75,3482.28,0
DOMA.US,D,20210302,000000,256,256,248.75,249.25,62218.36,0
DOMA.US,D,20210303,000000,259.25,263.747,251,253,364447.48,0
DOMA.US,D,20210304,000000,253,255.25,245,248.75,110014.76,0
DOMA.US,D,20210305,000000,251.25,255.25,250,252.5,77540.64,0
DOMA.US,D,20210308,000000,256.25,258.25,252.5,252.75,23224.36,0
DOMA.US,D,20210309,000000,257.25,257.25,251.5,252.5,20021.96,0
DOMA.US,D,20210310,000000,252.5,257.5,251.5,253.25,33936.04,0
