<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECG.US,D,20241104,000000,52.49,55.82,50,53.7,1307828,0
ECG.US,D,20241105,000000,53.89,55.24,51.51,51.51,1739324,0
ECG.US,D,20241106,000000,52.5,56.06,51.9,54.61,1170449,0
ECG.US,D,20241107,000000,55,63.33,55,62.1,1575021,0
ECG.US,D,20241108,000000,62.91,63.63,61.33,62.93,1177336,0
ECG.US,D,20241111,000000,63.64,67.1099,62.59,63.85,1582420,0
ECG.US,D,20241112,000000,64.54,65.0165,59.83,61.03,623807,0
ECG.US,D,20241113,000000,61.5301,64.21,58.91,59.22,340644,0
ECG.US,D,20241114,000000,59.39,60.78,56.59,56.74,536182,0
ECG.US,D,20241115,000000,55.63,57.13,55.4456,56.34,513157,0
ECG.US,D,20241118,000000,56.31,59.86,56.18,59.32,730055,0
ECG.US,D,20241119,000000,59.6,62.94,58.6,61.39,348492,0
ECG.US,D,20241120,000000,60.9205,61.93,60.07,60.08,517036,0
ECG.US,D,20241121,000000,60.08,64.35,59.985,64.28,820622,0
ECG.US,D,20241122,000000,64.405,66.25,63.97,65.07,485492,0
ECG.US,D,20241125,000000,66.43,67.99,63.52,63.91,529828,0
ECG.US,D,20241126,000000,64.43,65.57,63.52,64.55,364622,0
ECG.US,D,20241127,000000,63.54,65,63.315,64.66,418967,0
ECG.US,D,20241129,000000,65.13,65.52,63.305,63.66,265890,0
ECG.US,D,20241202,000000,63.66,64.13,61.88,62.9,372209,0
ECG.US,D,20241203,000000,63.71,65.87,61.54,65.47,632097,0
ECG.US,D,20241204,000000,66.365,68.31,64.65,67.25,506770,0
ECG.US,D,20241205,000000,69.1,70.37,66.1933,68.24,671479,0
ECG.US,D,20241206,000000,69.58,70.2499,66.91,68.62,351726,0
ECG.US,D,20241209,000000,68.085,69.68,66.5444,66.95,452860,0
ECG.US,D,20241210,000000,67.74,67.78,65.59,66.16,305093,0
ECG.US,D,20241211,000000,67.21,67.85,65.82,67.83,692522,0
ECG.US,D,20241212,000000,67.72,71.035,67.23,68.8,702235,0
ECG.US,D,20241213,000000,69.475,69.475,67.05,68.17,312143,0
ECG.US,D,20241216,000000,68.2,71.42,67.59,71.16,430819,0
ECG.US,D,20241217,000000,70.3944,70.77,68.83,69.67,644434,0
ECG.US,D,20241218,000000,69.595,71.26,68.06,68.5,1098346,0
ECG.US,D,20241219,000000,68.53,69.98,64.22,64.6,1077940,0
ECG.US,D,20241220,000000,63.7,67.39,62.56,67.09,1509329,0
ECG.US,D,20241223,000000,67.14,68.82,66.375,68.8,400871,0
ECG.US,D,20241224,000000,68.67,70.65,68.4,70.58,168507,0
ECG.US,D,20241226,000000,70.175,73.73,69.77,73.61,228330,0
ECG.US,D,20241227,000000,72.7,73.01,69.05,69.85,273222,0
ECG.US,D,20241230,000000,69.05,69.17,66.22,66.87,464237,0
ECG.US,D,20241231,000000,66.685,67.52,65.28,65.75,564796,0
ECG.US,D,20250102,000000,66.405,70.65,65.77,69.28,735600,0
ECG.US,D,20250103,000000,69.225,69.93,67.345,68.96,586592,0
ECG.US,D,20250106,000000,68.95,70.75,67.48,67.7,435410,0
ECG.US,D,20250107,000000,67.77,70.14,67.45,69.12,505869,0
ECG.US,D,20250108,000000,67.71,69.82,66.53,66.66,412456,0
ECG.US,D,20250110,000000,67.53,67.53,64.6,64.67,277621,0
ECG.US,D,20250113,000000,64.5,66.06,64.5,65.87,282977,0
ECG.US,D,20250114,000000,66.96,69.92,66.64,69.34,216106,0
ECG.US,D,20250115,000000,71.59,73.83,69.88,69.95,464210,0
ECG.US,D,20250116,000000,69.92,70.2,66.18,66.29,641577,0
ECG.US,D,20250117,000000,67.59,71.24,66.5,69.68,1976260,0
ECG.US,D,20250121,000000,71.012,73.505,69.67,72.5,325439,0
ECG.US,D,20250122,000000,72.575,77.0299,72.575,76.1,591202,0
ECG.US,D,20250123,000000,75.0491,76.21,74.025,75.34,525672,0
ECG.US,D,20250124,000000,75.55,77.9325,75.2,76.76,748568,0
ECG.US,D,20250127,000000,73,73.3,66.07,68.45,1705377,0
ECG.US,D,20250128,000000,70.525,70.75,64.86,67.99,747562,0
ECG.US,D,20250129,000000,67.14,69.035,66.36,66.56,519385,0
ECG.US,D,20250130,000000,67.69,71.23,67.6,70.49,468807,0
ECG.US,D,20250131,000000,71.08,71.08,67.305,68.81,901408,0
ECG.US,D,20250203,000000,66.76,68.74,66.47,66.65,428867,0
ECG.US,D,20250204,000000,66.77,68.12,65.885,67.61,362370,0
ECG.US,D,20250205,000000,68.47,70.35,67.24,69.08,362114,0
ECG.US,D,20250206,000000,69.102,71.0117,68.25,70.72,282229,0
ECG.US,D,20250207,000000,70.745,72.3,70.02,70.28,440989,0
ECG.US,D,20250210,000000,71,71,68.1825,69.92,382823,0
ECG.US,D,20250211,000000,69.435,69.86,66.87,68.42,456508,0
ECG.US,D,20250212,000000,65.89,65.89,55.51,55.99,2042991,0
ECG.US,D,20250213,000000,56,56.05,47.62,49.54,1851638,0
ECG.US,D,20250214,000000,49.87,50.41,47.34,48.14,1010357,0
ECG.US,D,20250218,000000,49.2099,49.2099,46.3,47.89,1048851,0
ECG.US,D,20250219,000000,47.46,47.86,46.16,46.58,851576,0
ECG.US,D,20250220,000000,47.38,47.38,45.73,46.54,651234,0
ECG.US,D,20250221,000000,46.89,46.91,43.395,43.56,747659,0
