<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EFC_E.US,D,20231218,000000,24.85,24.9,24.6,24.6,3701,0
EFC_E.US,D,20231220,000000,25,25,24.7525,24.7701,707,0
EFC_E.US,D,20231221,000000,24.76,24.855,24.6,24.62,2724,0
EFC_E.US,D,20231222,000000,24.6,24.6,24.2,24.5,4594,0
EFC_E.US,D,20231226,000000,24.4,24.6712,24.25,24.5001,3886,0
EFC_E.US,D,20231227,000000,24.5,24.75,24.5,24.63,1739,0
EFC_E.US,D,20231228,000000,24.51,24.51,24.51,24.51,326,0
EFC_E.US,D,20231229,000000,24.5201,24.55,24.5001,24.55,800,0
EFC_E.US,D,20240102,000000,24.6,24.6,24.55,24.59,4183,0
EFC_E.US,D,20240103,000000,24.59,24.6,24.59,24.5999,2994,0
EFC_E.US,D,20240104,000000,24.6,24.6,24.55,24.58,6252,0
EFC_E.US,D,20240105,000000,24.5,24.6501,24.5,24.6501,4194,0
EFC_E.US,D,20240108,000000,24.6,24.7,24.5,24.5,2287,0
EFC_E.US,D,20240109,000000,24.56,24.7,24.28,24.55,2711,0
EFC_E.US,D,20240110,000000,24.5,24.7,24.5,24.65,4332,0
EFC_E.US,D,20240111,000000,24.6999,24.6999,24.6999,24.6999,543,0
EFC_E.US,D,20240116,000000,24.5231,24.82,24.5231,24.8,4785,0
EFC_E.US,D,20240117,000000,24.9,24.9909,24.8675,24.87,4376,0
EFC_E.US,D,20240118,000000,24.8999,24.9,24.89,24.9,1600,0
EFC_E.US,D,20240119,000000,24.823,24.9,24.823,24.9,3525,0
EFC_E.US,D,20240122,000000,24.9,24.9499,24.86,24.9499,2950,0
EFC_E.US,D,20240123,000000,24.9,24.9,24.85,24.9,1406,0
EFC_E.US,D,20240124,000000,24.9,24.9,24.9,24.9,1011,0
EFC_E.US,D,20240125,000000,24.9,24.95,24.8725,24.95,3920,0
EFC_E.US,D,20240126,000000,24.9999,24.9999,24.9,24.9,4213,0
EFC_E.US,D,20240130,000000,24.91,24.92,24.89,24.89,7336,0
EFC_E.US,D,20240131,000000,24.945,25.25,24.9,24.9,7113,0
EFC_E.US,D,20240201,000000,24.945,25.11,24.94,24.98,3944,0
EFC_E.US,D,20240202,000000,25.07,25.0701,24.99,24.99,1491,0
EFC_E.US,D,20240205,000000,24.99,24.9901,24.89,24.9,715,0
EFC_E.US,D,20240206,000000,24.901,25.02,24.83,24.83,5444,0
EFC_E.US,D,20240207,000000,24.922,25.09,24.91,24.91,2240,0
EFC_E.US,D,20240208,000000,24.91,24.94,24.9,24.9,3657,0
EFC_E.US,D,20240209,000000,25.18,25.18,24.92,24.95,6870,0
EFC_E.US,D,20240212,000000,25.01,25.1,25,25,800,0
EFC_E.US,D,20240213,000000,25,25.1,25,25.0498,8010,0
EFC_E.US,D,20240214,000000,25.05,25.1,24.97,25.0501,859,0
EFC_E.US,D,20240215,000000,25.0001,25.1712,25.0001,25.1,2594,0
EFC_E.US,D,20240216,000000,25.05,25.15,25.05,25.12,6356,0
EFC_E.US,D,20240220,000000,25.05,25.15,25.05,25.15,3927,0
EFC_E.US,D,20240221,000000,25.15,25.17,25.075,25.17,3274,0
EFC_E.US,D,20240222,000000,25.15,25.17,25.12,25.13,5572,0
EFC_E.US,D,20240223,000000,25.15,25.15,25.1,25.13,3180,0
EFC_E.US,D,20240226,000000,25.11,25.15,25.11,25.15,9435,0
EFC_E.US,D,20240227,000000,25.12,25.1697,25.12,25.12,12253,0
EFC_E.US,D,20240228,000000,25.17,25.17,25.17,25.17,360,0
EFC_E.US,D,20240229,000000,25.2,25.2499,25.16,25.2,2620,0
EFC_E.US,D,20240301,000000,25.1497,25.15,25.1,25.15,4307,0
EFC_E.US,D,20240304,000000,25.1499,25.25,25.1266,25.25,14643,0
EFC_E.US,D,20240305,000000,25.23,25.25,25.23,25.25,6787,0
EFC_E.US,D,20240306,000000,25.235,25.27,25.2201,25.25,11033,0
EFC_E.US,D,20240307,000000,25.27,25.3,25.22,25.2435,8839,0
EFC_E.US,D,20240308,000000,25.24,25.3943,25.2095,25.3943,7249,0
EFC_E.US,D,20240311,000000,25.5,25.5,25.4,25.4,2317,0
EFC_E.US,D,20240312,000000,25.25,25.465,25.25,25.36,7399,0
EFC_E.US,D,20240313,000000,25.4682,25.47,25.36,25.36,2382,0
EFC_E.US,D,20240314,000000,25.5,25.5,25.3863,25.3863,1220,0
EFC_E.US,D,20240315,000000,25.38,25.46,25.36,25.4599,4765,0
EFC_E.US,D,20240318,000000,25.43,25.48,25.43,25.48,3917,0
EFC_E.US,D,20240319,000000,25.2,25.25,25.01,25.075,11312,0
EFC_E.US,D,20240320,000000,25.1,25.12,25.08,25.12,8487,0
EFC_E.US,D,20240321,000000,25.115,25.2894,25.115,25.24,4444,0
EFC_E.US,D,20240322,000000,25.1501,25.2899,25.15,25.2899,1234,0
EFC_E.US,D,20240325,000000,25.25,25.25,25.1059,25.1059,1974,0
EFC_E.US,D,20240326,000000,25.1799,25.18,25.12,25.12,2613,0
EFC_E.US,D,20240327,000000,25.1201,25.18,25.1201,25.18,3479,0
EFC_E.US,D,20240328,000000,25.18,25.25,25.15,25.25,4707,0
EFC_E.US,D,20240401,000000,25.17,25.2,25.1201,25.2,2728,0
EFC_E.US,D,20240402,000000,25.16,25.2299,25.13,25.2,1496,0
EFC_E.US,D,20240403,000000,25.15,25.2,25.15,25.2,1334,0
EFC_E.US,D,20240404,000000,25.2299,25.25,25.1802,25.2199,5261,0
EFC_E.US,D,20240405,000000,25.22,25.22,25.22,25.22,325,0
EFC_E.US,D,20240408,000000,25.24,25.245,25.22,25.22,2398,0
EFC_E.US,D,20240409,000000,25.25,25.26,25.22,25.22,1446,0
EFC_E.US,D,20240410,000000,25.245,25.245,25.22,25.2245,997,0
EFC_E.US,D,20240411,000000,25.23,25.23,25.08,25.1,5528,0
EFC_E.US,D,20240412,000000,25.195,25.1999,25.1,25.1,1188,0
EFC_E.US,D,20240415,000000,25.13,25.17,25.0602,25.11,9360,0
EFC_E.US,D,20240416,000000,25.11,25.15,25.075,25.075,4355,0
EFC_E.US,D,20240417,000000,25.08,25.14,25.06,25.08,5142,0
EFC_E.US,D,20240418,000000,25.1202,25.14,25.12,25.1399,6208,0
EFC_E.US,D,20240419,000000,25.15,25.15,25.14,25.15,2774,0
EFC_E.US,D,20240422,000000,25.17,25.24,25.1295,25.24,2275,0
EFC_E.US,D,20240423,000000,25.21,25.2844,25.06,25.18,8691,0
EFC_E.US,D,20240424,000000,25.2,25.2001,25.2,25.2,903,0
EFC_E.US,D,20240425,000000,25.125,25.17,25.125,25.1699,403,0
EFC_E.US,D,20240426,000000,25.245,25.33,25.15,25.15,5280,0
EFC_E.US,D,20240429,000000,25.27,25.29,25.22,25.22,2256,0
EFC_E.US,D,20240430,000000,25.27,25.27,25.18,25.18,6055,0
EFC_E.US,D,20240501,000000,25.2,25.202,25.1519,25.2,3767,0
EFC_E.US,D,20240502,000000,25.2899,25.2899,25.2756,25.2756,450,0
EFC_E.US,D,20240503,000000,25.2001,25.2822,25.15,25.23,9163,0
EFC_E.US,D,20240506,000000,25.29,25.29,25.18,25.2742,853,0
EFC_E.US,D,20240507,000000,25.27,25.29,25.255,25.29,615,0
EFC_E.US,D,20240508,000000,25.37,25.39,25.35,25.3899,1678,0
EFC_E.US,D,20240509,000000,25.35,25.39,25.35,25.3852,1320,0
EFC_E.US,D,20240510,000000,25.37,25.3801,25.34,25.38,2944,0
EFC_E.US,D,20240513,000000,25.44,25.47,25.44,25.46,1710,0
EFC_E.US,D,20240514,000000,25.45,25.47,25.45,25.45,2224,0
EFC_E.US,D,20240515,000000,25.47,25.47,25.44,25.47,3334,0
EFC_E.US,D,20240516,000000,25.45,25.45,25.45,25.45,101,0
EFC_E.US,D,20240520,000000,25.48,25.53,25.4799,25.53,1277,0
EFC_E.US,D,20240521,000000,25.5,25.5269,25.47,25.5269,2158,0
EFC_E.US,D,20240522,000000,25.4801,25.4801,25.48,25.48,970,0
EFC_E.US,D,20240523,000000,25.47,25.5,25.47,25.47,975,0
EFC_E.US,D,20240524,000000,25.5,25.52,25.4999,25.5,1912,0
EFC_E.US,D,20240528,000000,25.53,25.545,25.53,25.545,1358,0
EFC_E.US,D,20240529,000000,25.58,25.58,25.53,25.53,1330,0
EFC_E.US,D,20240530,000000,25.59,25.59,25.59,25.59,723,0
EFC_E.US,D,20240531,000000,25.58,25.6269,25.55,25.6,3700,0
EFC_E.US,D,20240603,000000,25.54,25.65,25.54,25.65,9451,0
EFC_E.US,D,20240604,000000,25.65,25.69,25.62,25.63,3249,0
EFC_E.US,D,20240605,000000,25.64,25.66,25.64,25.65,1170,0
EFC_E.US,D,20240606,000000,25.65,25.69,25.65,25.69,2229,0
EFC_E.US,D,20240607,000000,25.62,25.67,25.55,25.6508,4861,0
EFC_E.US,D,20240610,000000,25.6402,25.69,25.615,25.69,2830,0
EFC_E.US,D,20240611,000000,25.73,25.73,25.7188,25.7188,1218,0
EFC_E.US,D,20240612,000000,25.7,25.72,25.69,25.71,2014,0
EFC_E.US,D,20240613,000000,25.65,25.73,25.65,25.73,3548,0
EFC_E.US,D,20240614,000000,25.685,25.7,25.685,25.6942,2310,0
EFC_E.US,D,20240617,000000,25.79,25.89,25.76,25.79,9489,0
EFC_E.US,D,20240618,000000,25.62,25.79,25.62,25.78,5792,0
EFC_E.US,D,20240620,000000,25.3,25.3,25.05,25.07,21570,0
EFC_E.US,D,20240621,000000,25.05,25.17,25.01,25.12,3970,0
EFC_E.US,D,20240624,000000,25.13,25.14,25.07,25.09,7140,0
EFC_E.US,D,20240625,000000,25.15,25.15,25.11,25.14,3316,0
EFC_E.US,D,20240626,000000,25.15,25.24,25.15,25.17,6417,0
EFC_E.US,D,20240627,000000,25.2,25.2,25.15,25.2,4685,0
EFC_E.US,D,20240628,000000,25.18,25.2,25.16,25.19,4477,0
EFC_E.US,D,20240701,000000,25.2,25.2,25.2,25.2,1440,0
EFC_E.US,D,20240702,000000,25.24,25.3224,25.24,25.3224,1208,0
EFC_E.US,D,20240703,000000,25.28,25.28,25.25,25.25,731,0
EFC_E.US,D,20240705,000000,25.3,25.3,25.2998,25.2998,555,0
