<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGGS.US,D,20241231,000000,38.97,38.97,38.6833,38.6833,48554,0
EGGS.US,D,20250102,000000,38.98,38.98,38.5529,38.7468,12161,0
EGGS.US,D,20250103,000000,39.245,39.2726,39.222,39.222,2303,0
EGGS.US,D,20250106,000000,39.82,39.86,39.62,39.6936,14107,0
EGGS.US,D,20250107,000000,39.34,39.5,39.0462,39.0462,5693,0
EGGS.US,D,20250108,000000,39.18,39.18,38.98,39.0155,22248,0
EGGS.US,D,20250110,000000,38.65,38.86,38.5,38.7255,14574,0
EGGS.US,D,20250113,000000,38.4,38.6,38.3,38.6,11754,0
EGGS.US,D,20250114,000000,38.77,38.77,38.0095,38.065,29213,0
EGGS.US,D,20250115,000000,38.5,38.8369,38.5,38.8369,6508,0
EGGS.US,D,20250116,000000,39.12,39.21,38.7303,38.7303,15774,0
EGGS.US,D,20250117,000000,38.9775,39.18,38.9501,38.9501,7790,0
EGGS.US,D,20250121,000000,38.97,39.5,38.8984,39.1689,10769,0
EGGS.US,D,20250122,000000,39.81,39.96,39.79,39.8,2576,0
EGGS.US,D,20250123,000000,39.69,40.07,39.62,39.9546,4210,0
EGGS.US,D,20250124,000000,40.13,40.13,39.81,39.8954,4099,0
EGGS.US,D,20250127,000000,38.63,38.63,38.1946,38.1946,456,0
EGGS.US,D,20250128,000000,38.566,38.95,38.566,38.893,3139,0
EGGS.US,D,20250129,000000,38.8,39.06,38.7,38.7341,1303,0
EGGS.US,D,20250130,000000,38.66,38.7699,38.3,38.6081,2109,0
EGGS.US,D,20250131,000000,38.95,39.39,38.6092,38.6092,3616,0
EGGS.US,D,20250203,000000,38.15,38.504,38.1,38.27,2987,0
EGGS.US,D,20250204,000000,38.57,38.844,38.505,38.7525,2312,0
EGGS.US,D,20250205,000000,38.7382,39.32,38.7382,38.8483,2991,0
EGGS.US,D,20250206,000000,38.95,39.2599,38.95,39.2497,8968,0
EGGS.US,D,20250207,000000,39.22,39.22,39.002,39.002,757,0
EGGS.US,D,20250210,000000,39.32,39.72,39.32,39.358,6777,0
EGGS.US,D,20250211,000000,39.2789,39.42,39.07,39.07,4169,0
EGGS.US,D,20250212,000000,38.96,39.285,38.96,39.222,3600,0
EGGS.US,D,20250213,000000,39.2682,39.82,39.24,39.24,5476,0
EGGS.US,D,20250214,000000,39.72,39.72,39.46,39.63,3040,0
EGGS.US,D,20250218,000000,39.618,39.618,39.25,39.3091,964,0
EGGS.US,D,20250219,000000,39.3,39.44,39.3,39.4175,2351,0
EGGS.US,D,20250220,000000,39.07,39.28,39.07,39.2785,613,0
EGGS.US,D,20250221,000000,39.42,39.42,38.7,38.84,995,0
