<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGGY.US,D,20241231,000000,39.45,43.55,39.17,39.1701,49304,0
EGGY.US,D,20250102,000000,39.5,39.5,39.04,39.2566,2278,0
EGGY.US,D,20250103,000000,39.6737,39.84,39.6737,39.7396,5212,0
EGGY.US,D,20250106,000000,39.95,40.0211,39.8,39.8369,7745,0
EGGY.US,D,20250107,000000,39.84,39.9799,39.5263,39.5263,6630,0
EGGY.US,D,20250108,000000,39.61,39.67,39.542,39.583,35579,0
EGGY.US,D,20250110,000000,39.1692,39.6,39.131,39.3165,21558,0
EGGY.US,D,20250113,000000,39.13,39.4,39.09,39.2051,12883,0
EGGY.US,D,20250114,000000,39.36,39.36,38.8441,38.8954,14403,0
EGGY.US,D,20250115,000000,39.19,39.39,39.17,39.3644,10241,0
EGGY.US,D,20250116,000000,39.619,39.76,39.3596,39.3596,19412,0
EGGY.US,D,20250117,000000,39.5075,39.9,39.5075,39.6181,9234,0
EGGY.US,D,20250121,000000,40.16,40.16,39.64,39.7405,18110,0
EGGY.US,D,20250122,000000,39.98,40.13,39.9799,40.0036,6288,0
EGGY.US,D,20250123,000000,39.96,40.27,39.83,40.0859,10219,0
EGGY.US,D,20250124,000000,40.22,40.22,39.98,40.09,5421,0
EGGY.US,D,20250127,000000,38.92,38.92,38.261,38.3458,3048,0
EGGY.US,D,20250128,000000,38.54,39.24,38.54,39.0389,10613,0
EGGY.US,D,20250129,000000,39.03,39.18,38.6445,38.845,5225,0
EGGY.US,D,20250130,000000,38.46,38.46,38.2,38.3872,3558,0
EGGY.US,D,20250131,000000,38.56,39.04,38.2101,38.3795,8090,0
EGGY.US,D,20250203,000000,37.95,38.275,37.81,38.0374,5008,0
EGGY.US,D,20250204,000000,38.33,38.485,38.296,38.43,22616,0
EGGY.US,D,20250205,000000,38.58,38.95,38.58,38.7243,12779,0
EGGY.US,D,20250206,000000,38.7251,39.02,38.717,38.9971,6920,0
EGGY.US,D,20250207,000000,39.03,39.1,38.7868,38.7875,1386,0
EGGY.US,D,20250210,000000,39.06,39.4599,39.06,39.13,7201,0
EGGY.US,D,20250211,000000,39.08,39.08,38.92,38.9215,4946,0
EGGY.US,D,20250212,000000,39.0511,39.195,38.95,39.09,6337,0
EGGY.US,D,20250213,000000,39.31,39.35,39.18,39.3223,1984,0
EGGY.US,D,20250214,000000,39.22,39.59,39.2,39.38,6334,0
EGGY.US,D,20250218,000000,39.309,39.309,39.208,39.2311,1927,0
EGGY.US,D,20250219,000000,39.31,39.42,39.2272,39.3375,5565,0
EGGY.US,D,20250220,000000,39.26,39.3003,39.26,39.3003,250,0
EGGY.US,D,20250221,000000,38.82,38.82,38.71,38.7599,814,0
