<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMPB.US,D,20241217,000000,25.48,25.55,25.42,25.55,45193,0
EMPB.US,D,20241218,000000,25.55,25.55,25.2,25.2,49070,0
EMPB.US,D,20241219,000000,25.35,25.4,25.255,25.255,45089,0
EMPB.US,D,20241220,000000,25.3,25.426,25.3,25.426,41539,0
EMPB.US,D,20241223,000000,25.6,25.6139,25.6,25.6139,8189,0
EMPB.US,D,20241226,000000,25.754,25.7733,25.754,25.7733,1010,0
EMPB.US,D,20241227,000000,25.67,25.7049,25.56,25.7049,5010,0
EMPB.US,D,20241230,000000,25.426,25.43,25.4053,25.4053,1304,0
EMPB.US,D,20241231,000000,25.4,25.4251,25.3,25.328,4563,0
EMPB.US,D,20250102,000000,25.4,25.43,25.35,25.372,2296,0
EMPB.US,D,20250103,000000,25.585,25.81,25.585,25.7157,2501,0
EMPB.US,D,20250106,000000,25.98,25.98,25.8798,25.8798,3614,0
EMPB.US,D,20250107,000000,25.73,25.73,25.5278,25.5278,2601,0
EMPB.US,D,20250108,000000,25.3704,25.4374,25.34,25.4374,8399,0
EMPB.US,D,20250110,000000,25.15,25.47,25.15,25.162,5572,0
EMPB.US,D,20250113,000000,24.81,24.9469,24.81,24.9469,3170,0
EMPB.US,D,20250114,000000,25.01,25.01,24.8237,24.8237,100,0
EMPB.US,D,20250115,000000,25.15,25.15,25.1,25.1108,3201,0
EMPB.US,D,20250116,000000,25.1,25.1377,25.1,25.1377,2372,0
EMPB.US,D,20250117,000000,25.4,25.4,25.3245,25.3245,102,0
EMPB.US,D,20250122,000000,25.96,25.97,25.91,25.9145,6476,0
EMPB.US,D,20250123,000000,25.95,26.0097,25.95,26.0097,105,0
EMPB.US,D,20250124,000000,26.07,26.07,26.02,26.02,1101,0
EMPB.US,D,20250127,000000,25.38,25.44,25.3306,25.3306,3432,0
EMPB.US,D,20250129,000000,25.57,25.57,25.47,25.563,17009,0
EMPB.US,D,20250130,000000,25.89,25.89,25.78,25.8778,3850,0
EMPB.US,D,20250131,000000,26.09,26.09,25.7762,25.7762,1189,0
EMPB.US,D,20250203,000000,25.65,25.74,25.65,25.7333,595,0
EMPB.US,D,20250204,000000,25.77,25.783,25.77,25.783,120,0
EMPB.US,D,20250205,000000,25.89,26.0236,25.89,26.0236,4100,0
EMPB.US,D,20250206,000000,26.1,26.1,26.035,26.0833,728,0
EMPB.US,D,20250207,000000,25.9894,25.99,25.8966,25.8966,701,0
EMPB.US,D,20250210,000000,26.0257,26.0681,26.02,26.0681,535,0
EMPB.US,D,20250211,000000,26.0159,26.041,26.0159,26.029,2151,0
EMPB.US,D,20250212,000000,25.9699,26.08,25.94,26.0742,1403,0
EMPB.US,D,20250213,000000,26.26,26.3948,26.26,26.3948,1300,0
EMPB.US,D,20250214,000000,26.48,26.48,26.38,26.3944,1971,0
EMPB.US,D,20250218,000000,26.46,26.46,26.38,26.4423,6618,0
EMPB.US,D,20250219,000000,26.41,26.495,26.41,26.4678,1664,0
EMPB.US,D,20250220,000000,26.38,26.39,26.37,26.3813,899,0
EMPB.US,D,20250221,000000,26.34,26.34,26.16,26.16,500,0
