<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUSM.US,D,20241220,000000,24.23,24.64,24.23,24.6007,1317,0
EUSM.US,D,20241223,000000,24.47,24.67,24.4599,24.6644,9498,0
EUSM.US,D,20241224,000000,24.7,24.81,24.7,24.7803,2965,0
EUSM.US,D,20241226,000000,24.9,24.9,24.81,24.8294,704,0
EUSM.US,D,20241227,000000,24.7,24.7,24.6218,24.6218,837,0
EUSM.US,D,20241230,000000,24.29,24.48,24.1411,24.3975,319470,0
EUSM.US,D,20241231,000000,24.46,24.46,24.18,24.2627,33130,0
EUSM.US,D,20250102,000000,24.52,24.52,24.23,24.2718,16740,0
EUSM.US,D,20250103,000000,24.45,24.64,24.424,24.6016,8378,0
EUSM.US,D,20250106,000000,24.78,24.88,24.73,24.7401,22377,0
EUSM.US,D,20250107,000000,24.62,24.62,24.4475,24.4475,6758,0
EUSM.US,D,20250108,000000,24.39,24.78,24.39,24.5822,32545,0
EUSM.US,D,20250110,000000,24.26,24.36,24.2,24.2551,16460,0
EUSM.US,D,20250113,000000,24.32,24.32,24.07,24.2617,261651,0
EUSM.US,D,20250114,000000,24.4,24.43,24.37,24.4052,337015,0
EUSM.US,D,20250115,000000,24.82,24.83,24.69,24.7905,254043,0
EUSM.US,D,20250116,000000,24.86,24.995,24.86,24.9602,19143,0
EUSM.US,D,20250117,000000,25.11,25.15,25.0697,25.0697,8862,0
EUSM.US,D,20250121,000000,25.29,25.44,25.24,25.44,5198,0
EUSM.US,D,20250122,000000,25.5384,25.5499,25.44,25.44,2410,0
EUSM.US,D,20250123,000000,25.36,25.5593,25.35,25.5593,18839,0
EUSM.US,D,20250124,000000,25.65,25.66,25.51,25.53,14082,0
EUSM.US,D,20250127,000000,25.119,25.119,24.9199,25.0158,6031,0
EUSM.US,D,20250128,000000,25.09,25.1799,25.0746,25.1799,5040,0
EUSM.US,D,20250129,000000,25.07,25.07,24.87,24.9519,4103,0
EUSM.US,D,20250130,000000,25.18,25.3,25.1258,25.2555,14155,0
EUSM.US,D,20250131,000000,25.25,25.35,25.0101,25.045,11237,0
EUSM.US,D,20250203,000000,24.56,24.9999,24.5552,24.9036,5730,0
EUSM.US,D,20250204,000000,24.96,24.99,24.96,24.9754,4496,0
EUSM.US,D,20250205,000000,25.0305,25.28,25.0305,25.2728,6378,0
EUSM.US,D,20250206,000000,25.2977,25.36,25.18,25.36,39485,0
EUSM.US,D,20250207,000000,25.34,25.3799,25.19,25.1953,4869,0
EUSM.US,D,20250210,000000,25.32,25.4451,25.32,25.4309,6450,0
EUSM.US,D,20250211,000000,25.345,25.46,25.345,25.4471,18888,0
EUSM.US,D,20250212,000000,25.21,25.33,25.19,25.2913,17694,0
EUSM.US,D,20250213,000000,25.31,25.5099,25.31,25.4989,4075,0
EUSM.US,D,20250214,000000,25.55,25.5552,25.4599,25.4684,28217,0
EUSM.US,D,20250218,000000,25.47,25.61,25.44,25.61,8476,0
EUSM.US,D,20250219,000000,25.44,25.59,25.44,25.59,15565,0
EUSM.US,D,20250220,000000,25.4015,25.57,25.3008,25.44,20404,0
EUSM.US,D,20250221,000000,25.36,25.36,24.99,25.02,3852,0
