<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXTOY.US,D,20230830,000000,5.5,5.95,5.5,5.88,567787,0
EXTOY.US,D,20230831,000000,5.9,6.09,5.79,5.85,555419,0
EXTOY.US,D,20230901,000000,5.68,5.9725,5.63,5.83,404929,0
EXTOY.US,D,20230905,000000,5.8,5.8,5.41,5.45,229788,0
EXTOY.US,D,20230906,000000,5.33,5.52,5.2,5.2,165722,0
EXTOY.US,D,20230907,000000,5.13,5.33,5.13,5.14,248236,0
EXTOY.US,D,20230908,000000,5.23,5.5,5,5.33,503447,0
EXTOY.US,D,20230911,000000,5.35,5.75,5.35,5.57,305928,0
EXTOY.US,D,20230912,000000,5.55,5.75,5.53,5.59,394025,0
EXTOY.US,D,20230913,000000,5.55,5.76,5.55,5.69,380066,0
EXTOY.US,D,20230914,000000,5.73,5.8,5.57,5.58,600314,0
EXTOY.US,D,20230915,000000,5.56,5.68,5.43,5.43,479453,0
EXTOY.US,D,20230918,000000,5.44,5.73,5.44,5.69,178512,0
EXTOY.US,D,20230919,000000,5.65,5.77,5.58,5.71,267662,0
EXTOY.US,D,20230920,000000,5.68,5.705,5.58,5.65,216534,0
EXTOY.US,D,20230921,000000,5.55,5.56,5.39,5.39,239470,0
EXTOY.US,D,20230922,000000,5.45,5.6,5.34,5.51,579377,0
EXTOY.US,D,20230925,000000,5.46,5.46,5.35,5.42,189654,0
EXTOY.US,D,20230926,000000,5.33,5.35,5.2,5.25,188822,0
EXTOY.US,D,20230927,000000,5.19,5.22,4.98,5.03,393304,0
EXTOY.US,D,20230928,000000,5.03,5.26,5.03,5.26,1436164,0
EXTOY.US,D,20230929,000000,5.28,5.55,5.28,5.48,9329522,0
EXTOY.US,D,20231002,000000,5.47,5.58,5.41,5.53,2384265,0
EXTOY.US,D,20231003,000000,5.49,5.51,5.22,5.23,765757,0
EXTOY.US,D,20231004,000000,5.11,5.29,5.08,5.13,588457,0
EXTOY.US,D,20231005,000000,5.13,5.18,4.97,4.98,323326,0
EXTOY.US,D,20231006,000000,4.98,4.98,4.8,4.84,374312,0
EXTOY.US,D,20231009,000000,4.87,5.02,4.81,4.97,306255,0
EXTOY.US,D,20231010,000000,4.99,5.11,4.91,5.04,279614,0
EXTOY.US,D,20231011,000000,5.04,5.1,4.99,5.04,361647,0
EXTOY.US,D,20231012,000000,4.96,5.09,4.96,5.02,198832,0
EXTOY.US,D,20231013,000000,5.03,5.08,4.97,5.02,252374,0
EXTOY.US,D,20231016,000000,6.6,6.83,6.56,6.75,2858954,0
EXTOY.US,D,20231017,000000,6.74,6.85,6.69,6.82,1803913,0
EXTOY.US,D,20231018,000000,6.71,6.83,6.71,6.8,1761490,0
EXTOY.US,D,20231019,000000,6.82,6.9,6.78,6.8,436306,0
EXTOY.US,D,20231020,000000,6.8,6.87,6.78,6.8,437288,0
EXTOY.US,D,20231023,000000,6.84,6.84,6.73,6.82,500091,0
EXTOY.US,D,20231024,000000,6.7905,6.85,6.78,6.82,341616,0
EXTOY.US,D,20231025,000000,6.8,6.915,6.78,6.9,1648047,0
EXTOY.US,D,20231026,000000,6.87,6.97,6.82,6.96,392362,0
EXTOY.US,D,20231027,000000,6.99,6.99,6.9,6.97,1090901,0
EXTOY.US,D,20231030,000000,6.95,7,6.9,6.99,245850,0
EXTOY.US,D,20231031,000000,6.93,6.97,6.915,6.96,836640,0
EXTOY.US,D,20231101,000000,6.97,6.99,6.91,6.96,167745,0
EXTOY.US,D,20231102,000000,7.02,7.03,6.95,6.95,78900,0
EXTOY.US,D,20231103,000000,6.9,7.03,6.9,6.94,199589,0
EXTOY.US,D,20231106,000000,6.95,7.11,6.95,7.05,1141358,0
EXTOY.US,D,20231107,000000,7.02,7.1,7.02,7.05,1193153,0
EXTOY.US,D,20231108,000000,7.1,7.11,7.06,7.07,820259,0
EXTOY.US,D,20231109,000000,7.07,7.1,7.055,7.06,884916,0
EXTOY.US,D,20231110,000000,7.06,7.085,7.04,7.07,1423705,0
EXTOY.US,D,20231113,000000,7.05,7.11,7.03,7.1,155076,0
