<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEBU.US,D,20250205,000000,25.173,25.28,25.105,25.2435,95692,0
FEBU.US,D,20250206,000000,25.294,25.405,25.2396,25.35,150666,0
FEBU.US,D,20250207,000000,25.35,25.41,25.1301,25.18,63798,0
FEBU.US,D,20250210,000000,25.24,25.3,25.24,25.27,34594,0
FEBU.US,D,20250211,000000,25.2386,25.3071,25.215,25.27,51317,0
FEBU.US,D,20250212,000000,25.17,25.24,25.11,25.2291,27152,0
FEBU.US,D,20250213,000000,25.31,25.44,25.285,25.44,85715,0
FEBU.US,D,20250214,000000,25.44,25.8645,25.38,25.4234,32103,0
FEBU.US,D,20250218,000000,25.5,25.69,25.4,25.46,50203,0
FEBU.US,D,20250219,000000,25.44,25.72,25.4109,25.5065,18899,0
FEBU.US,D,20250220,000000,25.49,25.49,25.3301,25.411,45093,0
FEBU.US,D,20250221,000000,25.115,25.115,25.0866,25.115,25526,0
