<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEOE.US,D,20241226,000000,35,35,34.9627,34.9627,235,0
FEOE.US,D,20241227,000000,34.92,34.96,34.8347,34.8862,3335,0
FEOE.US,D,20241230,000000,34.57,34.73,34.56,34.6608,2821,0
FEOE.US,D,20241231,000000,34.84,34.85,34.725,34.7403,4431,0
FEOE.US,D,20250102,000000,34.64,34.6721,34.64,34.6721,600,0
FEOE.US,D,20250103,000000,34.91,34.96,34.8699,34.8699,4479,0
FEOE.US,D,20250106,000000,35.11,35.16,34.9757,34.9757,19872,0
FEOE.US,D,20250107,000000,35.14,35.14,34.9784,34.9784,1113,0
FEOE.US,D,20250108,000000,34.9029,34.9303,34.88,34.9303,601,0
FEOE.US,D,20250110,000000,34.76,34.77,34.3871,34.3871,1633,0
FEOE.US,D,20250113,000000,34.38,34.38,34.28,34.3009,1498,0
FEOE.US,D,20250114,000000,34.3953,34.465,34.395,34.4474,3097,0
FEOE.US,D,20250115,000000,34.72,34.85,34.72,34.7981,1617,0
FEOE.US,D,20250116,000000,34.978,35.11,34.978,35.1085,283,0
FEOE.US,D,20250117,000000,35.35,35.35,35.3227,35.3227,1294,0
FEOE.US,D,20250122,000000,35.958,35.958,35.9156,35.9156,557,0
FEOE.US,D,20250124,000000,36.278,36.3085,36.278,36.3085,4352,0
FEOE.US,D,20250127,000000,36.21,36.34,36.21,36.3124,320855,0
FEOE.US,D,20250128,000000,36.36,36.4567,36.28,36.4567,2858,0
FEOE.US,D,20250129,000000,36.41,36.45,36.36,36.3983,2665,0
FEOE.US,D,20250130,000000,36.93,36.93,36.9093,36.9093,212,0
FEOE.US,D,20250131,000000,36.78,36.78,36.486,36.486,400,0
FEOE.US,D,20250203,000000,36.2685,36.399,36.25,36.2874,1187,0
FEOE.US,D,20250204,000000,36.52,36.5799,36.44,36.5089,61140,0
FEOE.US,D,20250205,000000,36.7499,36.8,36.7332,36.7332,236,0
FEOE.US,D,20250206,000000,36.88,36.9458,36.77,36.9458,1336,0
FEOE.US,D,20250207,000000,36.915,36.915,36.735,36.735,2500,0
FEOE.US,D,20250210,000000,37.202,37.202,37.1747,37.1747,472,0
FEOE.US,D,20250211,000000,37.295,37.3635,37.21,37.3632,927,0
FEOE.US,D,20250213,000000,37.655,37.7697,37.655,37.7697,824,0
FEOE.US,D,20250214,000000,38.07,38.09,37.8649,37.8649,1358,0
FEOE.US,D,20250218,000000,38.0907,38.21,38.0907,38.21,29451,0
FEOE.US,D,20250219,000000,37.947,38.1099,37.947,37.985,5858,0
FEOE.US,D,20250220,000000,38.31,38.365,38.25,38.365,6544,0
FEOE.US,D,20250221,000000,38.15,38.15,37.995,38.055,1512,0
