<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FFGX.US,D,20241122,000000,24.97,25.67,24.97,25.09,201289,0
FFGX.US,D,20241125,000000,25.25,25.74,25.15,25.22,1009,0
FFGX.US,D,20241126,000000,27.62,29.07,25.05,25.1,9304,0
FFGX.US,D,20241127,000000,25.08,25.15,25.08,25.1439,1477,0
FFGX.US,D,20241204,000000,25.65,25.93,25.6471,25.6861,570,0
FFGX.US,D,20241205,000000,25.84,25.84,25.7975,25.7975,1611,0
FFGX.US,D,20241206,000000,25.7001,25.718,25.7001,25.718,394,0
FFGX.US,D,20241209,000000,25.9,25.9,25.75,25.75,553,0
FFGX.US,D,20241210,000000,25.7,25.7,25.45,25.4743,661,0
FFGX.US,D,20241211,000000,25.5899,25.6826,25.5801,25.6826,410,0
FFGX.US,D,20241212,000000,25.56,25.5601,25.445,25.445,610,0
FFGX.US,D,20241213,000000,25.3167,25.3399,25.3,25.3396,1012,0
FFGX.US,D,20241216,000000,25.35,25.35,25.34,25.34,330,0
FFGX.US,D,20241217,000000,25.23,25.23,25.1715,25.1715,389,0
FFGX.US,D,20241218,000000,25.015,25.015,24.5648,24.5648,473,0
FFGX.US,D,20241219,000000,24.7,24.71,24.508,24.508,2077,0
FFGX.US,D,20241220,000000,24.5806,24.5806,24.4375,24.4375,175,0
FFGX.US,D,20241224,000000,24.66,24.67,24.6447,24.6447,2010,0
FFGX.US,D,20241230,000000,24.38,24.38,24.3031,24.3031,119,0
FFGX.US,D,20241231,000000,24.3212,24.3212,24.2375,24.2375,241,0
FFGX.US,D,20250102,000000,24.285,24.3399,24.2105,24.2105,446,0
FFGX.US,D,20250107,000000,24.59,24.59,24.5195,24.5195,214,0
FFGX.US,D,20250110,000000,24.2,24.2,24.16,24.1858,205,0
FFGX.US,D,20250115,000000,24.4593,24.4593,24.4449,24.4449,201,0
FFGX.US,D,20250116,000000,24.59,24.69,24.59,24.608,475,0
FFGX.US,D,20250117,000000,24.82,24.82,24.7215,24.7215,297,0
FFGX.US,D,20250130,000000,25.67,25.67,25.56,25.5868,340,0
FFGX.US,D,20250206,000000,25.6808,25.7309,25.6808,25.7309,347,0
FFGX.US,D,20250207,000000,25.6099,25.6099,25.5451,25.5451,241,0
FFGX.US,D,20250211,000000,25.7575,25.868,25.7575,25.8391,777,0
FFGX.US,D,20250212,000000,25.71,25.89,25.71,25.885,513,0
FFGX.US,D,20250214,000000,26.19,26.2,26.1801,26.2,7941,0
FFGX.US,D,20250218,000000,26.4,27,26.3789,26.3789,1295,0
FFGX.US,D,20250220,000000,26.18,26.2451,26.18,26.2451,806,0
FFGX.US,D,20250221,000000,26.1,26.1,26.1,26.1,308,0
