<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FHDG.US,D,20241119,000000,30.5793,30.59,30.5669,30.5669,3758,0
FHDG.US,D,20241120,000000,30.49,30.558,30.49,30.558,800,0
FHDG.US,D,20241122,000000,30.67,30.7,30.67,30.6732,1087,0
FHDG.US,D,20241125,000000,30.7899,30.7899,30.745,30.745,3891,0
FHDG.US,D,20241126,000000,30.8017,30.815,30.8017,30.815,325,0
FHDG.US,D,20241127,000000,30.7852,30.82,30.785,30.785,993,0
FHDG.US,D,20241129,000000,30.87,30.8899,30.87,30.8793,8574,0
FHDG.US,D,20241202,000000,30.92,30.92,30.895,30.895,7413,0
FHDG.US,D,20241203,000000,30.92,30.92,30.905,30.905,732,0
FHDG.US,D,20241204,000000,31,31,31,31,209,0
FHDG.US,D,20241206,000000,31.035,31.04,30.9826,30.9826,556,0
FHDG.US,D,20241213,000000,30.95,31,30.92,30.955,4365,0
FHDG.US,D,20241216,000000,31.0144,31.055,30.995,30.995,845,0
FHDG.US,D,20241217,000000,30.985,30.985,30.9621,30.9621,2854,0
FHDG.US,D,20241218,000000,30.9942,30.9942,30.6013,30.6013,89546,0
FHDG.US,D,20241220,000000,30.77,30.77,30.7134,30.7134,200,0
FHDG.US,D,20241223,000000,30.8,30.89,30.8,30.89,1803,0
FHDG.US,D,20241230,000000,30.65,30.805,30.65,30.76,6965,0
FHDG.US,D,20241231,000000,30.76,30.76,30.6859,30.6859,534,0
FHDG.US,D,20250102,000000,30.75,30.75,30.6665,30.6665,1313,0
FHDG.US,D,20250103,000000,30.88,30.9,30.8396,30.8396,912,0
FHDG.US,D,20250106,000000,30.97,30.97,30.9238,30.9238,100,0
FHDG.US,D,20250107,000000,30.86,30.86,30.7748,30.7748,100,0
FHDG.US,D,20250108,000000,30.71,30.7996,30.71,30.7996,108,0
FHDG.US,D,20250110,000000,30.6,30.6,30.5888,30.5888,107,0
FHDG.US,D,20250113,000000,30.55,30.65,30.55,30.65,4311,0
FHDG.US,D,20250114,000000,30.7007,30.7007,30.6055,30.623,4347,0
FHDG.US,D,20250116,000000,30.94,30.94,30.89,30.8996,7206,0
FHDG.US,D,20250117,000000,31.08,31.09,31.01,31.0456,763,0
FHDG.US,D,20250121,000000,31.07,31.145,31.07,31.145,2805,0
FHDG.US,D,20250122,000000,31.25,31.29,31.2352,31.2352,5926,0
FHDG.US,D,20250123,000000,31.2273,31.2766,31.2273,31.2766,524,0
FHDG.US,D,20250124,000000,31.33,31.33,31.2648,31.2648,3567,0
FHDG.US,D,20250127,000000,31.03,31.0575,31.03,31.0575,180,0
FHDG.US,D,20250128,000000,31.24,31.24,31.2179,31.2179,146,0
FHDG.US,D,20250130,000000,31.22,31.22,31.2087,31.2087,615,0
FHDG.US,D,20250131,000000,31.35,31.36,31.2,31.2,2120,0
FHDG.US,D,20250203,000000,30.94,31.1,30.94,31.1,10454,0
FHDG.US,D,20250210,000000,31.27,31.303,31.27,31.303,243,0
FHDG.US,D,20250211,000000,31.3799,31.3799,31.3799,31.3799,300,0
FHDG.US,D,20250213,000000,31.32,31.5091,31.32,31.477,1950,0
FHDG.US,D,20250218,000000,31.56,31.56,31.5488,31.5488,112,0
FHDG.US,D,20250219,000000,31.62,31.6589,31.54,31.6142,1459,0
FHDG.US,D,20250221,000000,31.59,31.6,31.1615,31.2,13314,0
