<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMCE.US,D,20241118,000000,24.9988,25.0275,24.9988,25.0275,203,0
FMCE.US,D,20241119,000000,24.95,25.03,24.95,24.9688,787,0
FMCE.US,D,20241120,000000,24.96,25.02,24.94,24.9981,442,0
FMCE.US,D,20241122,000000,25.41,25.4676,25.41,25.4676,28257,0
FMCE.US,D,20241126,000000,25.7,26.92,25.6684,25.6684,803,0
FMCE.US,D,20241127,000000,25.8,25.8,25.7155,25.7155,81033,0
FMCE.US,D,20241202,000000,25.65,25.68,25.6215,25.6588,1622,0
FMCE.US,D,20241203,000000,25.6,25.6,25.5159,25.5159,1979,0
FMCE.US,D,20241204,000000,25.3799,25.45,25.3799,25.4177,1065,0
FMCE.US,D,20241206,000000,25.44,25.44,25.3858,25.3858,1440,0
FMCE.US,D,20241210,000000,25.15,25.15,25.1415,25.1415,398,0
FMCE.US,D,20241211,000000,25.13,25.1406,25.13,25.1406,100,0
FMCE.US,D,20241212,000000,25.15,25.15,25.1,25.1251,300,0
FMCE.US,D,20241213,000000,25.12,25.12,25.0874,25.0874,175,0
FMCE.US,D,20241218,000000,25.48,25.49,24.3072,24.3072,5000,0
FMCE.US,D,20241230,000000,24.53,24.56,24.5062,24.5062,3702,0
FMCE.US,D,20250102,000000,24.3132,24.49,24.3132,24.3706,1100,0
FMCE.US,D,20250107,000000,24.55,24.55,24.4781,24.4781,100,0
FMCE.US,D,20250117,000000,24.89,24.89,24.8276,24.8276,318,0
FMCE.US,D,20250122,000000,24.89,24.928,24.89,24.928,204,0
FMCE.US,D,20250127,000000,25.23,25.34,25.19,25.3301,45876,0
FMCE.US,D,20250130,000000,25.35,25.4511,25.34,25.4511,28651,0
FMCE.US,D,20250203,000000,25.2583,25.2583,25.1603,25.1603,413,0
FMCE.US,D,20250205,000000,25.34,25.3677,25.34,25.3677,350,0
FMCE.US,D,20250206,000000,25.26,25.3301,25.26,25.3301,37489,0
FMCE.US,D,20250211,000000,25.2724,25.3168,25.23,25.3168,2005,0
FMCE.US,D,20250214,000000,25.37,25.37,25.2,25.254,120120,0
