<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FOWF.US,D,20241219,000000,24.31,24.31,24.2118,24.2118,205,0
FOWF.US,D,20241227,000000,24.445,24.5477,24.445,24.5477,106,0
FOWF.US,D,20241230,000000,24.32,24.32,24.2768,24.2768,809,0
FOWF.US,D,20241231,000000,24.22,24.29,24.22,24.2892,2144,0
FOWF.US,D,20250102,000000,24.1,24.1239,24.1,24.1239,103,0
FOWF.US,D,20250110,000000,24.01,24.06,23.88,23.9738,2336,0
FOWF.US,D,20250121,000000,25.3363,25.45,25.3363,25.4288,507,0
FOWF.US,D,20250122,000000,25.37,25.4483,25.33,25.4483,453,0
FOWF.US,D,20250124,000000,25.53,25.53,25.3986,25.3986,401,0
FOWF.US,D,20250131,000000,25.41,25.41,25.142,25.142,13496,0
FOWF.US,D,20250207,000000,25.2081,25.2081,25.046,25.046,276,0
FOWF.US,D,20250210,000000,25.19,25.262,25.19,25.262,110,0
FOWF.US,D,20250211,000000,25.18,25.2965,25.18,25.2965,102,0
FOWF.US,D,20250214,000000,25.0001,25.025,24.73,25.0201,13558,0
FOWF.US,D,20250219,000000,25.36,25.39,25.31,25.3561,1359,0
FOWF.US,D,20250220,000000,25.09,25.2329,25.09,25.2329,218,0
FOWF.US,D,20250221,000000,24.89,24.9,24.89,24.8993,5000,0
