<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FOXY.US,D,20250206,000000,25.13,25.2224,25.13,25.195,640,0
FOXY.US,D,20250207,000000,25.28,25.33,25.2567,25.2567,1034,0
FOXY.US,D,20250210,000000,25.155,25.27,25.155,25.2616,5829,0
FOXY.US,D,20250211,000000,25.15,25.229,25.15,25.1615,3497,0
FOXY.US,D,20250212,000000,25.06,25.11,24.88,24.9131,4775,0
FOXY.US,D,20250213,000000,24.915,24.95,24.874,24.874,4780,0
FOXY.US,D,20250214,000000,24.92,25.01,24.92,24.9244,1196,0
FOXY.US,D,20250218,000000,25.16,25.18,25.159,25.159,1382,0
FOXY.US,D,20250219,000000,25.16,25.16,25.02,25.02,2382,0
FOXY.US,D,20250220,000000,25.1,25.1189,25.095,25.1189,1304,0
FOXY.US,D,20250221,000000,25.28,25.31,25.2699,25.3,2506,0
