<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GATO.US,D,20201028,000000,6.5,6.75,5.78,6.6,3342186,0
GATO.US,D,20201029,000000,6.8,6.8,6.01,6.57,1232596,0
GATO.US,D,20201030,000000,6.78,6.84,6.45,6.7,460603,0
GATO.US,D,20201102,000000,6.95,6.95,6.53,6.86,441117,0
GATO.US,D,20201103,000000,6.8,6.95,6.56,6.95,327555,0
GATO.US,D,20201104,000000,6.9,6.95,6.75,6.95,321921,0
GATO.US,D,20201105,000000,7,7.08,6.83,7.03,597701,0
GATO.US,D,20201106,000000,7.03,7.06,6.96,7.01,529068,0
GATO.US,D,20201109,000000,6.9,6.97,6.57,6.77,339291,0
GATO.US,D,20201110,000000,6.8,6.94,6.55,6.78,115881,0
GATO.US,D,20201111,000000,6.66,6.88,6.51,6.55,131925,0
GATO.US,D,20201112,000000,6.54,6.69,6.47,6.62,139378,0
GATO.US,D,20201113,000000,6.75,6.84,6.575,6.68,160864,0
GATO.US,D,20201116,000000,6.78,6.99,6.62,6.76,248115,0
GATO.US,D,20201117,000000,6.87,6.92,6.62,6.78,248070,0
GATO.US,D,20201118,000000,6.8,6.91,6.4,6.46,332504,0
GATO.US,D,20201119,000000,6.4,6.62,6.16,6.32,321611,0
GATO.US,D,20201120,000000,6.33,6.53,6.21,6.4,167093,0
GATO.US,D,20201123,000000,6.6,6.71,6.2,6.35,463919,0
GATO.US,D,20201124,000000,6.4,6.48,5.95,6.08,620579,0
GATO.US,D,20201125,000000,6.4,6.43,6.18,6.33,328307,0
GATO.US,D,20201127,000000,6.41,6.74,6.35,6.72,287236,0
GATO.US,D,20201130,000000,6.74,6.85,6.63,6.85,252027,0
GATO.US,D,20201201,000000,7,7.37,6.83,7.13,393881,0
GATO.US,D,20201202,000000,7.2,7.53,7.01,7.07,576111,0
GATO.US,D,20201203,000000,7,7.41,6.99,7.21,123301,0
GATO.US,D,20201204,000000,7.23,7.5,7.1,7.16,176592,0
GATO.US,D,20201207,000000,7.16,7.48,7.05,7.09,351656,0
GATO.US,D,20201208,000000,7.19,7.19,6.98,7.01,258357,0
GATO.US,D,20201209,000000,7.19,7.28,6.72,6.81,145048,0
GATO.US,D,20201210,000000,6.84,7.14,6.84,6.98,188748,0
GATO.US,D,20201211,000000,7.09,7.68,7.04,7.52,465077,0
GATO.US,D,20201214,000000,7.9,9.34,7.85,8.73,2645413,0
GATO.US,D,20201215,000000,8.93,9.31,8.77,8.95,1477843,0
GATO.US,D,20201216,000000,9.06,9.2,8.77,9.1,902127,0
GATO.US,D,20201217,000000,9.37,9.76,9.35,9.72,1149032,0
GATO.US,D,20201218,000000,9.81,9.97,9.11,9.2,5849632,0
GATO.US,D,20201221,000000,9.2,9.68,9.1501,9.54,777706,0
GATO.US,D,20201222,000000,9.61,9.83,9.31,9.45,895175,0
GATO.US,D,20201223,000000,9.5,9.51,9.23,9.43,291768,0
GATO.US,D,20201224,000000,9.28,9.51,9.24,9.41,128804,0
GATO.US,D,20201228,000000,9.5,9.59,9.15,9.46,353457,0
GATO.US,D,20201229,000000,9.46,9.55,9.19,9.49,325208,0
GATO.US,D,20201230,000000,9.69,12.29,9.5,12.02,1426898,0
GATO.US,D,20201231,000000,12.41,13.42,12.13,13.03,767658,0
GATO.US,D,20210104,000000,13.94,15.72,13.75,15.38,880481,0
GATO.US,D,20210105,000000,15.45,15.6055,13.67,14.46,683965,0
GATO.US,D,20210106,000000,14.25,14.45,13.7,14.21,631916,0
GATO.US,D,20210107,000000,14.3,14.675,13.76,14.22,325284,0
GATO.US,D,20210108,000000,13.85,13.93,12.725,13.71,704976,0
GATO.US,D,20210111,000000,13.05,13.71,13,13.56,346085,0
GATO.US,D,20210112,000000,13.73,13.755,12.7206,13.04,354767,0
GATO.US,D,20210113,000000,12.94,13.5,12.33,13.47,336216,0
GATO.US,D,20210114,000000,13.46,15.22,13.1,14.83,741675,0
GATO.US,D,20210115,000000,14.28,14.7,12.32,12.53,614328,0
GATO.US,D,20210119,000000,12.76,14.24,12.41,14.16,454992,0
GATO.US,D,20210120,000000,14.54,14.56,13.21,13.23,473356,0
GATO.US,D,20210121,000000,13.35,13.64,12.4,12.76,415429,0
GATO.US,D,20210122,000000,12.72,13.07,11.61,12.75,519513,0
GATO.US,D,20210125,000000,12.9,13.85,11.8,12.2,477947,0
GATO.US,D,20210126,000000,12.21,12.97,12.21,12.45,187452,0
GATO.US,D,20210127,000000,12.33,12.33,11.12,11.16,427816,0
GATO.US,D,20210128,000000,12.85,14.14,12.32,13.06,835897,0
GATO.US,D,20210129,000000,14.38,15.0509,12.9288,13.21,960804,0
GATO.US,D,20210201,000000,19.04,24,13.81,14.72,5841716,0
GATO.US,D,20210202,000000,13.75,13.75,12,13.21,1464322,0
GATO.US,D,20210203,000000,13.64,13.75,12.73,13.28,900144,0
GATO.US,D,20210204,000000,12.6,13.32,12.3004,13.1,696341,0
GATO.US,D,20210205,000000,13.57,14.63,13.29,14.62,1241936,0
GATO.US,D,20210208,000000,15.43,15.72,14.8284,15.4,869499,0
GATO.US,D,20210209,000000,15.33,16.08,14.9,15.29,850138,0
GATO.US,D,20210210,000000,15.35,15.448,14.27,14.88,624169,0
GATO.US,D,20210211,000000,14.88,15.37,14.21,14.44,341038,0
GATO.US,D,20210212,000000,14.33,15.34,14.12,14.98,564129,0
GATO.US,D,20210216,000000,15.05,15.88,14.86,15.35,801839,0
GATO.US,D,20210217,000000,15.01,15.3,14.38,14.39,588884,0
GATO.US,D,20210218,000000,14.4,14.6781,12.92,13.31,866907,0
GATO.US,D,20210219,000000,13.7,14,13.09,13.26,605522,0
GATO.US,D,20210222,000000,13.39,15.5809,13.21,15.26,1187478,0
GATO.US,D,20210223,000000,15,16.97,14.07,16.56,1497253,0
GATO.US,D,20210224,000000,16.41,17.8,15.8,16.69,1147652,0
GATO.US,D,20210225,000000,16.43,16.79,14.73,14.79,780979,0
GATO.US,D,20210226,000000,14.47,14.77,13.25,13.96,709233,0
GATO.US,D,20210301,000000,14.49,14.675,12.87,12.98,569271,0
GATO.US,D,20210302,000000,12.99,14.21,12.91,13.83,757694,0
GATO.US,D,20210303,000000,13.75,14.36,12.83,13.12,650494,0
GATO.US,D,20210304,000000,13.02,13.35,12.05,13,739998,0
GATO.US,D,20210305,000000,12.9,13,11.79,12.68,675011,0
GATO.US,D,20210308,000000,12.7,12.9899,12.26,12.52,276577,0
GATO.US,D,20210309,000000,13.21,14.85,12.95,14.4,552830,0
GATO.US,D,20210310,000000,14.2,15.1138,14.0267,14.83,407534,0
GATO.US,D,20210311,000000,15.2,15.3249,14.03,14.12,620059,0
GATO.US,D,20210312,000000,13.73,14.63,13.34,14.12,533762,0
GATO.US,D,20210315,000000,14.26,15.08,14.26,14.82,393173,0
GATO.US,D,20210316,000000,14.85,15.32,14.52,14.82,475952,0
GATO.US,D,20210317,000000,14.82,15.69,13.95,15.63,745201,0
GATO.US,D,20210318,000000,15.51,16.1,14.76,14.91,484746,0
GATO.US,D,20210319,000000,14.88,14.99,14.22,14.56,799923,0
GATO.US,D,20210322,000000,14.3,14.33,13.2,13.21,485574,0
GATO.US,D,20210323,000000,13.1,13.138,11.86,11.9,655452,0
GATO.US,D,20210324,000000,12.02,12.57,11.75,11.76,271013,0
GATO.US,D,20210325,000000,11.62,11.92,10.97,11.5,465300,0
GATO.US,D,20210326,000000,11.77,11.77,10.99,11.49,302692,0
GATO.US,D,20210329,000000,11.6,11.6,10.34,10.84,356196,0
GATO.US,D,20210330,000000,10.74,10.9,10.18,10.2,384418,0
GATO.US,D,20210331,000000,10.38,10.56,9.88,9.97,568235,0
GATO.US,D,20210401,000000,10.23,10.65,10.02,10.49,737197,0
GATO.US,D,20210405,000000,10.74,10.74,9.96,10.28,426844,0
GATO.US,D,20210406,000000,10.42,11.37,10.35,10.63,837509,0
GATO.US,D,20210407,000000,10.55,10.71,10.3,10.37,349887,0
GATO.US,D,20210408,000000,10.82,11.06,10.41,10.5,425458,0
GATO.US,D,20210409,000000,10.32,10.38,10.07,10.23,187997,0
GATO.US,D,20210412,000000,10.25,10.38,9.52,9.7,440287,0
GATO.US,D,20210413,000000,9.92,10.33,9.82,10.17,351301,0
GATO.US,D,20210414,000000,10.26,10.63,10.24,10.38,305897,0
GATO.US,D,20210415,000000,10.6,12.29,10.45,11.19,1809146,0
GATO.US,D,20210416,000000,11.36,11.425,10.3,10.33,735690,0
GATO.US,D,20210419,000000,10.55,10.56,9.26,9.32,1159255,0
GATO.US,D,20210420,000000,9.32,9.86,9.31,9.35,500194,0
GATO.US,D,20210421,000000,9.35,9.9999,9.32,9.98,640270,0
GATO.US,D,20210422,000000,9.93,10.13,9.731,9.86,378881,0
GATO.US,D,20210423,000000,10,10.55,9.87,10.39,478689,0
GATO.US,D,20210426,000000,10.53,11.38,10.47,11.18,586337,0
GATO.US,D,20210427,000000,11.19,11.59,10.9,10.98,501613,0
GATO.US,D,20210428,000000,10.8,12.14,10.75,11.97,534652,0
GATO.US,D,20210429,000000,11.91,12.02,11.05,11.52,457320,0
GATO.US,D,20210430,000000,11.39,11.8,11.38,11.48,843115,0
GATO.US,D,20210503,000000,11.99,12.07,11.52,11.74,513755,0
GATO.US,D,20210504,000000,11.74,11.94,11.05,11.32,608275,0
GATO.US,D,20210505,000000,11.42,11.45,11.12,11.33,178128,0
GATO.US,D,20210506,000000,11.7,11.92,11.37,11.49,582910,0
GATO.US,D,20210507,000000,11.82,11.92,11.12,11.81,687001,0
GATO.US,D,20210510,000000,12.2,13.19,11.4149,11.62,1080845,0
GATO.US,D,20210511,000000,11.3,12.5713,11.2101,12.52,513051,0
GATO.US,D,20210512,000000,12.44,12.99,11.75,12.07,677465,0
GATO.US,D,20210513,000000,11.85,12.142,11.215,11.4,537365,0
GATO.US,D,20210514,000000,11.74,12.21,11.58,12.17,327884,0
GATO.US,D,20210517,000000,12.32,14.215,12.32,14.14,945589,0
GATO.US,D,20210518,000000,14.17,14.67,13.53,13.98,578031,0
GATO.US,D,20210519,000000,13.84,14.38,13.5,13.95,553249,0
GATO.US,D,20210520,000000,13.76,15.41,13.72,15.34,862900,0
GATO.US,D,20210521,000000,15.58,16.22,15.29,16.19,829727,0
GATO.US,D,20210524,000000,16.12,16.5,15.37,16.24,632658,0
GATO.US,D,20210525,000000,15.97,16.825,15.52,16.45,732959,0
GATO.US,D,20210526,000000,16.65,17,15.42,15.88,621051,0
GATO.US,D,20210527,000000,16.2,16.44,15.62,16.44,672033,0
GATO.US,D,20210528,000000,16.21,17.15,16.21,17.04,592236,0
GATO.US,D,20210601,000000,17.4,17.4,16.61,17,548871,0
GATO.US,D,20210602,000000,17.13,17.28,16.725,17.26,319897,0
GATO.US,D,20210603,000000,16.7,16.86,15.6501,16.07,575668,0
GATO.US,D,20210604,000000,16.42,17.49,16.42,16.81,461858,0
GATO.US,D,20210607,000000,16.76,18.9154,16.7,18.56,917614,0
GATO.US,D,20210608,000000,18.4,18.58,17.76,18.26,388025,0
GATO.US,D,20210609,000000,18.33,18.66,17.925,18,346030,0
GATO.US,D,20210610,000000,17.91,20.26,17.91,19.38,1037942,0
GATO.US,D,20210611,000000,19.34,19.45,17.94,18.12,512988,0
GATO.US,D,20210614,000000,17.61,18.3699,17.35,17.93,448653,0
GATO.US,D,20210615,000000,17.96,18.96,17.58,18.68,725982,0
GATO.US,D,20210616,000000,18.76,19.36,18.25,18.98,740291,0
