<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEAR.US,D,20241202,000000,18.93,19.01,18.905,18.91,1015281,0
GEAR.US,D,20241203,000000,18.96,19.04,18.95,19.04,677584,0
GEAR.US,D,20241204,000000,18.9677,19.08,18.96,19.05,1096779,0
GEAR.US,D,20241205,000000,19.03,19.06,19.01,19.01,1204608,0
GEAR.US,D,20241206,000000,19,19.08,19,19,507086,0
GEAR.US,D,20241209,000000,19,19.07,18.98,19,685253,0
GEAR.US,D,20241210,000000,19.02,19.11,19.01,19.06,669790,0
GEAR.US,D,20241211,000000,19.06,19.1,19.02,19.02,948594,0
GEAR.US,D,20241212,000000,19.03,19.08,19.01,19.05,803119,0
GEAR.US,D,20241213,000000,19.03,19.085,18.98,19.06,726094,0
GEAR.US,D,20241216,000000,19.07,19.08,19.04,19.06,1040104,0
GEAR.US,D,20241217,000000,19.05,19.09,19.05,19.09,729494,0
GEAR.US,D,20241218,000000,19.085,19.1,19,19.01,1659163,0
GEAR.US,D,20241219,000000,19.08,19.09,19.03,19.08,742210,0
GEAR.US,D,20241220,000000,19.02,19.45,18.98,19.04,5477290,0
GEAR.US,D,20241223,000000,19.17,19.17,19.03,19.03,487022,0
GEAR.US,D,20241224,000000,19.03,19.07,19.02,19.05,165734,0
GEAR.US,D,20241226,000000,19.215,19.23,19.2,19.22,1691438,0
GEAR.US,D,20241227,000000,19.22,19.23,19.22,19.22,1503821,0
GEAR.US,D,20241230,000000,19.22,19.24,19.21,19.21,2023947,0
GEAR.US,D,20241231,000000,19.24,19.25,19.22,19.23,5126109,0
GEAR.US,D,20250102,000000,19.23,19.24,19.22,19.22,1602295,0
GEAR.US,D,20250103,000000,19.29,20.09,19.26,20.08,10734023,0
