<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEND.US,D,20250115,000000,10.25,10.29,10.25,10.2751,914,0
GEND.US,D,20250116,000000,10.29,10.3293,10.29,10.3293,181,0
GEND.US,D,20250121,000000,10.54,10.54,10.48,10.4996,1268,0
GEND.US,D,20250122,000000,10.445,10.46,10.43,10.46,461,0
GEND.US,D,20250129,000000,10.63,10.63,10.5581,10.5581,170,0
GEND.US,D,20250130,000000,10.55,10.55,10.5385,10.5385,638,0
GEND.US,D,20250207,000000,10.44,10.44,10.4245,10.4245,444,0
GEND.US,D,20250211,000000,10.51,10.5285,10.51,10.5285,180,0
GEND.US,D,20250212,000000,10.5599,10.57,10.5499,10.5499,2396,0
GEND.US,D,20250213,000000,10.6014,10.6451,10.6014,10.6451,1137,0
GEND.US,D,20250218,000000,10.64,10.6752,10.64,10.6752,313,0
GEND.US,D,20250220,000000,10.68,10.7307,10.68,10.7307,159,0
GEND.US,D,20250221,000000,10.7,10.7,10.7,10.7,102,0
