<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSKH.US,D,20250108,000000,49.91,50.2476,49.91,50.2476,100,0
GSKH.US,D,20250110,000000,50.07,50.07,50.0402,50.0402,100,0
GSKH.US,D,20250113,000000,49.48,49.48,49.4766,49.4766,240,0
GSKH.US,D,20250114,000000,48.85,48.85,48.6734,48.6734,107,0
GSKH.US,D,20250121,000000,50.23,50.247,50.2,50.247,504,0
GSKH.US,D,20250122,000000,50.41,50.42,50.08,50.1911,502,0
GSKH.US,D,20250129,000000,52.17,52.17,51.9288,51.9288,100,0
GSKH.US,D,20250130,000000,51.72,52.3643,51.72,52.3643,134,0
GSKH.US,D,20250131,000000,52.15,52.3,52.15,52.1962,508,0
GSKH.US,D,20250204,000000,51.36,51.36,51.27,51.357,201,0
GSKH.US,D,20250205,000000,54.72,55.5222,54.72,55.5222,201,0
GSKH.US,D,20250206,000000,55.41,55.41,53.7905,53.7905,251,0
GSKH.US,D,20250207,000000,53.51,53.5623,53.51,53.5623,335,0
GSKH.US,D,20250210,000000,54.184,54.184,54.1834,54.1834,100,0
GSKH.US,D,20250211,000000,53.48,53.48,53.315,53.315,200,0
GSKH.US,D,20250212,000000,53.11,53.5632,52.99,53.5632,7504,0
GSKH.US,D,20250214,000000,53.19,53.19,52.9995,52.9995,102,0
GSKH.US,D,20250218,000000,53.43,53.43,53.2915,53.2915,100,0
GSKH.US,D,20250219,000000,53.33,53.33,53.2726,53.2726,189,0
GSKH.US,D,20250220,000000,54.03,54.03,53.7,53.7485,1100,0
GSKH.US,D,20250221,000000,53.54,53.64,53.54,53.64,200,0
