<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HIMU.US,D,20250212,000000,50.1,50.1,49.7,49.8499,152089,0
HIMU.US,D,20250213,000000,49.8883,49.99,49.61,49.66,175582,0
HIMU.US,D,20250214,000000,49.875,50.1,49.7816,49.9,219940,0
HIMU.US,D,20250218,000000,50.06,50.15,49.9497,49.96,74199,0
HIMU.US,D,20250219,000000,49.9,50.06,49.74,49.945,79071,0
HIMU.US,D,20250220,000000,49.8753,50.02,49.8753,50.0143,66186,0
HIMU.US,D,20250221,000000,50,50.4381,50,50.335,181721,0
HIMU.US,D,20250224,000000,50.24,50.4,50.16,50.335,92365,0
HIMU.US,D,20250225,000000,50.42,50.59,50.36,50.455,462144,0
HIMU.US,D,20250226,000000,50.401,50.5173,50.33,50.37,60408,0
HIMU.US,D,20250227,000000,50.58,50.96,50.46,50.67,5841048,0
HIMU.US,D,20250228,000000,50.53,50.8,50.49,50.72,472169,0
HIMU.US,D,20250303,000000,50.6346,50.72,50.47,50.6225,235823,0
HIMU.US,D,20250304,000000,50.5478,50.68,50.28,50.48,221849,0
HIMU.US,D,20250305,000000,50.64,50.64,50.27,50.31,386741,0
HIMU.US,D,20250306,000000,50.46,50.56,50.1855,50.27,212797,0
HIMU.US,D,20250307,000000,50.3,50.34,50.01,50.3,249810,0
HIMU.US,D,20250310,000000,50.27,50.488,50.16,50.18,206979,0
HIMU.US,D,20250311,000000,50.285,50.46,50.09,50.09,369234,0
HIMU.US,D,20250312,000000,50.49,50.49,49.77,49.9312,167143,0
HIMU.US,D,20250313,000000,49.8699,50,49.6,49.72,111150,0
HIMU.US,D,20250314,000000,49.7132,49.91,49.7,49.71,65001,0
HIMU.US,D,20250317,000000,49.83,49.94,49.5646,49.69,134953,0
HIMU.US,D,20250318,000000,49.8026,49.95,49.73,49.94,132428,0
HIMU.US,D,20250319,000000,49.67,49.98,49.61,49.84,208156,0
HIMU.US,D,20250320,000000,49.99,50.04,49.86,49.98,173993,0
HIMU.US,D,20250321,000000,49.999,50,49.71,49.8,134735,0
HIMU.US,D,20250324,000000,49.82,49.9765,49.64,49.64,537978,0
