<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HVAC.US,D,20250206,000000,25.4365,25.62,25.33,25.3857,2167,0
HVAC.US,D,20250207,000000,24.99,24.99,24.9409,24.9409,1083,0
HVAC.US,D,20250210,000000,25.04,25.31,25.0399,25.2397,1771,0
HVAC.US,D,20250211,000000,25.01,25.01,24.87,24.9886,1254,0
HVAC.US,D,20250212,000000,24.4155,24.6001,24.4155,24.6001,593,0
HVAC.US,D,20250213,000000,24.55,24.6314,24.55,24.6314,142,0
HVAC.US,D,20250218,000000,24.725,24.725,24.7186,24.7186,239,0
HVAC.US,D,20250219,000000,24.56,24.6718,24.5535,24.6718,542,0
HVAC.US,D,20250220,000000,24.2812,24.44,24.2812,24.399,460,0
HVAC.US,D,20250221,000000,24,24,23.66,23.66,1213,0
