<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGCB.US,D,20241125,000000,45.83,45.84,45.4,45.77,1206,0
IGCB.US,D,20241126,000000,45.72,45.7531,45.71,45.7531,1304,0
IGCB.US,D,20241204,000000,46.1,46.1,45.86,46.1,417,0
IGCB.US,D,20241205,000000,46.11,46.1116,46.04,46.1116,202,0
IGCB.US,D,20241211,000000,46.02,46.02,45.89,45.89,1100,0
IGCB.US,D,20241212,000000,45.8,45.85,45.65,45.6574,901,0
IGCB.US,D,20241213,000000,45.6,45.6,45.4897,45.4897,1335,0
IGCB.US,D,20241218,000000,45.35,45.35,44.9388,44.9388,1618,0
IGCB.US,D,20241220,000000,44.88,44.88,44.88,44.88,431,0
IGCB.US,D,20241230,000000,44.935,44.97,44.91,44.9455,1897,0
IGCB.US,D,20241231,000000,44.94,44.94,44.8409,44.8409,556,0
IGCB.US,D,20250102,000000,44.8523,44.8523,44.845,44.845,113,0
IGCB.US,D,20250106,000000,44.8,44.8,44.68,44.7053,706,0
IGCB.US,D,20250107,000000,44.62,44.62,44.5196,44.5196,501,0
IGCB.US,D,20250115,000000,44.68,44.68,44.68,44.68,100,0
IGCB.US,D,20250117,000000,44.82,44.88,44.82,44.8258,723,0
IGCB.US,D,20250122,000000,44.951,44.9549,44.951,44.9549,223,0
IGCB.US,D,20250129,000000,45.13,45.1584,45.13,45.1584,724,0
IGCB.US,D,20250131,000000,45.19,45.19,45.0755,45.0755,510,0
IGCB.US,D,20250211,000000,45.05,45.08,45.05,45.08,448,0
IGCB.US,D,20250212,000000,44.8,44.8,44.8,44.8,791,0
IGCB.US,D,20250213,000000,45.09,45.0901,45.02,45.09,769,0
IGCB.US,D,20250218,000000,45.16,45.16,45.1053,45.1053,607,0
IGCB.US,D,20250220,000000,45.21,45.21,45.21,45.21,100,0
IGCB.US,D,20250221,000000,45.38,45.38,45.38,45.38,615,0
