<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INR.US,D,20250131,000000,22.25,23,21,21.07,5877702,0
INR.US,D,20250203,000000,21.22,22.11,21.02,21.89,790148,0
INR.US,D,20250204,000000,21.705,22.0725,20,21.5,535690,0
INR.US,D,20250205,000000,21.42,22,21.01,21.56,397550,0
INR.US,D,20250206,000000,21.56,21.79,20.48,20.69,234245,0
INR.US,D,20250207,000000,20.75,21.45,20.25,21.3,476847,0
INR.US,D,20250210,000000,21.19,22,21.18,21.75,206145,0
INR.US,D,20250211,000000,21.95,21.95,20.75,21.3,185943,0
INR.US,D,20250212,000000,20.7,21.81,20.66,21,294226,0
INR.US,D,20250213,000000,21.02,21.12,20.19,20.25,331283,0
INR.US,D,20250214,000000,20.7,20.74,20.19,20.26,67844,0
INR.US,D,20250218,000000,20.35,21,20.24,20.7,389485,0
INR.US,D,20250219,000000,20.62,21.0815,20.38,20.66,304931,0
INR.US,D,20250220,000000,20.79,21.78,20.38,20.44,187941,0
INR.US,D,20250221,000000,20.4,20.4,19.32,19.68,207008,0
