<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JACS.US,D,20250203,000000,10,10,9.95,10,518,0
JACS.US,D,20250204,000000,9.98,9.98,9.97,9.98,129764,0
JACS.US,D,20250205,000000,9.97,10.4101,9.97,9.99,217804,0
JACS.US,D,20250206,000000,10.01,10.01,9.99,10,301159,0
JACS.US,D,20250207,000000,9.998,10.02,9.99,10,2342,0
JACS.US,D,20250210,000000,10,10.03,10,10.0162,88325,0
JACS.US,D,20250211,000000,10.02,10.02,10,10.0023,201319,0
JACS.US,D,20250212,000000,10.02,10.03,10.01,10.01,560452,0
JACS.US,D,20250213,000000,10.02,10.02,10.01,10.02,321024,0
JACS.US,D,20250214,000000,10.01,10.02,10.01,10.01,171625,0
JACS.US,D,20250218,000000,10.02,10.03,10.02,10.03,384967,0
JACS.US,D,20250219,000000,10.08,10.08,10.02,10.03,4731,0
JACS.US,D,20250220,000000,10.03,10.03,10.02,10.03,207,0
