<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JADE.US,D,20240520,000000,48.05,48.3,48.05,48.14,6343,0
JADE.US,D,20240521,000000,47.86,47.89,47.73,47.8231,1592,0
JADE.US,D,20240522,000000,47.81,47.81,47.55,47.55,3788,0
JADE.US,D,20240523,000000,47.93,47.93,47.3273,47.3273,453,0
JADE.US,D,20240524,000000,47.27,47.51,47.27,47.36,1396,0
JADE.US,D,20240528,000000,47.56,47.56,47.42,47.42,1295,0
JADE.US,D,20240529,000000,46.6467,46.6467,46.6467,46.6467,236,0
JADE.US,D,20240530,000000,46.5198,46.5198,46.5198,46.5198,43,0
JADE.US,D,20240531,000000,46.01,46.06,45.8,46.0106,809,0
JADE.US,D,20240603,000000,46.56,46.56,46.51,46.5424,488,0
JADE.US,D,20240604,000000,45.9851,45.9851,45.9851,45.9851,121,0
JADE.US,D,20240605,000000,46.7,46.777,46.695,46.771,2207,0
JADE.US,D,20240606,000000,46.9501,47.0121,46.9501,47.0121,205,0
JADE.US,D,20240607,000000,46.84,46.84,46.36,46.3982,874,0
JADE.US,D,20240610,000000,46.443,46.609,46.37,46.609,580,0
JADE.US,D,20240611,000000,46.35,46.35,46.21,46.3124,663,0
JADE.US,D,20240612,000000,46.74,47.01,46.74,46.791,412,0
JADE.US,D,20240613,000000,46.8241,46.8241,46.8241,46.8241,1,0
JADE.US,D,20240614,000000,46.795,46.93,46.795,46.8496,434,0
JADE.US,D,20240617,000000,47.2139,47.2139,47.2139,47.2139,71,0
JADE.US,D,20240618,000000,47.6113,47.6113,47.6113,47.6113,9,0
JADE.US,D,20240620,000000,47.96,47.96,47.7673,47.7673,659,0
JADE.US,D,20240621,000000,47.769,47.77,47.7003,47.7003,1532,0
JADE.US,D,20240624,000000,47.71,47.77,47.5692,47.5692,1153,0
JADE.US,D,20240625,000000,47.56,47.7056,47.53,47.7056,1214,0
JADE.US,D,20240626,000000,47.6,47.6751,47.58,47.6751,729,0
JADE.US,D,20240627,000000,47.65,47.65,47.65,47.65,311,0
JADE.US,D,20240628,000000,47.89,47.91,47.7527,47.7527,519,0
JADE.US,D,20240701,000000,47.71,47.71,47.6779,47.6779,157,0
JADE.US,D,20240702,000000,47.7814,47.7814,47.7814,47.7814,11,0
JADE.US,D,20240703,000000,48.3272,48.3272,48.3272,48.3272,33,0
