<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JANM.US,D,20250122,000000,31.1795,31.23,31.1694,31.1793,27541,0
JANM.US,D,20250123,000000,31.17,31.24,31.17,31.2348,35218,0
JANM.US,D,20250124,000000,31.18,31.22,31.18,31.2002,16214,0
JANM.US,D,20250127,000000,31.2,31.21,31.1233,31.1466,206462,0
JANM.US,D,20250128,000000,31.17,31.2,31.12,31.1597,37775,0
JANM.US,D,20250129,000000,31.16,31.21,31.141,31.18,73745,0
JANM.US,D,20250130,000000,31.1206,31.22,31.1206,31.1901,33366,0
JANM.US,D,20250131,000000,31.2236,31.27,31.15,31.175,51147,0
JANM.US,D,20250203,000000,31.12,31.17,31.05,31.1551,53050,0
JANM.US,D,20250204,000000,31.13,31.21,31.11,31.1651,73967,0
JANM.US,D,20250205,000000,31.1599,31.22,31.1024,31.1699,31464,0
JANM.US,D,20250206,000000,31.21,31.2699,31.17,31.24,31389,0
JANM.US,D,20250207,000000,31.22,31.2399,31.15,31.1852,20560,0
JANM.US,D,20250210,000000,31.19,31.24,31.1597,31.23,54360,0
JANM.US,D,20250211,000000,31.18,31.22,31.15,31.1792,24264,0
JANM.US,D,20250212,000000,31.15,31.1854,31.12,31.15,24525,0
JANM.US,D,20250213,000000,31.2063,31.229,31.15,31.201,5702,0
JANM.US,D,20250214,000000,31.225,31.29,31.22,31.2601,20413,0
JANM.US,D,20250218,000000,31.2599,31.29,31.215,31.29,16457,0
JANM.US,D,20250219,000000,31.23,31.29,31.21,31.25,14878,0
JANM.US,D,20250220,000000,31.21,31.25,31.21,31.2398,329,0
JANM.US,D,20250221,000000,31.2599,31.2599,31.16,31.21,19406,0
