<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JIII.US,D,20241120,000000,50.1,50.1049,50.1,50.1049,155,0
JIII.US,D,20241203,000000,50.55,50.55,50.515,50.515,3154,0
JIII.US,D,20241204,000000,50.65,50.67,50.6482,50.6482,602,0
JIII.US,D,20241205,000000,50.69,50.69,50.69,50.69,474,0
JIII.US,D,20241209,000000,50.8,50.8,50.795,50.795,237,0
JIII.US,D,20241210,000000,50.77,50.78,50.68,50.7771,151098,0
JIII.US,D,20241211,000000,50.88,51.18,50.74,50.74,102220,0
JIII.US,D,20241212,000000,50.71,50.73,50.6429,50.6429,468468,0
JIII.US,D,20241213,000000,50.61,50.61,50.4808,50.4808,3038,0
JIII.US,D,20241216,000000,50.51,50.51,50.5094,50.5094,224,0
JIII.US,D,20241217,000000,50.5481,50.55,50.53,50.53,426,0
JIII.US,D,20241219,000000,50.274,50.274,50.2444,50.2444,454,0
JIII.US,D,20241220,000000,50.3087,50.31,50.3087,50.31,184,0
JIII.US,D,20241223,000000,50.025,50.24,50.025,50.24,1216,0
JIII.US,D,20241224,000000,49.98,50.0285,49.98,50.0285,891,0
JIII.US,D,20241226,000000,50.13,50.13,50.1175,50.1175,635,0
JIII.US,D,20241230,000000,50.13,50.1425,50.13,50.1425,167,0
JIII.US,D,20241231,000000,50.13,50.14,50.1235,50.1235,1397,0
JIII.US,D,20250102,000000,50.1094,50.1094,50.105,50.105,264,0
JIII.US,D,20250103,000000,50.26,50.26,50.2303,50.2303,287,0
JIII.US,D,20250106,000000,50.33,50.33,50.33,50.33,196,0
JIII.US,D,20250107,000000,50.145,50.15,50.11,50.11,3144,0
JIII.US,D,20250108,000000,50.067,50.0904,50.067,50.0904,794,0
JIII.US,D,20250110,000000,49.89,49.89,49.8099,49.8101,18624,0
JIII.US,D,20250114,000000,49.94,49.9401,49.92,49.925,2222,0
JIII.US,D,20250115,000000,50.2501,50.263,50.22,50.2427,838,0
JIII.US,D,20250116,000000,50.2003,50.2697,50.2003,50.2697,266,0
JIII.US,D,20250117,000000,50.27,50.2702,50.27,50.2702,314,0
JIII.US,D,20250123,000000,50.37,50.37,50.36,50.36,527,0
JIII.US,D,20250124,000000,50.45,50.47,50.26,50.4169,4889,0
JIII.US,D,20250127,000000,50.57,50.57,50.5651,50.5651,193,0
JIII.US,D,20250129,000000,50.58,50.5899,50.58,50.5899,603,0
JIII.US,D,20250130,000000,50.64,50.655,50.64,50.655,517,0
JIII.US,D,20250131,000000,50.63,50.69,50.6041,50.6041,2943,0
JIII.US,D,20250203,000000,50.21,50.2899,50.21,50.23,663,0
JIII.US,D,20250204,000000,50.25,50.305,50.25,50.305,393,0
JIII.US,D,20250205,000000,50.42,50.4615,50.42,50.4615,1554,0
JIII.US,D,20250206,000000,50.3992,50.42,50.3992,50.4195,601,0
JIII.US,D,20250207,000000,50.44,50.44,50.32,50.325,549,0
JIII.US,D,20250210,000000,50.4,50.42,50.3697,50.3697,1946,0
JIII.US,D,20250212,000000,50.1886,50.22,50.1886,50.21,2605,0
JIII.US,D,20250213,000000,50.34,50.37,50.33,50.37,203,0
JIII.US,D,20250218,000000,50.56,50.56,50.52,50.525,3191,0
JIII.US,D,20250219,000000,50.48,50.48,50.475,50.475,1439,0
JIII.US,D,20250220,000000,50.5462,50.605,50.5435,50.605,3717,0
