<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JXX.US,D,20250206,000000,25.4796,25.62,25.265,25.39,30598,0
JXX.US,D,20250207,000000,25.39,25.5,25.09,25.1256,17445,0
JXX.US,D,20250210,000000,25.28,25.45,25.2329,25.44,10903,0
JXX.US,D,20250211,000000,25.26,25.3043,25.225,25.3043,2279,0
JXX.US,D,20250212,000000,24.97,25.3027,24.97,25.3027,4107,0
JXX.US,D,20250213,000000,25.23,25.4845,25.23,25.4845,1496,0
JXX.US,D,20250214,000000,25.6,25.6662,25.6,25.6321,11297,0
JXX.US,D,20250218,000000,25.63,25.75,25.5134,25.5845,7220,0
JXX.US,D,20250219,000000,25.52,25.6375,25.4499,25.6375,3677,0
JXX.US,D,20250220,000000,25.22,25.3017,25.19,25.3017,4683,0
JXX.US,D,20250221,000000,25.2,25.2,24.61,24.61,3042,0
