<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KDEF.US,D,20250207,000000,22.0001,22.01,21.6586,21.6586,3749,0
KDEF.US,D,20250210,000000,21.53,21.63,21.5,21.6104,3875,0
KDEF.US,D,20250211,000000,22.67,22.68,22.66,22.6605,1124,0
KDEF.US,D,20250212,000000,23.81,24.06,23.81,24.0246,22567,0
KDEF.US,D,20250213,000000,24.42,24.7,24.42,24.6963,11349,0
KDEF.US,D,20250214,000000,25,25,24.9258,24.9258,6351,0
KDEF.US,D,20250218,000000,26.945,27.11,26.93,26.9736,16020,0
KDEF.US,D,20250219,000000,26.32,27.12,26.32,27.12,27158,0
KDEF.US,D,20250220,000000,26.5,26.9,26.29,26.45,24758,0
KDEF.US,D,20250221,000000,26.84,26.84,26.45,26.45,1272,0
