<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KFEB.US,D,20250205,000000,25.33,25.42,25.3,25.41,40599,0
KFEB.US,D,20250206,000000,25.47,25.49,25.3201,25.3851,73443,0
KFEB.US,D,20250207,000000,25.4,25.4,25.17,25.24,32915,0
KFEB.US,D,20250210,000000,25.24,25.3399,25.2185,25.2509,62741,0
KFEB.US,D,20250211,000000,25.19,25.26,25.1845,25.2011,23907,0
KFEB.US,D,20250212,000000,25.05,25.13,25.005,25.0761,28139,0
KFEB.US,D,20250213,000000,25.155,25.269,25.13,25.2248,25515,0
KFEB.US,D,20250214,000000,25.3287,25.34,25.225,25.28,15435,0
KFEB.US,D,20250218,000000,28.99,28.99,25.2415,25.3225,35148,0
KFEB.US,D,20250219,000000,25.25,25.33,25.229,25.3,34534,0
KFEB.US,D,20250220,000000,25.2715,25.31,25.0604,25.18,43994,0
KFEB.US,D,20250221,000000,25.21,25.21,24.7797,24.79,44643,0
