<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KLC.US,D,20241009,000000,27,27.7,25.72,26.13,9405344,0
KLC.US,D,20241010,000000,26.08,28.39,24.6,28.04,3222622,0
KLC.US,D,20241011,000000,27.37,28.96,27.14,28.42,971269,0
KLC.US,D,20241014,000000,28.64,29,27.55,28.86,1302439,0
KLC.US,D,20241015,000000,28.81,29.4,28.18,28.28,3306754,0
KLC.US,D,20241016,000000,28.05,28.655,27.7,28.35,960812,0
KLC.US,D,20241017,000000,28.51,28.65,27.96,28.27,239702,0
KLC.US,D,20241018,000000,28,28.53,28,28.35,304835,0
KLC.US,D,20241021,000000,28.1,28.55,27.88,28.09,431583,0
KLC.US,D,20241022,000000,28.09,28.42,27.74,28.31,339212,0
KLC.US,D,20241023,000000,27.78,29.209,27.63,29.04,275443,0
KLC.US,D,20241024,000000,29.38,29.38,28.14,28.46,177049,0
KLC.US,D,20241025,000000,28.3,29.11,28.03,28.36,163655,0
KLC.US,D,20241028,000000,28.7,28.7,27.98,28.09,229502,0
KLC.US,D,20241029,000000,28.11,28.7,28.11,28.39,310674,0
KLC.US,D,20241030,000000,28.59,29.61,28.3153,29.41,157705,0
KLC.US,D,20241031,000000,28.4,29.89,28.4,29.16,262943,0
KLC.US,D,20241101,000000,28.99,29.08,28.32,28.32,271185,0
KLC.US,D,20241104,000000,28.74,29.48,28.3,28.57,278206,0
KLC.US,D,20241105,000000,28.54,29.08,26.57,26.98,696652,0
KLC.US,D,20241106,000000,27.55,28.33,26.93,27.81,511894,0
KLC.US,D,20241107,000000,27.83,28.83,27.33,28.4,158286,0
KLC.US,D,20241108,000000,28.19,28.41,27.65,27.85,172139,0
KLC.US,D,20241111,000000,27.64,27.79,26.3,27.28,271504,0
KLC.US,D,20241112,000000,27.46,27.925,27.2231,27.47,192062,0
KLC.US,D,20241113,000000,27.55,27.55,25.63,25.63,258801,0
KLC.US,D,20241114,000000,25.685,26.32,24.53,24.53,289530,0
KLC.US,D,20241115,000000,24.2,24.465,23.32,23.36,399500,0
KLC.US,D,20241118,000000,23.34,23.86,23.34,23.5,255546,0
KLC.US,D,20241119,000000,23.45,23.79,23.13,23.64,310582,0
KLC.US,D,20241120,000000,23.545,23.55,22.25,22.8,546564,0
KLC.US,D,20241121,000000,22,22.92,19.02,19.37,1974378,0
KLC.US,D,20241122,000000,20.14,21,19,20.87,1064072,0
KLC.US,D,20241125,000000,21.81,23.4,21.78,22.54,807598,0
KLC.US,D,20241126,000000,22.275,24.4,22,23.48,572619,0
KLC.US,D,20241127,000000,23.315,24.04,23.12,23.27,310681,0
KLC.US,D,20241129,000000,23.4984,24.3,23.11,23.79,202758,0
KLC.US,D,20241202,000000,24.14,24.14,21.81,22.48,609432,0
KLC.US,D,20241203,000000,22.1301,23.09,22,22.46,436653,0
KLC.US,D,20241204,000000,22.4,24.71,22.2222,23.54,605555,0
KLC.US,D,20241205,000000,23.21,23.6,22.53,22.87,407384,0
KLC.US,D,20241206,000000,22.69,23.15,22.08,22.19,560356,0
KLC.US,D,20241209,000000,22.285,22.555,20.39,20.48,841538,0
KLC.US,D,20241210,000000,20.51,20.97,19.2,19.39,758083,0
KLC.US,D,20241211,000000,19.21,19.78,18.42,19.64,633886,0
KLC.US,D,20241212,000000,19.425,20.15,19.2,19.32,464185,0
KLC.US,D,20241213,000000,19.235,19.36,18.63,18.67,425272,0
KLC.US,D,20241216,000000,19.02,19.02,18.2,18.64,671655,0
KLC.US,D,20241217,000000,18.25,18.61,18.04,18.34,598180,0
KLC.US,D,20241218,000000,18.15,18.52,17.39,17.62,671770,0
KLC.US,D,20241219,000000,17.8,17.9,17.05,17.52,703524,0
KLC.US,D,20241220,000000,17.52,17.94,17.13,17.59,6744280,0
KLC.US,D,20241223,000000,17.9,18.62,17.06,18.61,878595,0
KLC.US,D,20241224,000000,18.495,18.51,17.9,18.06,433746,0
KLC.US,D,20241226,000000,17.885,18.3,17.81,17.88,392773,0
KLC.US,D,20241227,000000,17.31,18.075,17.31,17.81,392690,0
KLC.US,D,20241230,000000,17.595,17.95,17.495,17.94,359942,0
KLC.US,D,20241231,000000,17.96,18.11,17.497,17.8,586789,0
KLC.US,D,20250102,000000,17.89,18.19,17.3774,17.44,502937,0
KLC.US,D,20250103,000000,17.49,18.45,17.44,18.45,992860,0
KLC.US,D,20250106,000000,18.44,18.8,18.2,18.3,1199904,0
KLC.US,D,20250107,000000,18.78,18.8148,17.91,18.06,906891,0
KLC.US,D,20250108,000000,17.925,18.56,17.8001,18.53,372061,0
KLC.US,D,20250110,000000,18.18,18.4066,17.87,17.99,565350,0
KLC.US,D,20250113,000000,17.76,18.14,17.6,18.02,357736,0
KLC.US,D,20250114,000000,18.0349,18.89,18.0349,18.64,358141,0
KLC.US,D,20250115,000000,19,20.03,18.7,19.73,622241,0
KLC.US,D,20250116,000000,19.7,20.47,19.6,20,696115,0
KLC.US,D,20250117,000000,20.1,20.385,19.64,20.1,515646,0
KLC.US,D,20250121,000000,20.2,21.49,19.78,21.25,734496,0
KLC.US,D,20250122,000000,21.205,21.24,20.78,21.05,983401,0
KLC.US,D,20250123,000000,21.19,21.225,20.785,21,737905,0
KLC.US,D,20250124,000000,21,21.08,20.2,20.55,826343,0
KLC.US,D,20250127,000000,20.375,20.745,19.86,20.24,1083246,0
KLC.US,D,20250128,000000,20.325,20.62,20.06,20.44,579388,0
KLC.US,D,20250129,000000,20.68,20.68,20.2201,20.43,383291,0
KLC.US,D,20250130,000000,20.49,21.18,20.49,21.17,362619,0
KLC.US,D,20250131,000000,20.97,21.23,20.6301,20.74,982612,0
KLC.US,D,20250203,000000,20.17,20.99,19.82,20.33,500602,0
KLC.US,D,20250204,000000,20.25,20.96,20.23,20.42,860980,0
KLC.US,D,20250205,000000,20.67,20.87,20.28,20.38,266184,0
KLC.US,D,20250206,000000,20.75,20.75,20.13,20.48,262830,0
KLC.US,D,20250207,000000,20.515,20.98,20.35,20.67,328475,0
KLC.US,D,20250210,000000,20.8,21.1,20.63,20.92,270173,0
KLC.US,D,20250211,000000,20.7213,21.07,20.04,20.37,481534,0
KLC.US,D,20250212,000000,20.1,20.85,19.84,20.8,305563,0
KLC.US,D,20250213,000000,20.82,21.155,19.89,19.95,308965,0
KLC.US,D,20250214,000000,20.13,20.88,20.05,20.55,348172,0
KLC.US,D,20250218,000000,20.65,20.78,20.3,20.74,318114,0
KLC.US,D,20250219,000000,20.78,21.18,20.4,21.09,375248,0
KLC.US,D,20250220,000000,21.055,21.11,20.62,20.85,264627,0
KLC.US,D,20250221,000000,21.13,21.13,19.7,19.7,261091,0
